bundle_id,bundle_status,event_id,season,round,race_name,gate,engine_lane,engine_lane_config,forecast_timestamp_utc,forecast_lock_utc,session_scope,driver_number,driver_name,team_name,predicted_qualifying_position,predicted_race_finish_position,predicted_points_band,predicted_dnf_probability,predicted_top1_probability,predicted_top3_probability,predicted_top5_probability,predicted_top10_probability,predicted_mean_finish_position,confidence_score,risk_flags,source_snapshot_id,forecast_artifact_id,stable_vs_challenger_delta_note,method_e_attribution_note,promotion_gate_eligible,notes
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,1,L NORRIS,McLaren,,1,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,12,K ANTONELLI,Mercedes,,2,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,3,M VERSTAPPEN,Red Bull Racing,,3,,0.0621,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,16,C LECLERC,Ferrari,,4,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,63,G RUSSELL,Mercedes,,5,,0.0629,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,25,C HERTA,Cadillac,,6,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,44,L HAMILTON,Ferrari,,7,,0.0614,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,81,O PIASTRI,McLaren,,8,,0.0599,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,34,J CRAWFORD,Aston Martin,,9,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
2026_1293_italy_monza_monza__post_event__stable_baseline__20260906T185625Z,locked,2026_1293_italy_monza_monza,2026,,Italy - Monza - Monza,post_event,stable_baseline,Engine_2026-06-07_STABLE,2026-09-06T18:56:25Z,2026-09-06T18:56:25Z,,5,G BORTOLETO,Audi,,10,,0.075,,,,,,0.4,,,,,,False,Actual forecast source row normalized before bundle lock. Promotion eligibility remains false until scoring.
