event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,3,1,2.77433,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,0.9048,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,2,2,3.003942,0.27601,0.52293,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9524,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,1,3,3.734942,0.21594,0.45214,0.8232,0.0662,0.84,1.0,0.0662,0.357,1.0,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,6,4,4.915289,0.16894,0.39093,0.8179,0.0654,0.84,1.0,0.0654,0.3515,0.7619,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,4,5,5.57433,0.13217,0.33801,0.80222,0.063,0.84,1.0,0.063,0.335,0.8571,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,7,6,5.738289,0.1034,0.29225,0.77628,0.0654,0.84,1.0,0.0654,0.3515,0.7143,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,5,7,5.876636,0.0809,0.25269,0.73487,0.0646,0.84,1.0,0.0646,0.346,0.8095,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,8,6.24039,0.06329,0.21848,0.67235,0.079,0.84,1.0,0.079,0.445,0.3333,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,8,9,6.808636,0.04951,0.18891,0.58553,0.0646,0.84,1.0,0.0646,0.346,0.6667,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1287_spain_barcelona_catalunya,Spain - Barcelona - Catalunya,post_qualifying,experimental_challenger,41,A LINDBLAD,Racing Bulls,9,10,9.82392,0.03874,0.16334,0.47796,0.087,0.84,1.0,0.087,0.5,0.619,2026-06-13T20:16:33Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
