event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,12,K ANTONELLI,Mercedes,1,1,2.61275,0.168,0.288,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,1,L NORRIS,McLaren,5,2,3.88805,0.13143,0.24901,0.392,0.0599,0.4,1.0,0.0599,0.335,0.8095,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,16,C LECLERC,Ferrari,4,3,4.6099,0.10283,0.2153,0.392,0.0614,0.4,1.0,0.0614,0.346,0.8571,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,63,G RUSSELL,Mercedes,2,4,5.21375,0.08045,0.18616,0.38948,0.0629,0.4,1.0,0.0629,0.357,0.9524,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,38,D BEGANOVIC,Ferrari,,5,5.8319,0.06294,0.16096,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.3333,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,81,O PIASTRI,McLaren,3,6,5.91805,0.04924,0.13917,0.36966,0.0599,0.4,1.0,0.0599,0.335,0.9048,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,6,I HADJAR,Red Bull Racing,8,7,6.303225,0.03852,0.12033,0.34994,0.0621,0.4,1.0,0.0621,0.3515,0.6667,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,44,L HAMILTON,Ferrari,6,8,7.1879,0.03014,0.10404,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.7619,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,10,P GASLY,Alpine,7,9,7.5141,0.02358,0.08996,0.27882,0.0857,0.4,1.0,0.0857,0.522,0.7143,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,11,10,7.800225,0.01845,0.07778,0.2276,0.0621,0.4,1.0,0.0621,0.3515,0.5238,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,5,G BORTOLETO,Audi,9,11,7.9723,0.01443,0.06725,0.1724,0.075,0.4,1.0,0.075,0.478,0.619,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1288_austria_spielberg_spielberg,Austria - Spielberg - Spielberg,post_event,stable_baseline,41,A LINDBLAD,Racing Bulls,10,12,10.7812,0.01129,0.05815,0.12118,0.0826,0.4,1.0,0.0826,0.5,0.5714,2026-06-29T00:00:18Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
