event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,1,L NORRIS,McLaren,4,1,2.10055,0.3024,0.5184,0.7056,0.063,0.72,1.0,0.063,0.335,0.8571,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,5,2,2.893365,0.24758,0.46046,0.7056,0.0654,0.72,1.0,0.0654,0.3515,0.8095,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,6,I HADJAR,Red Bull Racing,6,3,3.696365,0.2027,0.409,0.7056,0.0654,0.72,1.0,0.0654,0.3515,0.7619,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,12,K ANTONELLI,Mercedes,3,4,4.56597,0.16596,0.36329,0.70106,0.0662,0.72,1.0,0.0662,0.357,0.9048,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,16,C LECLERC,Ferrari,10,5,5.74276,0.13588,0.32268,0.68762,0.0646,0.72,1.0,0.0646,0.346,0.5714,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,5,G BORTOLETO,Audi,12,6,6.5482,0.11125,0.28662,0.66538,0.079,0.72,1.0,0.079,0.478,0.4762,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,38,D BEGANOVIC,Ferrari,,7,7.21476,0.09108,0.25459,0.62988,0.0646,0.72,1.0,0.0646,0.346,0.2857,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,11,S PEREZ,Cadillac,19,8,8.3042,0.07457,0.22613,0.5763,0.079,0.72,1.0,0.079,0.478,0.1429,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,10,P GASLY,Alpine,14,9,8.37212,0.06105,0.20086,0.50188,0.0902,0.72,1.0,0.0902,0.522,0.381,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_fp3,control_room_overlay,44,L HAMILTON,Ferrari,2,10,8.47076,0.04999,0.17841,0.40968,0.0646,0.72,1.0,0.0646,0.346,0.9524,2026-07-18T12:51:49Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
