event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,2,1,2.400225,0.168,0.288,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.9524,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,12,K ANTONELLI,Mercedes,1,2,2.61275,0.13946,0.25791,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,16,C LECLERC,Ferrari,4,3,4.6099,0.11576,0.23097,0.392,0.0614,0.4,1.0,0.0614,0.346,0.8571,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,25,C HERTA,Cadillac,,4,6.1023,0.0961,0.20684,0.38948,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,63,G RUSSELL,Mercedes,3,5,6.41375,0.07977,0.18523,0.38201,0.0629,0.4,1.0,0.0629,0.357,0.9048,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,36,A IWASA,Red Bull Racing,,6,6.543225,0.06622,0.16588,0.36966,0.0621,0.4,1.0,0.0621,0.3515,0.2381,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,38,D BEGANOVIC,Ferrari,,7,6.8219,0.05497,0.14855,0.34994,0.0614,0.4,1.0,0.0614,0.346,0.1905,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,44,L HAMILTON,Ferrari,5,8,7.0379,0.04563,0.13303,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.8095,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,34,J CRAWFORD,Aston Martin,,9,7.11975,0.03788,0.11913,0.27882,0.075,0.4,1.0,0.075,0.445,0.2857,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,stable_baseline,5,G BORTOLETO,Audi,8,10,7.3723,0.03144,0.10668,0.2276,0.075,0.4,1.0,0.075,0.478,0.6667,2026-07-19T22:42:14Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
