event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,1,L NORRIS,McLaren,1,1,1.95055,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,1.0,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,4,2,2.783365,0.2132,0.39651,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.8571,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,6,I HADJAR,Red Bull Racing,8,3,3.486365,0.17455,0.35219,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,16,C LECLERC,Ferrari,2,4,4.30276,0.14291,0.31283,0.60369,0.0646,0.62,1.0,0.0646,0.346,0.9524,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,12,K ANTONELLI,Mercedes,7,5,4.33597,0.11701,0.27787,0.59211,0.0662,0.62,1.0,0.0662,0.357,0.7143,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,38,D BEGANOVIC,Ferrari,,6,5.97476,0.0958,0.24681,0.57297,0.0646,0.62,1.0,0.0646,0.346,0.2857,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,5,G BORTOLETO,Audi,14,7,6.8282,0.07843,0.21923,0.5424,0.079,0.62,1.0,0.079,0.478,0.381,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,44,L HAMILTON,Ferrari,5,8,6.98076,0.06421,0.19472,0.49626,0.0646,0.62,1.0,0.0646,0.346,0.8095,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,14,F ALONSO,Aston Martin,16,9,7.33565,0.05257,0.17296,0.43218,0.079,0.62,1.0,0.079,0.445,0.2857,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,control_room_overlay,11,S PEREZ,Cadillac,22,10,7.9842,0.04304,0.15363,0.35278,0.079,0.62,1.0,0.079,0.478,0.0,2026-08-21T09:05:39Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
