event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,1,L NORRIS,McLaren,1,1,1.48805,0.21,0.36,0.49,0.0599,0.5,1.0,0.0599,0.335,1.0,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,12,K ANTONELLI,Mercedes,3,2,3.81275,0.17739,0.32574,0.49,0.0629,0.5,1.0,0.0629,0.357,0.9091,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,7,3,5.400225,0.14985,0.29474,0.49,0.0621,0.5,1.0,0.0621,0.3515,0.7273,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,16,C LECLERC,Ferrari,6,4,5.8099,0.12658,0.26669,0.48684,0.0614,0.5,1.0,0.0614,0.346,0.7727,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,63,G RUSSELL,Mercedes,2,5,6.11375,0.10692,0.24132,0.47751,0.0629,0.5,1.0,0.0629,0.357,0.9545,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,6,I HADJAR,Red Bull Racing,8,6,6.303225,0.09032,0.21835,0.46207,0.0621,0.5,1.0,0.0621,0.3515,0.6818,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,25,C HERTA,Cadillac,,7,6.4323,0.0763,0.19757,0.43742,0.075,0.5,1.0,0.075,0.478,0.4545,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,38,D BEGANOVIC,Ferrari,,8,6.8219,0.06445,0.17877,0.40021,0.0614,0.5,1.0,0.0614,0.346,0.2273,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,44,L HAMILTON,Ferrari,5,9,7.0379,0.05444,0.16176,0.34853,0.0614,0.5,1.0,0.0614,0.346,0.8182,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,34,J CRAWFORD,Aston Martin,,10,7.44975,0.04599,0.14637,0.2845,0.075,0.5,1.0,0.075,0.445,0.2727,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,81,O PIASTRI,McLaren,4,11,7.71805,0.03885,0.13244,0.2155,0.0599,0.5,1.0,0.0599,0.335,0.8636,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,5,G BORTOLETO,Audi,9,12,7.9723,0.03281,0.11983,0.15147,0.075,0.5,1.0,0.075,0.478,0.6364,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,30,L LAWSON,Red Bull Racing,8,13,7.977225,0.02772,0.10843,0.09979,0.0621,0.5,1.0,0.0621,0.3515,0.6818,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,46,L BROWNING,Williams,,14,9.32565,0.02341,0.09811,0.06258,0.0781,0.5,1.0,0.0781,0.467,0.0455,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,67,L FORNAROLI,McLaren,,15,9.71405,0.01978,0.08877,0.03793,0.0599,0.5,1.0,0.0599,0.335,-0.1818,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,50,R HIRAKAWA,Haas F1 Team,,16,9.87335,0.01671,0.08033,0.02249,0.0811,0.5,1.0,0.0811,0.489,0.0,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,10,P GASLY,Alpine,11,17,9.9141,0.01411,0.07268,0.015,0.0857,0.5,1.0,0.0857,0.522,0.5455,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,72,F VESTI,Mercedes,,18,10.26275,0.01192,0.06577,0.015,0.0629,0.5,1.0,0.0629,0.357,-0.2273,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,61,P ARON,Alpine,,19,10.8651,0.01007,0.05951,0.015,0.0857,0.5,1.0,0.0857,0.522,-0.0909,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,22,Y TSUNODA,Racing Bulls,12,20,11.2122,0.00851,0.05384,0.015,0.0826,0.5,1.0,0.0826,0.5,0.5,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,41,A LINDBLAD,Racing Bulls,10,21,11.2312,0.00719,0.04872,0.015,0.0826,0.5,1.0,0.0826,0.5,0.5909,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,27,N HULKENBERG,Audi,13,22,12.0443,0.00607,0.04408,0.015,0.075,0.5,1.0,0.075,0.478,0.4545,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,90,A IWASA,Racing Bulls,,23,12.9902,0.00513,0.03989,0.015,0.0826,0.5,1.0,0.0826,0.5,-0.4091,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,97,P ARON,Audi,,24,13.0073,0.00433,0.03609,0.015,0.075,0.5,1.0,0.075,0.478,-0.4545,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,23,A ALBON,Williams,16,25,13.44265,0.00366,0.03266,0.015,0.0781,0.5,1.0,0.0781,0.467,0.3182,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,31,E OCON,Haas F1 Team,15,26,13.66435,0.00309,0.02955,0.015,0.0811,0.5,1.0,0.0811,0.489,0.3636,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,14,F ALONSO,Aston Martin,18,27,13.81975,0.00261,0.02674,0.015,0.075,0.5,1.0,0.075,0.445,0.2273,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,43,F COLAPINTO,Alpine,14,28,13.9971,0.00221,0.02419,0.015,0.0857,0.5,1.0,0.0857,0.522,0.4091,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,18,L STROLL,Aston Martin,19,29,14.72375,0.00186,0.02189,0.015,0.075,0.5,1.0,0.075,0.445,0.1818,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,55,C SAINZ,Williams,17,30,15.87465,0.00157,0.01981,0.015,0.0781,0.5,1.0,0.0781,0.467,0.2727,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,11,S PEREZ,Cadillac,22,31,16.2283,0.00133,0.01792,0.015,0.075,0.5,1.0,0.075,0.478,0.0455,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,87,O BEARMAN,Haas F1 Team,20,32,18.97035,0.00112,0.01622,0.015,0.0811,0.5,1.0,0.0811,0.489,0.1364,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,stable_baseline,77,V BOTTAS,Cadillac,21,33,19.1443,0.001,0.01467,0.015,0.075,0.5,1.0,0.075,0.478,0.0909,2026-08-23T17:15:16Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
