event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,1,L NORRIS,McLaren,1,1,1.49404,0.21,0.36,0.49,0.0599,0.5,1.0,0.0599,0.335,1.0,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,16,C LECLERC,Ferrari,2,2,3.41604,0.17739,0.32574,0.49,0.0614,0.5,1.0,0.0614,0.346,0.9524,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,4,3,3.606435,0.14985,0.29474,0.49,0.0621,0.5,1.0,0.0621,0.3515,0.8571,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,25,C HERTA,Cadillac,,4,6.1098,0.12658,0.26669,0.48684,0.075,0.5,1.0,0.075,0.478,0.4762,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,12,K ANTONELLI,Mercedes,7,5,6.21904,0.10692,0.24132,0.47751,0.0629,0.5,1.0,0.0629,0.357,0.7143,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,6,I HADJAR,Red Bull Racing,8,6,6.309435,0.09032,0.21835,0.46207,0.0621,0.5,1.0,0.0621,0.3515,0.6667,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,36,A IWASA,Red Bull Racing,,7,6.549435,0.0763,0.19757,0.43742,0.0621,0.5,1.0,0.0621,0.3515,0.2381,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,38,D BEGANOVIC,Ferrari,,8,6.82804,0.06445,0.17877,0.40021,0.0614,0.5,1.0,0.0614,0.346,0.1905,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,44,L HAMILTON,Ferrari,5,9,7.04404,0.05444,0.16176,0.34853,0.0614,0.5,1.0,0.0614,0.346,0.8095,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,81,O PIASTRI,McLaren,3,10,7.12404,0.04599,0.14637,0.2845,0.0599,0.5,1.0,0.0599,0.335,0.9048,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,34,J CRAWFORD,Aston Martin,,11,7.12725,0.03885,0.13244,0.2155,0.075,0.5,1.0,0.075,0.445,0.2857,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,63,G RUSSELL,Mercedes,6,12,8.52004,0.03281,0.11983,0.15147,0.0629,0.5,1.0,0.0629,0.357,0.7619,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,46,L BROWNING,Williams,,13,9.33346,0.02772,0.10843,0.09979,0.0781,0.5,1.0,0.0781,0.467,0.0,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,30,L LAWSON,Red Bull Racing,11,14,9.633435,0.02341,0.09811,0.06258,0.0621,0.5,1.0,0.0621,0.3515,0.5238,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,67,L FORNAROLI,McLaren,,15,9.72004,0.01978,0.08877,0.03793,0.0599,0.5,1.0,0.0599,0.335,-0.2381,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,control_room_overlay,50,R HIRAKAWA,Haas F1 Team,,16,9.88146,0.01671,0.08033,0.02249,0.0811,0.5,1.0,0.0811,0.489,-0.0476,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
