event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,1,L NORRIS,McLaren,1,1,1.497634,0.21,0.36,0.49,0.0599,0.5,1.0,0.0599,0.335,1.0,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,16,C LECLERC,Ferrari,2,2,3.419724,0.17739,0.32574,0.49,0.0614,0.5,1.0,0.0614,0.346,0.9524,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,4,3,3.610161,0.14985,0.29474,0.49,0.0621,0.5,1.0,0.0621,0.3515,0.8571,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,25,C HERTA,Cadillac,,4,6.1143,0.12658,0.26669,0.48684,0.075,0.5,1.0,0.075,0.478,0.4762,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,12,K ANTONELLI,Mercedes,7,5,6.222814,0.10692,0.24132,0.47751,0.0629,0.5,1.0,0.0629,0.357,0.7143,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,6,I HADJAR,Red Bull Racing,8,6,6.313161,0.09032,0.21835,0.46207,0.0621,0.5,1.0,0.0621,0.3515,0.6667,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,36,A IWASA,Red Bull Racing,,7,6.553161,0.0763,0.19757,0.43742,0.0621,0.5,1.0,0.0621,0.3515,0.2381,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,38,D BEGANOVIC,Ferrari,,8,6.831724,0.06445,0.17877,0.40021,0.0614,0.5,1.0,0.0614,0.346,0.1905,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,44,L HAMILTON,Ferrari,5,9,7.047724,0.05444,0.16176,0.34853,0.0614,0.5,1.0,0.0614,0.346,0.8095,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,81,O PIASTRI,McLaren,3,10,7.127634,0.04599,0.14637,0.2845,0.0599,0.5,1.0,0.0599,0.335,0.9048,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,34,J CRAWFORD,Aston Martin,,11,7.13175,0.03885,0.13244,0.2155,0.075,0.5,1.0,0.075,0.445,0.2857,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,race_result,experimental_challenger,63,G RUSSELL,Mercedes,6,12,8.523814,0.03281,0.11983,0.15147,0.0629,0.5,1.0,0.0629,0.357,0.7619,2026-08-23T17:47:59Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
