event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,1,L NORRIS,McLaren,2,1,2.097634,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,0.9545,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,16,C LECLERC,Ferrari,3,2,4.019724,0.13284,0.25059,0.392,0.0614,0.4,1.0,0.0614,0.346,0.9091,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,63,G RUSSELL,Mercedes,1,3,4.773814,0.10505,0.21804,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,6,4,4.810161,0.08306,0.18972,0.38948,0.0621,0.4,1.0,0.0621,0.3515,0.7727,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,12,K ANTONELLI,Mercedes,5,5,5.022814,0.06568,0.16508,0.38201,0.0629,0.4,1.0,0.0629,0.357,0.8182,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,81,O PIASTRI,McLaren,4,6,6.677634,0.05194,0.14364,0.36966,0.0599,0.4,1.0,0.0599,0.335,0.8636,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,34,J CRAWFORD,Aston Martin,,7,7.13175,0.04107,0.12498,0.34994,0.075,0.4,1.0,0.075,0.445,0.3182,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,44,L HAMILTON,Ferrari,7,8,7.947724,0.03248,0.10875,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.7273,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,5,G BORTOLETO,Audi,9,9,7.9843,0.02568,0.09462,0.27882,0.075,0.4,1.0,0.075,0.478,0.6364,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_event,experimental_challenger,10,P GASLY,Alpine,8,10,8.127812,0.02031,0.08233,0.2276,0.0857,0.4,1.0,0.0857,0.522,0.6818,2026-08-23T23:49:44Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
