event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,1,L NORRIS,McLaren,2,1,2.00433,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.9545,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,6,2,2.887289,0.21616,0.39976,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.7727,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,6,I HADJAR,Red Bull Racing,8,3,3.490289,0.17943,0.358,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6818,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,12,K ANTONELLI,Mercedes,5,4,4.239942,0.14895,0.3206,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.8182,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,16,C LECLERC,Ferrari,3,5,4.356636,0.12364,0.2871,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.9091,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,30,L LAWSON,Red Bull Racing,11,6,6.414289,0.10264,0.25711,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.5455,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,5,G BORTOLETO,Audi,9,7,6.58294,0.0852,0.23025,0.5424,0.079,0.62,1.0,0.079,0.478,0.6364,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,44,L HAMILTON,Ferrari,7,8,7.334636,0.07072,0.20619,0.49626,0.0646,0.62,1.0,0.0646,0.346,0.7273,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,14,F ALONSO,Aston Martin,22,9,7.64039,0.05871,0.18465,0.43218,0.079,0.62,1.0,0.079,0.445,0.0455,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,11,S PEREZ,Cadillac,20,10,7.88894,0.04873,0.16536,0.35278,0.079,0.62,1.0,0.079,0.478,0.1364,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,18,L STROLL,Aston Martin,18,11,7.94439,0.04045,0.14808,0.26722,0.079,0.62,1.0,0.079,0.445,0.2273,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,67,L FORNAROLI,McLaren,,12,7.97033,0.03358,0.13261,0.18782,0.063,0.62,1.0,0.063,0.335,-0.0909,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,10,P GASLY,Alpine,8,13,8.197532,0.02788,0.11876,0.12374,0.0902,0.62,1.0,0.0902,0.522,0.6818,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,63,G RUSSELL,Mercedes,1,14,8.340942,0.02314,0.10635,0.0776,0.0662,0.62,1.0,0.0662,0.357,1.0,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,25,C HERTA,Cadillac,,15,8.65294,0.01921,0.09524,0.04703,0.079,0.62,1.0,0.079,0.478,0.4545,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,72,F VESTI,Mercedes,,16,8.799942,0.01594,0.08529,0.02789,0.0662,0.62,1.0,0.0662,0.357,-0.1364,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,34,J CRAWFORD,Aston Martin,,17,8.81039,0.01324,0.07638,0.0186,0.079,0.62,1.0,0.079,0.445,0.2727,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,23,A ALBON,Williams,16,18,8.924002,0.01099,0.0684,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.3182,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,81,O PIASTRI,McLaren,4,19,8.93433,0.00912,0.06125,0.0186,0.063,0.62,1.0,0.063,0.335,0.8636,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,22,Y TSUNODA,Racing Bulls,12,20,9.33492,0.00757,0.05485,0.0186,0.087,0.62,1.0,0.087,0.5,0.5,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,27,N HULKENBERG,Audi,14,21,9.60494,0.00628,0.04912,0.0186,0.079,0.62,1.0,0.079,0.478,0.4091,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,31,E OCON,Haas F1 Team,15,22,10.456614,0.00522,0.04399,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.3636,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,23,10.975614,0.00433,0.03939,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.0909,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,41,A LINDBLAD,Racing Bulls,10,24,11.00392,0.00359,0.03528,0.0186,0.087,0.62,1.0,0.087,0.5,0.5909,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,55,C SAINZ,Williams,21,25,11.706002,0.00298,0.03159,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.0909,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,43,F COLAPINTO,Alpine,13,26,11.980532,0.00248,0.02829,0.0186,0.0902,0.62,1.0,0.0902,0.522,0.4545,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,61,P ARON,Alpine,,27,12.348532,0.00206,0.02534,0.0186,0.0902,0.62,1.0,0.0902,0.522,0.0,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,97,P ARON,Audi,,28,12.87794,0.00171,0.02269,0.0186,0.079,0.62,1.0,0.079,0.478,-0.3182,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,77,V BOTTAS,Cadillac,19,29,13.15494,0.00142,0.02032,0.0186,0.079,0.62,1.0,0.079,0.478,0.1818,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,experimental_challenger,87,O BEARMAN,Haas F1 Team,17,30,13.862614,0.00124,0.0182,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.2727,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
