event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,1,L NORRIS,McLaren,2,1,1.99425,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.9545,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,6,2,2.876825,0.21616,0.39976,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.7727,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,6,I HADJAR,Red Bull Racing,8,3,3.479825,0.17943,0.358,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6818,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,12,K ANTONELLI,Mercedes,5,4,4.22935,0.14895,0.3206,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.8182,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,16,C LECLERC,Ferrari,3,5,4.3463,0.12364,0.2871,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.9091,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,30,L LAWSON,Red Bull Racing,11,6,6.403825,0.10264,0.25711,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.5455,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,5,G BORTOLETO,Audi,9,7,6.5703,0.0852,0.23025,0.5424,0.079,0.62,1.0,0.079,0.478,0.6364,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,44,L HAMILTON,Ferrari,7,8,7.3243,0.07072,0.20619,0.49626,0.0646,0.62,1.0,0.0646,0.346,0.7273,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,14,F ALONSO,Aston Martin,22,9,7.62775,0.05871,0.18465,0.43218,0.079,0.62,1.0,0.079,0.445,0.0455,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,pre_weekend,stable_baseline,11,S PEREZ,Cadillac,20,10,7.8763,0.04873,0.16536,0.35278,0.079,0.62,1.0,0.079,0.478,0.1364,2026-09-04T09:11:32Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
