event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,3,1,3.708636,0.3528,0.6048,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.9091,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,10,P GASLY,Alpine,1,2,3.971532,0.29092,0.53948,0.8232,0.0902,0.84,1.0,0.0902,0.522,1.0,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,5,3,4.295289,0.23989,0.48122,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.8182,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,2,4,4.754942,0.19781,0.42925,0.8179,0.0662,0.84,1.0,0.0662,0.357,0.9545,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,4,5,5.456636,0.16312,0.38289,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.8636,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,8,6,5.87433,0.13451,0.34154,0.77628,0.063,0.84,1.0,0.063,0.335,0.6818,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,25,C HERTA,Cadillac,,7,6.01894,0.11091,0.30466,0.73487,0.079,0.84,1.0,0.079,0.478,0.4545,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,8,8,6.358289,0.09146,0.27175,0.67235,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,9,6.80039,0.07542,0.24241,0.58553,0.079,0.84,1.0,0.079,0.445,0.2727,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,6,10,7.41433,0.06219,0.21623,0.47796,0.063,0.84,1.0,0.063,0.335,0.7727,2026-09-06T01:39:34Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
