event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,1,L NORRIS,McLaren,4,1,3.29404,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,0.8571,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,12,K ANTONELLI,Mercedes,3,2,3.81904,0.12991,0.24729,0.392,0.0629,0.4,1.0,0.0629,0.357,0.9048,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,5,3,4.206435,0.10045,0.21234,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.8095,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,63,G RUSSELL,Mercedes,1,4,4.47004,0.07768,0.18233,0.38948,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,44,L HAMILTON,Ferrari,2,5,4.64404,0.06006,0.15656,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.9524,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,6,I HADJAR,Red Bull Racing,6,6,5.109435,0.04644,0.13443,0.36966,0.0621,0.4,1.0,0.0621,0.3515,0.7619,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,81,O PIASTRI,McLaren,7,7,8.17404,0.03591,0.11543,0.34994,0.0599,0.4,1.0,0.0599,0.335,0.7143,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,16,C LECLERC,Ferrari,10,8,8.21604,0.02777,0.09912,0.32017,0.0614,0.4,1.0,0.0614,0.346,0.5714,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,30,L LAWSON,Racing Bulls,8,9,9.12846,0.02147,0.08511,0.27882,0.0826,0.4,1.0,0.0826,0.5,0.6667,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,27,N HULKENBERG,Audi,9,10,9.3518,0.0166,0.07308,0.2276,0.075,0.4,1.0,0.075,0.478,0.619,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,5,G BORTOLETO,Audi,12,11,9.7798,0.01284,0.06275,0.1724,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1289_united_kingdom_silverstone_silverstone,United Kingdom - Silverstone - Silverstone,post_event,control_room_overlay,41,A LINDBLAD,Racing Bulls,11,12,11.23946,0.00993,0.05388,0.12118,0.0826,0.4,1.0,0.0826,0.5,0.5238,2026-07-06T12:45:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
