event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,1,L NORRIS,McLaren,6,1,2.19425,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,3,2,2.726825,0.20372,0.38597,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.9048,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,6,I HADJAR,Red Bull Racing,8,3,3.479825,0.15938,0.33372,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,12,K ANTONELLI,Mercedes,2,4,4.07935,0.12469,0.28855,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.9524,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,16,C LECLERC,Ferrari,4,5,4.3963,0.09755,0.24948,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.8571,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,44,L HAMILTON,Ferrari,1,6,6.5243,0.07632,0.21571,0.57297,0.0646,0.62,1.0,0.0646,0.346,1.0,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,5,G BORTOLETO,Audi,12,7,6.7203,0.05971,0.18651,0.5424,0.079,0.62,1.0,0.079,0.478,0.4762,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,14,F ALONSO,Aston Martin,20,8,7.52775,0.04671,0.16126,0.49626,0.079,0.62,1.0,0.079,0.445,0.0952,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,63,G RUSSELL,Mercedes,5,9,7.53035,0.03655,0.13943,0.43218,0.0662,0.62,1.0,0.0662,0.357,0.8095,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,stable_baseline,81,O PIASTRI,McLaren,7,10,7.57425,0.02859,0.12056,0.35278,0.063,0.62,1.0,0.063,0.335,0.7143,2026-07-17T06:14:28Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
