event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,1,L NORRIS,McLaren,6,1,2.20055,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,3,2,2.733365,0.20136,0.38331,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.9048,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,6,I HADJAR,Red Bull Racing,8,3,3.486365,0.1557,0.32913,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,12,K ANTONELLI,Mercedes,2,4,4.08597,0.1204,0.28261,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.9524,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,16,C LECLERC,Ferrari,4,5,4.40276,0.0931,0.24267,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.8571,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,44,L HAMILTON,Ferrari,1,6,6.28076,0.07199,0.20837,0.57297,0.0646,0.62,1.0,0.0646,0.346,1.0,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,5,G BORTOLETO,Audi,12,7,6.7282,0.05567,0.17892,0.5424,0.079,0.62,1.0,0.079,0.478,0.4762,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,63,G RUSSELL,Mercedes,5,8,7.28697,0.04304,0.15363,0.49626,0.0662,0.62,1.0,0.0662,0.357,0.8095,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,81,O PIASTRI,McLaren,7,9,7.33055,0.03328,0.13192,0.43218,0.063,0.62,1.0,0.063,0.335,0.7143,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,pre_weekend,control_room_overlay,14,F ALONSO,Aston Martin,20,10,7.53565,0.02574,0.11327,0.35278,0.079,0.62,1.0,0.079,0.445,0.0952,2026-07-17T08:38:23Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
