event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,1,1,2.383942,0.3528,0.6048,0.8232,0.0662,0.84,1.0,0.0662,0.357,1.0,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,2,2,2.435289,0.27601,0.52293,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.9524,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,4,3,4.328636,0.21594,0.45214,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.8571,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,3,4,4.974942,0.16894,0.39093,0.8179,0.0662,0.84,1.0,0.0662,0.357,0.9048,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,5,5,5.876636,0.13217,0.33801,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.8095,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,6,6.24039,0.1034,0.29225,0.77628,0.079,0.84,1.0,0.079,0.445,0.3333,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,6,7,6.81433,0.0809,0.25269,0.73487,0.063,0.84,1.0,0.063,0.335,0.7619,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,5,G BORTOLETO,Audi,8,8,7.61894,0.06329,0.21848,0.67235,0.079,0.84,1.0,0.079,0.478,0.6667,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,41,A LINDBLAD,Racing Bulls,7,9,8.58392,0.04951,0.18891,0.58553,0.087,0.84,1.0,0.087,0.5,0.7143,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,13,10,8.97433,0.03874,0.16334,0.47796,0.063,0.84,1.0,0.063,0.335,0.4286,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_qualifying,experimental_challenger,30,L LAWSON,Racing Bulls,9,11,9.51292,0.03031,0.14122,0.36204,0.087,0.84,1.0,0.087,0.5,0.619,2026-07-19T09:32:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
