event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,12,K ANTONELLI,Mercedes,1,1,2.622814,0.168,0.288,0.392,0.0629,0.4,1.0,0.0629,0.357,1.0,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,16,C LECLERC,Ferrari,2,2,3.419724,0.13853,0.2569,0.392,0.0614,0.4,1.0,0.0614,0.346,0.9524,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,1,L NORRIS,McLaren,6,3,4.497634,0.11423,0.22915,0.392,0.0599,0.4,1.0,0.0599,0.335,0.7619,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,6,I HADJAR,Red Bull Racing,5,4,4.513161,0.0942,0.20441,0.38948,0.0621,0.4,1.0,0.0621,0.3515,0.8095,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,7,5,5.410161,0.07768,0.18233,0.38201,0.0621,0.4,1.0,0.0621,0.3515,0.7143,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,44,L HAMILTON,Ferrari,3,6,5.847724,0.06405,0.16264,0.36966,0.0614,0.4,1.0,0.0614,0.346,0.9048,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,25,C HERTA,Cadillac,,7,6.1143,0.05282,0.14507,0.34994,0.075,0.4,1.0,0.075,0.478,0.4762,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,36,A IWASA,Red Bull Racing,,8,6.553161,0.04355,0.12941,0.32017,0.0621,0.4,1.0,0.0621,0.3515,0.2381,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,38,D BEGANOVIC,Ferrari,,9,6.831724,0.03591,0.11543,0.27882,0.0614,0.4,1.0,0.0614,0.346,0.1905,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1290_belgium_spa_francorchamps_spa_francorchamps,Belgium - Spa-Francorchamps - Spa-Francorchamps,post_event,experimental_challenger,63,G RUSSELL,Mercedes,4,10,6.873814,0.02961,0.10296,0.2276,0.0629,0.4,1.0,0.0629,0.357,0.8571,2026-07-19T23:47:48Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
