event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,1,1,1.53433,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,1.0,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,2,2,3.088636,0.29468,0.54361,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.9524,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,4,3,3.675289,0.24614,0.48861,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.8571,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,3,4,5.65433,0.20559,0.43917,0.8179,0.063,0.84,1.0,0.063,0.335,0.9048,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,25,C HERTA,Cadillac,,5,5.73894,0.17173,0.39474,0.80222,0.079,0.84,1.0,0.079,0.478,0.4762,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,36,A IWASA,Red Bull Racing,,6,5.788289,0.14344,0.3548,0.77628,0.0654,0.84,1.0,0.0654,0.3515,0.2381,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,38,D BEGANOVIC,Ferrari,,7,6.010636,0.11981,0.31891,0.73487,0.0646,0.84,1.0,0.0646,0.346,0.1905,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,7,8,6.103942,0.10007,0.28664,0.67235,0.0662,0.84,1.0,0.0662,0.357,0.7143,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,5,9,6.176636,0.08359,0.25764,0.58553,0.0646,0.84,1.0,0.0646,0.346,0.8095,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,8,10,6.358289,0.06982,0.23157,0.47796,0.0654,0.84,1.0,0.0654,0.3515,0.6667,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,11,6.52039,0.05832,0.20814,0.36204,0.079,0.84,1.0,0.079,0.445,0.2857,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,6,12,7.334942,0.04871,0.18709,0.25447,0.0662,0.84,1.0,0.0662,0.357,0.7619,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,67,L FORNAROLI,McLaren,,13,8.16033,0.04069,0.16816,0.16765,0.063,0.84,1.0,0.063,0.335,-0.1905,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,72,F VESTI,Mercedes,,14,8.683942,0.03398,0.15114,0.10513,0.0662,0.84,1.0,0.0662,0.357,-0.2381,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,15,8.693614,0.02839,0.13585,0.06372,0.0854,0.84,1.0,0.0854,0.489,0.0,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,61,P ARON,Alpine,,16,9.622532,0.02371,0.12211,0.03778,0.0902,0.84,1.0,0.0902,0.522,-0.0952,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1291_hungary_budapest_hungaroring,Hungary - Budapest - Hungaroring,post_qualifying,experimental_challenger,27,N HULKENBERG,Audi,10,17,9.88094,0.0198,0.10975,0.0252,0.079,0.84,1.0,0.079,0.478,0.5714,2026-07-26T01:24:47Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
