event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,1,L NORRIS,McLaren,1,1,1.95433,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,1.0,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,4,2,2.787289,0.20372,0.38597,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.8571,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,6,I HADJAR,Red Bull Racing,8,3,3.490289,0.15938,0.33372,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,16,C LECLERC,Ferrari,2,4,4.306636,0.12469,0.28855,0.60369,0.0646,0.62,1.0,0.0646,0.346,0.9524,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,12,K ANTONELLI,Mercedes,7,5,4.339942,0.09755,0.24948,0.59211,0.0662,0.62,1.0,0.0662,0.357,0.7143,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,44,L HAMILTON,Ferrari,5,6,6.734636,0.07632,0.21571,0.57297,0.0646,0.62,1.0,0.0646,0.346,0.8095,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,5,G BORTOLETO,Audi,14,7,6.83294,0.05971,0.18651,0.5424,0.079,0.62,1.0,0.079,0.478,0.381,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,14,F ALONSO,Aston Martin,16,8,7.34039,0.04671,0.16126,0.49626,0.079,0.62,1.0,0.079,0.445,0.2857,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,81,O PIASTRI,McLaren,3,9,7.38433,0.03655,0.13943,0.43218,0.063,0.62,1.0,0.063,0.335,0.9048,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,63,G RUSSELL,Mercedes,6,10,7.590942,0.02859,0.12056,0.35278,0.0662,0.62,1.0,0.0662,0.357,0.7619,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,11,S PEREZ,Cadillac,22,11,7.98894,0.02237,0.10424,0.26722,0.079,0.62,1.0,0.079,0.478,0.0,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,18,L STROLL,Aston Martin,20,12,8.04439,0.0175,0.09013,0.18782,0.079,0.62,1.0,0.079,0.445,0.0952,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,34,J CRAWFORD,Aston Martin,,13,8.31039,0.01369,0.07793,0.12374,0.079,0.62,1.0,0.079,0.445,0.3333,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,10,P GASLY,Alpine,12,14,8.397532,0.01071,0.06738,0.0776,0.0902,0.62,1.0,0.0902,0.522,0.4762,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,23,A ALBON,Williams,19,15,8.824002,0.00838,0.05826,0.04703,0.0822,0.62,1.0,0.0822,0.467,0.1429,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,27,N HULKENBERG,Audi,10,16,8.90494,0.00656,0.05037,0.02789,0.079,0.62,1.0,0.079,0.478,0.5714,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,30,L LAWSON,Racing Bulls,11,17,9.79292,0.00513,0.04355,0.0186,0.087,0.62,1.0,0.087,0.5,0.5238,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,31,E OCON,Haas F1 Team,15,18,9.956614,0.00401,0.03766,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.3333,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,41,A LINDBLAD,Racing Bulls,9,19,10.45392,0.00314,0.03256,0.0186,0.087,0.62,1.0,0.087,0.5,0.619,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,55,C SAINZ,Williams,18,20,10.806002,0.00246,0.02815,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.1905,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,43,F COLAPINTO,Alpine,13,21,11.480532,0.00192,0.02434,0.0186,0.0902,0.62,1.0,0.0902,0.522,0.4286,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,77,V BOTTAS,Cadillac,21,22,11.75494,0.0015,0.02105,0.0186,0.079,0.62,1.0,0.079,0.478,0.0476,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,87,O BEARMAN,Haas F1 Team,17,23,12.362614,0.00124,0.0182,0.0186,0.0854,0.62,1.0,0.0854,0.489,0.2381,2026-08-21T05:58:07Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
