event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,1,L NORRIS,McLaren,6,1,2.19425,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,3,2,2.726825,0.21997,0.40392,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.9048,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,6,I HADJAR,Red Bull Racing,8,3,3.479825,0.18581,0.36548,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,12,K ANTONELLI,Mercedes,2,4,4.07935,0.15696,0.3307,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.9524,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,16,C LECLERC,Ferrari,4,5,4.3963,0.13258,0.29923,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.8571,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,36,A IWASA,Red Bull Racing,,6,6.359825,0.112,0.27076,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.2381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,38,D BEGANOVIC,Ferrari,,7,6.4683,0.09461,0.24499,0.5424,0.0646,0.62,1.0,0.0646,0.346,0.1905,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,5,G BORTOLETO,Audi,12,8,6.7203,0.07992,0.22168,0.49626,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,44,L HAMILTON,Ferrari,1,9,7.2743,0.06751,0.20058,0.43218,0.0646,0.62,1.0,0.0646,0.346,1.0,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,14,F ALONSO,Aston Martin,20,10,7.52775,0.05702,0.18149,0.35278,0.079,0.62,1.0,0.079,0.445,0.0952,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,11,S PEREZ,Cadillac,18,11,7.7763,0.04817,0.16422,0.26722,0.079,0.62,1.0,0.079,0.478,0.1905,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,18,L STROLL,Aston Martin,21,12,8.08175,0.04069,0.14859,0.18782,0.079,0.62,1.0,0.079,0.445,0.0476,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,10,P GASLY,Alpine,11,13,8.3331,0.03437,0.13445,0.12374,0.0902,0.62,1.0,0.0902,0.522,0.5238,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,25,C HERTA,Cadillac,,14,8.3903,0.02903,0.12166,0.0776,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,67,L FORNAROLI,McLaren,,15,8.46025,0.02453,0.11008,0.04703,0.063,0.62,1.0,0.063,0.335,-0.2381,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,34,J CRAWFORD,Aston Martin,,16,8.54775,0.02072,0.09961,0.02789,0.079,0.62,1.0,0.079,0.445,0.2857,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,23,A ALBON,Williams,22,17,8.96085,0.0175,0.09013,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.0,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,63,G RUSSELL,Mercedes,5,18,9.03035,0.01478,0.08155,0.0186,0.0662,0.62,1.0,0.0662,0.357,0.8095,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,72,F VESTI,Mercedes,,19,9.28935,0.01249,0.07379,0.0186,0.0662,0.62,1.0,0.0662,0.357,-0.2857,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,stable_baseline,27,N HULKENBERG,Audi,13,20,9.2923,0.01055,0.06677,0.0186,0.079,0.62,1.0,0.079,0.478,0.4286,2026-08-21T06:35:20Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
