event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,1,L NORRIS,McLaren,1,1,1.52425,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,1.0,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,16,C LECLERC,Ferrari,2,2,3.0783,0.29286,0.54161,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.9524,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,4,3,3.664825,0.2431,0.48503,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.8571,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,81,O PIASTRI,McLaren,3,4,5.54425,0.2018,0.43436,0.8179,0.063,0.84,1.0,0.063,0.335,0.9048,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,22,Y TSUNODA,Racing Bulls,,5,5.691,0.16752,0.38898,0.80222,0.087,0.84,1.0,0.087,0.5,0.5238,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,36,A IWASA,Red Bull Racing,,6,5.777825,0.13905,0.34834,0.77628,0.0654,0.84,1.0,0.0654,0.3515,0.2381,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,38,D BEGANOVIC,Ferrari,,7,6.0003,0.11543,0.31195,0.73487,0.0646,0.84,1.0,0.0646,0.346,0.1905,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,25,C HERTA,Cadillac,,8,6.0063,0.09582,0.27936,0.67235,0.079,0.84,1.0,0.079,0.478,0.4286,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,12,K ANTONELLI,Mercedes,7,9,6.09335,0.07954,0.25017,0.58553,0.0662,0.84,1.0,0.0662,0.357,0.7143,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,post_qualifying,stable_baseline,44,L HAMILTON,Ferrari,5,10,6.1663,0.06603,0.22403,0.47796,0.0646,0.84,1.0,0.0646,0.346,0.8095,2026-08-23T00:06:54Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
