event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,1,L NORRIS,McLaren,6,1,2.29425,0.3024,0.5184,0.7056,0.063,0.72,1.0,0.063,0.335,0.7619,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,7,2,3.086825,0.25675,0.47049,0.7056,0.0654,0.72,1.0,0.0654,0.3515,0.7143,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,6,I HADJAR,Red Bull Racing,5,3,3.589825,0.218,0.42701,0.7056,0.0654,0.72,1.0,0.0654,0.3515,0.8095,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,12,K ANTONELLI,Mercedes,1,4,4.35935,0.18509,0.38755,0.70106,0.0662,0.72,1.0,0.0662,0.357,1.0,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,16,C LECLERC,Ferrari,2,5,4.9363,0.15715,0.35173,0.68762,0.0646,0.72,1.0,0.0646,0.346,0.9524,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,5,G BORTOLETO,Audi,11,6,6.4403,0.13343,0.31923,0.66538,0.079,0.72,1.0,0.079,0.478,0.5238,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,30,L LAWSON,Red Bull Racing,10,7,7.963825,0.11329,0.28972,0.62988,0.0654,0.72,1.0,0.0654,0.3515,0.5714,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,36,A IWASA,Red Bull Racing,,8,8.019825,0.09619,0.26295,0.5763,0.0654,0.72,1.0,0.0654,0.3515,0.1905,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,38,D BEGANOVIC,Ferrari,,9,8.2583,0.08167,0.23865,0.50188,0.0646,0.72,1.0,0.0646,0.346,0.1429,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,11,S PEREZ,Cadillac,20,10,8.3963,0.06934,0.21659,0.40968,0.079,0.72,1.0,0.079,0.478,0.0952,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,10,P GASLY,Alpine,15,11,8.4631,0.05887,0.19658,0.31032,0.0902,0.72,1.0,0.0902,0.522,0.3333,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,14,F ALONSO,Aston Martin,21,12,8.52775,0.04999,0.17841,0.21812,0.079,0.72,1.0,0.079,0.445,0.0476,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,22,Y TSUNODA,Racing Bulls,,13,8.621,0.04244,0.16192,0.1437,0.087,0.72,1.0,0.087,0.5,0.5238,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,25,C HERTA,Cadillac,,14,8.8603,0.03603,0.14696,0.09012,0.079,0.72,1.0,0.079,0.478,0.4286,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,18,L STROLL,Aston Martin,22,15,9.33175,0.0306,0.13338,0.05462,0.079,0.72,1.0,0.079,0.445,0.0,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,34,J CRAWFORD,Aston Martin,,16,9.59775,0.02598,0.12105,0.03238,0.079,0.72,1.0,0.079,0.445,0.2381,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,44,L HAMILTON,Ferrari,3,17,9.6143,0.02206,0.10986,0.0216,0.0646,0.72,1.0,0.0646,0.346,0.9048,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,23,A ALBON,Williams,16,18,9.89085,0.01873,0.09971,0.0216,0.0822,0.72,1.0,0.0822,0.467,0.2857,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,27,N HULKENBERG,Audi,12,19,10.4123,0.0159,0.09049,0.0216,0.079,0.72,1.0,0.079,0.478,0.4762,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,67,L FORNAROLI,McLaren,,20,11.21025,0.0135,0.08213,0.0216,0.063,0.72,1.0,0.063,0.335,-0.2857,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,63,G RUSSELL,Mercedes,4,21,11.71035,0.01146,0.07454,0.0216,0.0662,0.72,1.0,0.0662,0.357,0.8571,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,31,E OCON,Haas F1 Team,17,22,11.85295,0.00973,0.06765,0.0216,0.0854,0.72,1.0,0.0854,0.489,0.2381,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,72,F VESTI,Mercedes,,23,12.01935,0.00826,0.0614,0.0216,0.0662,0.72,1.0,0.0662,0.357,-0.3333,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,46,L BROWNING,Williams,,24,12.16385,0.00702,0.05573,0.0216,0.0822,0.72,1.0,0.0822,0.467,-0.0476,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,41,A LINDBLAD,Racing Bulls,9,25,12.69,0.00596,0.05058,0.0216,0.087,0.72,1.0,0.087,0.5,0.619,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,50,R HIRAKAWA,Haas F1 Team,,26,12.97195,0.00506,0.0459,0.0216,0.0854,0.72,1.0,0.0854,0.489,-0.0952,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,81,O PIASTRI,McLaren,8,27,13.07425,0.00429,0.04166,0.0216,0.063,0.72,1.0,0.063,0.335,0.6667,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,55,C SAINZ,Williams,14,28,14.27285,0.00365,0.03781,0.0216,0.0822,0.72,1.0,0.0822,0.467,0.381,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,61,P ARON,Alpine,,29,14.3641,0.0031,0.03432,0.0216,0.0902,0.72,1.0,0.0902,0.522,-0.1905,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,43,F COLAPINTO,Alpine,19,30,14.4961,0.00263,0.03114,0.0216,0.0902,0.72,1.0,0.0902,0.522,0.1429,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,97,P ARON,Audi,,31,16.1853,0.00223,0.02827,0.0216,0.079,0.72,1.0,0.079,0.478,-0.5714,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,90,A IWASA,Racing Bulls,,32,16.389,0.00189,0.02565,0.0216,0.087,0.72,1.0,0.087,0.5,-0.5238,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,77,V BOTTAS,Cadillac,18,33,16.6623,0.00161,0.02328,0.0216,0.079,0.72,1.0,0.079,0.478,0.1905,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1293_italy_monza_monza,Italy - Monza - Monza,post_fp3,stable_baseline,87,O BEARMAN,Haas F1 Team,13,34,17.10895,0.00144,0.02113,0.0216,0.0854,0.72,1.0,0.0854,0.489,0.4286,2026-09-05T13:19:42Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
