event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,1,L NORRIS,McLaren,6,1,2.19425,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,3,2,2.726825,0.21877,0.40262,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.9048,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,6,I HADJAR,Red Bull Racing,8,3,3.479825,0.1838,0.36313,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,12,K ANTONELLI,Mercedes,2,4,4.07935,0.15441,0.32752,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.9524,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,16,C LECLERC,Ferrari,4,5,4.3963,0.12973,0.29539,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.8571,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,30,L LAWSON,Red Bull Racing,9,6,6.303825,0.10899,0.26642,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.619,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,36,A IWASA,Red Bull Racing,,7,6.609825,0.09157,0.24029,0.5424,0.0654,0.62,1.0,0.0654,0.3515,0.1905,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,38,D BEGANOVIC,Ferrari,,8,6.7183,0.07693,0.21673,0.49626,0.0646,0.62,1.0,0.0646,0.346,0.1429,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,5,G BORTOLETO,Audi,12,9,6.7203,0.06463,0.19547,0.43218,0.079,0.62,1.0,0.079,0.478,0.4762,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,pre_weekend,stable_baseline,44,L HAMILTON,Ferrari,1,10,7.5243,0.0543,0.1763,0.35278,0.0646,0.62,1.0,0.0646,0.346,1.0,2026-09-11T09:25:58Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
