event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,1,1,2.383942,0.3528,0.6048,0.8232,0.0662,0.84,1.0,0.0662,0.357,1.0,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,2,2,3.088636,0.29955,0.54891,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.9524,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,5,3,4.498289,0.25433,0.49818,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.8095,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,6,4,4.63433,0.21594,0.45214,0.8179,0.063,0.84,1.0,0.063,0.335,0.7619,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,3,5,5.036636,0.18334,0.41035,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.9048,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,7,6,5.535289,0.15567,0.37243,0.77628,0.0654,0.84,1.0,0.0654,0.3515,0.7143,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,22,Y TSUNODA,Racing Bulls,,7,5.70492,0.13217,0.33801,0.73487,0.087,0.84,1.0,0.087,0.5,0.5238,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,25,C HERTA,Cadillac,,8,6.01894,0.11222,0.30677,0.67235,0.079,0.84,1.0,0.079,0.478,0.4286,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,36,A IWASA,Red Bull Racing,,9,6.068289,0.09528,0.27842,0.58553,0.0654,0.84,1.0,0.0654,0.3515,0.1905,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,38,D BEGANOVIC,Ferrari,,10,6.290636,0.0809,0.25269,0.47796,0.0646,0.84,1.0,0.0646,0.346,0.1429,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,4,11,6.294942,0.06869,0.22934,0.36204,0.0662,0.84,1.0,0.0662,0.357,0.8571,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,12,6.80039,0.05832,0.20814,0.25447,0.079,0.84,1.0,0.079,0.445,0.2381,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,67,L FORNAROLI,McLaren,,13,8.72033,0.04951,0.18891,0.16765,0.063,0.84,1.0,0.063,0.335,-0.2857,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,30,L LAWSON,Red Bull Racing,10,14,8.722289,0.04204,0.17145,0.10513,0.0654,0.84,1.0,0.0654,0.3515,0.5714,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,46,L BROWNING,Williams,,15,8.731002,0.03569,0.15561,0.06372,0.0822,0.84,1.0,0.0822,0.467,-0.0476,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,8,16,8.95433,0.03031,0.14122,0.03778,0.063,0.84,1.0,0.063,0.335,0.6667,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,72,F VESTI,Mercedes,,17,9.243942,0.02573,0.12817,0.0252,0.0662,0.84,1.0,0.0662,0.357,-0.3333,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,18,9.253614,0.02185,0.11633,0.0252,0.0854,0.84,1.0,0.0854,0.489,-0.0952,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,5,G BORTOLETO,Audi,11,19,9.47894,0.01855,0.10558,0.0252,0.079,0.84,1.0,0.079,0.478,0.5238,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,61,P ARON,Alpine,,20,10.182532,0.01575,0.09582,0.0252,0.0902,0.84,1.0,0.0902,0.522,-0.1905,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,41,A LINDBLAD,Racing Bulls,9,21,10.22392,0.01337,0.08696,0.0252,0.087,0.84,1.0,0.087,0.5,0.619,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,27,N HULKENBERG,Audi,12,22,11.22094,0.01135,0.07893,0.0252,0.079,0.84,1.0,0.079,0.478,0.4762,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,97,P ARON,Audi,,23,11.87394,0.00964,0.07163,0.0252,0.079,0.84,1.0,0.079,0.478,-0.5714,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,90,A IWASA,Racing Bulls,,24,11.93292,0.00818,0.06501,0.0252,0.087,0.84,1.0,0.087,0.5,-0.5238,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,10,P GASLY,Alpine,15,25,12.651532,0.00695,0.05901,0.0252,0.0902,0.84,1.0,0.0902,0.522,0.3333,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,23,A ALBON,Williams,16,26,13.388002,0.0059,0.05355,0.0252,0.0822,0.84,1.0,0.0822,0.467,0.2857,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,55,C SAINZ,Williams,14,27,13.480002,0.00501,0.0486,0.0252,0.0822,0.84,1.0,0.0822,0.467,0.381,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,experimental_challenger,87,O BEARMAN,Haas F1 Team,13,28,13.830614,0.00425,0.04411,0.0252,0.0854,0.84,1.0,0.0854,0.489,0.4286,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
