event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,12,K ANTONELLI,Mercedes,1,1,2.37335,0.3528,0.6048,0.8232,0.0662,0.84,1.0,0.0662,0.357,1.0,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,16,C LECLERC,Ferrari,2,2,3.0783,0.29955,0.54891,0.8232,0.0646,0.84,1.0,0.0646,0.346,0.9524,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,6,I HADJAR,Red Bull Racing,5,3,4.487825,0.25433,0.49818,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.8095,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,1,L NORRIS,McLaren,6,4,4.62425,0.21594,0.45214,0.8179,0.063,0.84,1.0,0.063,0.335,0.7619,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,44,L HAMILTON,Ferrari,3,5,5.0263,0.18334,0.41035,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.9048,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,3,M VERSTAPPEN,Red Bull Racing,7,6,5.524825,0.15567,0.37243,0.77628,0.0654,0.84,1.0,0.0654,0.3515,0.7143,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,22,Y TSUNODA,Racing Bulls,,7,5.691,0.13217,0.33801,0.73487,0.087,0.84,1.0,0.087,0.5,0.5238,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,25,C HERTA,Cadillac,,8,6.0063,0.11222,0.30677,0.67235,0.079,0.84,1.0,0.079,0.478,0.4286,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,36,A IWASA,Red Bull Racing,,9,6.057825,0.09528,0.27842,0.58553,0.0654,0.84,1.0,0.0654,0.3515,0.1905,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_qualifying,stable_baseline,38,D BEGANOVIC,Ferrari,,10,6.2803,0.0809,0.25269,0.47796,0.0646,0.84,1.0,0.0646,0.346,0.1429,2026-09-12T18:12:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
