event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,1,L NORRIS,McLaren,1,1,1.497634,0.168,0.288,0.392,0.0599,0.4,1.0,0.0599,0.335,1.0,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,3,2,3.010161,0.13853,0.2569,0.392,0.0621,0.4,1.0,0.0621,0.3515,0.9091,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,12,K ANTONELLI,Mercedes,2,3,3.222814,0.11423,0.22915,0.392,0.0629,0.4,1.0,0.0629,0.357,0.9545,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,16,C LECLERC,Ferrari,5,4,5.219724,0.0942,0.20441,0.38948,0.0614,0.4,1.0,0.0614,0.346,0.8182,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,44,L HAMILTON,Ferrari,4,5,6.297724,0.07768,0.18233,0.38201,0.0614,0.4,1.0,0.0614,0.346,0.8636,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,38,D BEGANOVIC,Ferrari,,6,6.501724,0.06405,0.16264,0.36966,0.0614,0.4,1.0,0.0614,0.346,0.2727,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,34,J CRAWFORD,Aston Martin,,7,7.13175,0.05282,0.14507,0.34994,0.075,0.4,1.0,0.075,0.445,0.3182,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,30,L LAWSON,Red Bull Racing,8,8,7.837161,0.04355,0.12941,0.32017,0.0621,0.4,1.0,0.0621,0.3515,0.6818,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,63,G RUSSELL,Mercedes,6,9,8.223814,0.03591,0.11543,0.27882,0.0629,0.4,1.0,0.0629,0.357,0.7727,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1294_spain_madrid_madring,Spain - Madrid - Madring,post_event,experimental_challenger,81,O PIASTRI,McLaren,7,10,8.927634,0.02961,0.10296,0.2276,0.0599,0.4,1.0,0.0599,0.335,0.7273,2026-09-13T19:10:15Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
