event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,1,L NORRIS,McLaren,1,1,1.53433,0.3528,0.6048,0.8232,0.063,0.84,1.0,0.063,0.335,1.0,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,12,K ANTONELLI,Mercedes,2,2,3.003942,0.29092,0.53948,0.8232,0.0662,0.84,1.0,0.0662,0.357,0.9545,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,3,3,3.055289,0.23989,0.48122,0.8232,0.0654,0.84,1.0,0.0654,0.3515,0.9091,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,16,C LECLERC,Ferrari,5,4,4.948636,0.19781,0.42925,0.8179,0.0646,0.84,1.0,0.0646,0.346,0.8182,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,44,L HAMILTON,Ferrari,4,5,5.456636,0.16312,0.38289,0.80222,0.0646,0.84,1.0,0.0646,0.346,0.8636,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,25,C HERTA,Cadillac,,6,6.01894,0.13451,0.34154,0.77628,0.079,0.84,1.0,0.079,0.478,0.4545,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,6,I HADJAR,Red Bull Racing,8,7,6.358289,0.11091,0.30466,0.73487,0.0654,0.84,1.0,0.0654,0.3515,0.6818,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,34,J CRAWFORD,Aston Martin,,8,6.80039,0.09146,0.27175,0.67235,0.079,0.84,1.0,0.079,0.445,0.2727,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,63,G RUSSELL,Mercedes,6,9,7.234942,0.07542,0.24241,0.58553,0.0662,0.84,1.0,0.0662,0.357,0.7727,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,67,L FORNAROLI,McLaren,,10,7.88033,0.06219,0.21623,0.47796,0.063,0.84,1.0,0.063,0.335,-0.0909,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,81,O PIASTRI,McLaren,7,11,8.03433,0.05128,0.19287,0.36204,0.063,0.84,1.0,0.063,0.335,0.7273,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,72,F VESTI,Mercedes,,12,8.403942,0.04229,0.17204,0.25447,0.0662,0.84,1.0,0.0662,0.357,-0.1364,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,50,R HIRAKAWA,Haas F1 Team,,13,8.413614,0.03487,0.15346,0.16765,0.0854,0.84,1.0,0.0854,0.489,0.0909,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,30,L LAWSON,Racing Bulls,8,14,9.09292,0.02875,0.13689,0.10513,0.087,0.84,1.0,0.087,0.5,0.6818,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,61,P ARON,Alpine,,15,9.342532,0.02371,0.12211,0.06372,0.0902,0.84,1.0,0.0902,0.522,0.0,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,5,G BORTOLETO,Audi,12,16,10.09894,0.01955,0.10892,0.03778,0.079,0.84,1.0,0.079,0.478,0.5,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,43,F COLAPINTO,Alpine,9,17,10.364532,0.01612,0.09716,0.0252,0.0902,0.84,1.0,0.0902,0.522,0.6364,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,27,N HULKENBERG,Audi,11,18,10.60094,0.01329,0.08666,0.0252,0.079,0.84,1.0,0.079,0.478,0.5455,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,41,A LINDBLAD,Racing Bulls,10,19,10.64392,0.01096,0.0773,0.0252,0.087,0.84,1.0,0.087,0.5,0.5909,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,10,P GASLY,Alpine,14,20,12.031532,0.00904,0.06896,0.0252,0.0902,0.84,1.0,0.0902,0.522,0.4091,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,post_qualifying,experimental_challenger,31,E OCON,Haas F1 Team,13,21,12.174614,0.00745,0.06151,0.0252,0.0854,0.84,1.0,0.0854,0.489,0.4545,2026-09-25T19:18:36Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
