event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,1,L NORRIS,McLaren,1,1,1.49404,0.21,0.36,0.49,0.0599,0.5,1.0,0.0599,0.335,1.0,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,16,C LECLERC,Ferrari,2,2,3.41604,0.17193,0.31976,0.49,0.0614,0.5,1.0,0.0614,0.346,0.9524,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,3,M VERSTAPPEN,Red Bull Racing,4,3,3.606435,0.14077,0.28403,0.49,0.0621,0.5,1.0,0.0621,0.3515,0.8571,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,22,Y TSUNODA,Racing Bulls,,4,6.00046,0.11525,0.25228,0.48684,0.0826,0.5,1.0,0.0826,0.5,0.5238,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,12,K ANTONELLI,Mercedes,7,5,6.21904,0.09436,0.22409,0.47751,0.0629,0.5,1.0,0.0629,0.357,0.7143,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,6,I HADJAR,Red Bull Racing,8,6,6.309435,0.07725,0.19904,0.46207,0.0621,0.5,1.0,0.0621,0.3515,0.6667,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,25,C HERTA,Cadillac,,7,6.4398,0.06325,0.1768,0.43742,0.075,0.5,1.0,0.075,0.478,0.4286,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,36,A IWASA,Red Bull Racing,,8,6.549435,0.05179,0.15704,0.40021,0.0621,0.5,1.0,0.0621,0.3515,0.2381,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,81,O PIASTRI,McLaren,3,9,6.67404,0.0424,0.13948,0.34853,0.0599,0.5,1.0,0.0599,0.335,0.9048,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1295_azerbaijan_baku_baku,Azerbaijan - Baku - Baku,race_result,control_room_overlay,38,D BEGANOVIC,Ferrari,,10,6.82804,0.03471,0.1239,0.2845,0.0614,0.5,1.0,0.0614,0.346,0.1905,2026-09-26T14:53:00Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
