timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-06-26T21:50:17.057962Z,sessions,sessions_by_year,"{""year"": 2026}",126,pass,,0.435
2026-06-26T21:50:17.633352Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.414
2026-06-26T21:50:18.308823Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.573
2026-06-26T21:50:18.962911Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.552
2026-06-26T21:50:19.685863Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.622
2026-06-26T21:50:20.365341Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.577
2026-06-26T21:50:20.467348Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-26T21:50:21.021815Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.554
2026-06-26T21:50:21.540966Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.418
2026-06-26T21:50:22.207319Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.564
2026-06-26T21:50:22.709970Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.401
2026-06-26T21:50:23.177475Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.365
2026-06-26T21:50:23.646595Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.367
2026-06-26T21:50:24.127935Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.38
2026-06-26T21:50:24.606477Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.377
2026-06-26T21:50:24.708464Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-26T21:50:25.074806Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.366
2026-06-26T21:50:25.607213Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.431
2026-06-26T21:50:26.290267Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.581
2026-06-26T21:50:26.779943Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.388
2026-06-26T21:50:27.270671Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.389
2026-06-26T21:50:27.726752Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.354
2026-06-26T21:50:28.229443Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.401
2026-06-26T21:50:28.913556Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.582
2026-06-26T21:50:29.015591Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-26T21:50:29.565479Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.55
2026-06-26T21:50:30.038194Z,drivers,drivers_by_session_key,"{""session_key"": 11467}",22,pass,,0.371
2026-06-26T21:50:30.518591Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11467}",1,pass,,0.378
2026-06-26T21:50:31.007462Z,weather,weather_by_session_key,"{""session_key"": 11470}",517,pass,,0.387
2026-06-26T21:50:31.483501Z,race_control,race_control_by_session_key,"{""session_key"": 11470}",57,pass,,0.374
2026-06-26T21:50:31.963802Z,intervals,intervals_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.378
2026-06-26T21:50:32.445430Z,position,position_by_session_key,"{""session_key"": 11470}",429,pass,,0.38
2026-06-26T21:50:32.925483Z,stints,stints_by_session_key,"{""session_key"": 11470}",243,pass,,0.378
2026-06-26T21:50:33.027492Z,pit,skip_non_race_like_session,"{""session_key"": 11470}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-26T21:50:33.406580Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.379
2026-06-26T21:50:33.873228Z,drivers,drivers_by_session_key,"{""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.365
2026-06-26T21:50:34.344198Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 1, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.366
2026-06-26T21:50:34.813027Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 3, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.368
2026-06-26T21:50:35.282550Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 5, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.368
2026-06-26T21:50:35.750253Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 6, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.367
2026-06-26T21:50:36.221656Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 10, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.37
2026-06-26T21:50:36.703581Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 11, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.381
2026-06-26T21:50:37.170491Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 12, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.366
2026-06-26T21:50:37.640429Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 14, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.369
2026-06-26T21:50:38.111234Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 16, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.37
2026-06-26T21:50:38.576995Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 18, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.365
2026-06-26T21:50:39.054356Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 23, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.376
2026-06-26T21:50:39.535267Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 27, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.38
2026-06-26T21:50:40.005440Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 30, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.369
2026-06-26T21:50:40.477992Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 31, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.371
2026-06-26T21:50:40.944577Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 41, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.365
2026-06-26T21:50:41.423030Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 43, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.377
2026-06-26T21:50:41.892908Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 44, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.369
2026-06-26T21:50:42.359131Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 55, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.365
2026-06-26T21:50:42.844525Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 63, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.384
2026-06-26T21:50:43.313142Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 77, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.367
