position,driver_number,lap_duration,meeting_key,session_key,source_closure_retrieved_utc
1,63,78.518,1279,11230,2026-07-19T19:36:02.973590Z
2,12,78.811,1279,11230,2026-07-19T19:36:02.973590Z
3,6,79.303,1279,11230,2026-07-19T19:36:02.973590Z
4,16,79.327,1279,11230,2026-07-19T19:36:02.973590Z
5,81,79.38,1279,11230,2026-07-19T19:36:02.973590Z
6,1,79.475,1279,11230,2026-07-19T19:36:02.973590Z
7,44,79.478,1279,11230,2026-07-19T19:36:02.973590Z
8,30,79.994,1279,11230,2026-07-19T19:36:02.973590Z
9,41,81.247,1279,11230,2026-07-19T19:36:02.973590Z
10,5,,1279,11230,2026-07-19T19:36:02.973590Z
11,27,80.303,1279,11230,2026-07-19T19:36:02.973590Z
12,87,80.311,1279,11230,2026-07-19T19:36:02.973590Z
13,31,80.491,1279,11230,2026-07-19T19:36:02.973590Z
14,10,80.501,1279,11230,2026-07-19T19:36:02.973590Z
15,23,80.941,1279,11230,2026-07-19T19:36:02.973590Z
16,43,81.27,1279,11230,2026-07-19T19:36:02.973590Z
17,14,81.969,1279,11230,2026-07-19T19:36:02.973590Z
18,11,82.605,1279,11230,2026-07-19T19:36:02.973590Z
19,77,83.244,1279,11230,2026-07-19T19:36:02.973590Z
20,3,,1279,11230,2026-07-19T19:36:02.973590Z
21,55,,1279,11230,2026-07-19T19:36:02.973590Z
22,18,,1279,11230,2026-07-19T19:36:02.973590Z
1,1,87.869,1284,11271,2026-07-19T19:40:05.321335Z
2,12,88.091,1284,11271,2026-07-19T19:40:05.321335Z
3,81,88.108,1284,11271,2026-07-19T19:40:05.321335Z
4,16,88.239,1284,11271,2026-07-19T19:40:05.321335Z
5,3,88.461,1284,11271,2026-07-19T19:40:05.321335Z
6,63,88.493,1284,11271,2026-07-19T19:40:05.321335Z
7,44,88.618,1284,11271,2026-07-19T19:40:05.321335Z
8,43,89.32,1284,11271,2026-07-19T19:40:05.321335Z
9,6,89.422,1284,11271,2026-07-19T19:40:05.321335Z
10,10,89.474,1284,11271,2026-07-19T19:40:05.321335Z
11,5,89.994,1284,11271,2026-07-19T19:40:05.321335Z
12,27,90.019,1284,11271,2026-07-19T19:40:05.321335Z
13,87,90.116,1284,11271,2026-07-19T19:40:05.321335Z
14,55,90.224,1284,11271,2026-07-19T19:40:05.321335Z
15,30,91.043,1284,11271,2026-07-19T19:40:05.321335Z
16,31,91.245,1284,11271,2026-07-19T19:40:05.321335Z
17,11,91.255,1284,11271,2026-07-19T19:40:05.321335Z
18,23,91.322,1284,11271,2026-07-19T19:40:05.321335Z
19,77,91.826,1284,11271,2026-07-19T19:40:05.321335Z
20,14,101.311,1284,11271,2026-07-19T19:40:05.321335Z
21,18,,1284,11271,2026-07-19T19:40:05.321335Z
22,41,90.573,1284,11271,2026-07-19T19:40:05.321335Z
1,12,87.798,1284,11276,2026-07-19T19:40:14.321023Z
2,3,87.964,1284,11276,2026-07-19T19:40:14.321023Z
3,16,88.143,1284,11276,2026-07-19T19:40:14.321023Z
4,1,88.183,1284,11276,2026-07-19T19:40:14.321023Z
5,63,88.197,1284,11276,2026-07-19T19:40:14.321023Z
6,44,88.319,1284,11276,2026-07-19T19:40:14.321023Z
7,81,88.5,1284,11276,2026-07-19T19:40:14.321023Z
8,43,88.762,1284,11276,2026-07-19T19:40:14.321023Z
9,10,88.81,1284,11276,2026-07-19T19:40:14.321023Z
10,27,89.439,1284,11276,2026-07-19T19:40:14.321023Z
11,30,89.499,1284,11276,2026-07-19T19:40:14.321023Z
12,87,89.567,1284,11276,2026-07-19T19:40:14.321023Z
13,55,89.568,1284,11276,2026-07-19T19:40:14.321023Z
14,31,89.772,1284,11276,2026-07-19T19:40:14.321023Z
15,23,89.946,1284,11276,2026-07-19T19:40:14.321023Z
16,41,90.133,1284,11276,2026-07-19T19:40:14.321023Z
17,14,91.098,1284,11276,2026-07-19T19:40:14.321023Z
18,18,91.164,1284,11276,2026-07-19T19:40:14.321023Z
19,77,91.629,1284,11276,2026-07-19T19:40:14.321023Z
20,11,91.967,1284,11276,2026-07-19T19:40:14.321023Z
21,5,93.737,1284,11276,2026-07-19T19:40:14.321023Z
22,6,,1284,11276,2026-07-19T19:40:14.321023Z
1,63,72.578,1285,11287,2026-07-19T19:41:12.976527Z
2,12,72.646,1285,11287,2026-07-19T19:41:12.976527Z
3,1,72.729,1285,11287,2026-07-19T19:41:12.976527Z
4,81,72.781,1285,11287,2026-07-19T19:41:12.976527Z
5,44,72.868,1285,11287,2026-07-19T19:41:12.976527Z
6,3,72.907,1285,11287,2026-07-19T19:41:12.976527Z
7,6,72.935,1285,11287,2026-07-19T19:41:12.976527Z
