date,session_key,driver_number,gap_to_leader,interval,meeting_key,source_closure_retrieved_utc
2026-03-29T04:10:21.258000+00:00,11253,12,0.0,0.0,1281,2026-07-25T16:31:14.640634Z
2026-03-29T04:10:38.936000+00:00,11253,12,0.0,0.0,1281,2026-07-25T16:31:14.640634Z
2026-03-29T04:10:43.061000+00:00,11253,12,0.0,0.0,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:06.908000+00:00,11253,16,,0.207,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:07.069000+00:00,11253,1,0.125,0.149,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:07.171000+00:00,11253,44,0.318,0.193,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:07.467000+00:00,11253,10,0.682,0.364,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:07.789000+00:00,11253,6,0.961,0.279,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:07.978000+00:00,11253,41,1.133,,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.117000+00:00,11253,31,1.262,,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.390000+00:00,11253,3,1.428,0.295,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.554000+00:00,11253,5,1.531,0.57,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.611000+00:00,11253,30,1.561,,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.870000+00:00,11253,55,1.718,,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:08.880000+00:00,11253,43,1.75,0.189,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.012000+00:00,11253,23,1.839,0.121,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.085000+00:00,11253,87,1.997,0.158,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.146000+00:00,11253,27,2.042,0.78,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.342000+00:00,11253,11,2.226,0.229,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.373000+00:00,11253,77,2.326,0.1,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.445000+00:00,11253,14,2.442,0.116,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.560000+00:00,11253,18,2.77,0.328,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.752000+00:00,11253,81,0.0,0.0,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.902000+00:00,11253,63,0.097,0.097,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:09.919000+00:00,11253,16,0.119,0.022,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.008000+00:00,11253,1,0.225,0.106,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.140000+00:00,11253,44,0.362,0.137,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.233000+00:00,11253,12,0.466,0.104,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.459000+00:00,11253,10,0.686,0.22,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.730000+00:00,11253,6,0.949,0.263,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.956000+00:00,11253,41,1.013,0.064,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:10.968000+00:00,11253,31,1.083,0.07,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.250000+00:00,11253,3,1.304,0.221,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.319000+00:00,11253,30,1.327,0.023,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.547000+00:00,11253,55,1.476,0.149,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.601000+00:00,11253,5,1.519,0.043,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.631000+00:00,11253,23,1.533,0.014,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.862000+00:00,11253,43,1.632,0.099,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.890000+00:00,11253,87,1.695,0.063,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:11.995000+00:00,11253,27,1.85,0.155,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:12.002000+00:00,11253,77,1.964,,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:12.047000+00:00,11253,11,1.855,0.005,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:12.136000+00:00,11253,14,2.096,0.132,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:12.205000+00:00,11253,18,2.407,0.311,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:13.517000+00:00,11253,16,0.208,0.208,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:13.682000+00:00,11253,63,0.45,0.242,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:13.835000+00:00,11253,1,0.568,0.118,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:13.974000+00:00,11253,44,0.698,0.13,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.161000+00:00,11253,12,0.89,0.192,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.446000+00:00,11253,10,1.174,0.284,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.458000+00:00,11253,6,1.236,0.062,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.662000+00:00,11253,41,1.391,0.155,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.807000+00:00,11253,31,1.583,0.192,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:14.919000+00:00,11253,3,1.691,0.108,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.030000+00:00,11253,30,1.771,0.08,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.208000+00:00,11253,5,1.951,0.18,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.416000+00:00,11253,55,2.132,0.181,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.452000+00:00,11253,43,2.213,0.081,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.651000+00:00,11253,23,2.398,0.185,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.799000+00:00,11253,11,2.562,0.164,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:15.967000+00:00,11253,87,2.689,0.127,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.006000+00:00,11253,27,2.773,0.084,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.274000+00:00,11253,77,3.019,0.246,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.342000+00:00,11253,14,3.021,0.002,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:16.612000+00:00,11253,18,3.371,0.35,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.543000+00:00,11253,16,0.483,0.483,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.733000+00:00,11253,1,0.652,0.169,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:17.826000+00:00,11253,63,0.748,0.096,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.160000+00:00,11253,44,1.057,0.309,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.372000+00:00,11253,12,1.308,0.251,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.611000+00:00,11253,6,1.537,0.229,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:18.635000+00:00,11253,10,1.543,0.006,1281,2026-07-25T16:31:14.640634Z
