date,session_key,meeting_key,pit_duration,lap_number,lane_duration,stop_duration,driver_number,source_closure_retrieved_utc
2026-03-13T07:30:03.471000+00:00,11236,1280,,1,,,77,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:10.065000+00:00,11236,1280,,1,,,6,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:17.746000+00:00,11236,1280,,1,,,3,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:25.659000+00:00,11236,1280,,1,,,27,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:31.427000+00:00,11236,1280,,1,,,5,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:35.833000+00:00,11236,1280,,1,,,31,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:39.895000+00:00,11236,1280,,1,,,87,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:43.255000+00:00,11236,1280,,1,,,18,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:53.261000+00:00,11236,1280,,1,,,30,2026-08-16T18:53:09.792211Z
2026-03-13T07:30:57.493000+00:00,11236,1280,,1,,,41,2026-08-16T18:53:09.792211Z
2026-03-13T07:31:02.441000+00:00,11236,1280,,1,,,16,2026-08-16T18:53:09.792211Z
2026-03-13T07:31:23.968000+00:00,11236,1280,,1,,,44,2026-08-16T18:53:09.792211Z
2026-03-13T07:31:29.351000+00:00,11236,1280,,1,,,81,2026-08-16T18:53:09.792211Z
2026-03-13T07:31:44.586000+00:00,11236,1280,,1,,,1,2026-08-16T18:53:09.792211Z
2026-03-13T07:32:58.933000+00:00,11236,1280,,1,,,10,2026-08-16T18:53:09.792211Z
2026-03-13T07:33:00.841000+00:00,11236,1280,,1,,,43,2026-08-16T18:53:09.792211Z
2026-03-13T07:33:17.842000+00:00,11236,1280,,1,,,55,2026-08-16T18:53:09.792211Z
2026-03-13T07:33:27.139000+00:00,11236,1280,,1,,,23,2026-08-16T18:53:09.792211Z
2026-03-13T07:33:37.702000+00:00,11236,1280,,1,,,12,2026-08-16T18:53:09.792211Z
2026-03-13T07:33:46.124000+00:00,11236,1280,,1,,,63,2026-08-16T18:53:09.792211Z
