date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number,source_closure_retrieved_utc
2026-03-15T07:06:25.125000+00:00,11245,1280,23.062,2.7,23.062,6,1,2026-08-29T19:49:18.985222Z
2026-03-15T07:19:30.772000+00:00,11245,1280,22.721,2.5,22.721,30,9,2026-08-29T19:49:18.985222Z
2026-03-15T07:19:31.880000+00:00,11245,1280,23.678,3.4,23.678,3,9,2026-08-29T19:49:18.985222Z
2026-03-15T07:19:34.317000+00:00,11245,1280,23.106,3.1,23.106,55,9,2026-08-29T19:49:18.985222Z
2026-03-15T07:20:48.777000+00:00,11245,1280,23.005,2.9,23.005,12,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:20:56.454000+00:00,11245,1280,23.39,3.2,23.39,63,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:20:56.799000+00:00,11245,1280,22.433,2.4,22.433,44,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:21:02.954000+00:00,11245,1280,25.633,3.5,25.633,16,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:21:06.329000+00:00,11245,1280,23.539,2.8,23.539,10,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:21:23.314000+00:00,11245,1280,22.967,,22.967,87,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:21:49.224000+00:00,11245,1280,27.795,7.4,27.795,77,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:22:06.849000+00:00,11245,1280,25.748,5.7,25.748,6,10,2026-08-29T19:49:18.985222Z
2026-03-15T07:24:08.630000+00:00,11245,1280,26.213,5.5,26.213,11,11,2026-08-29T19:49:18.985222Z
2026-03-15T07:55:08.164000+00:00,11245,1280,25.997,5.7,25.997,31,29,2026-08-29T19:49:18.985222Z
2026-03-15T07:58:53.861000+00:00,11245,1280,23.291,2.8,23.291,14,31,2026-08-29T19:49:18.985222Z
2026-03-15T07:59:58.613000+00:00,11245,1280,23.195,2.6,23.195,43,32,2026-08-29T19:49:18.985222Z
2026-03-15T08:05:10.947000+00:00,11245,1280,37.358,16.1,37.358,27,35,2026-08-29T19:49:18.985222Z
2026-03-15T08:16:43.743000+00:00,11245,1280,23.29,2.9,23.29,41,42,2026-08-29T19:49:18.985222Z
2026-03-15T08:23:53.817000+00:00,11245,1280,47.067,26.9,47.067,31,46,2026-08-29T19:49:18.985222Z
2026-05-01T20:31:14.831000+00:00,11271,1284,,,,77,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:21.180000+00:00,11271,1284,,,,31,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:23.920000+00:00,11271,1284,,,,87,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:26.390000+00:00,11271,1284,,,,18,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:28.608000+00:00,11271,1284,,,,10,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:32.695000+00:00,11271,1284,,,,14,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:37.115000+00:00,11271,1284,,,,41,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:31:45.194000+00:00,11271,1284,,,,43,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:07.669000+00:00,11271,1284,,,,1,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:14.224000+00:00,11271,1284,,,,81,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:17.885000+00:00,11271,1284,,,,16,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:23.410000+00:00,11271,1284,,,,44,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:38.027000+00:00,11271,1284,,,,11,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:40.107000+00:00,11271,1284,,,,63,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:49.217000+00:00,11271,1284,,,,12,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:32:55.069000+00:00,11271,1284,,,,30,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:03.230000+00:00,11271,1284,,,,3,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:08.016000+00:00,11271,1284,,,,6,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:23.580000+00:00,11271,1284,,,,27,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:29.419000+00:00,11271,1284,,,,55,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:36.401000+00:00,11271,1284,,,,23,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:33:43.138000+00:00,11271,1284,,,,5,1,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:20.202000+00:00,11271,1284,90.3,,90.3,30,3,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:27.726000+00:00,11271,1284,69.0,,69.0,41,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:34.247000+00:00,11271,1284,102.7,,102.7,31,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:36.338000+00:00,11271,1284,89.7,,89.7,87,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:45.299000+00:00,11271,1284,24.4,,24.4,63,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:38:58.027000+00:00,11271,1284,33.5,,33.5,12,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:39:06.581000+00:00,11271,1284,152.2,,152.2,77,4,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:03.605000+00:00,11271,1284,357.5,,357.5,12,6,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:08.221000+00:00,11271,1284,296.9,,296.9,63,7,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:18.706000+00:00,11271,1284,303.6,,303.6,27,7,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:25.523000+00:00,11271,1284,265.2,,265.2,5,7,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:29.309000+00:00,11271,1284,264.4,,264.4,23,7,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:34.381000+00:00,11271,1284,316.3,,316.3,6,7,2026-08-29T19:54:04.417652Z
2026-05-01T20:49:39.361000+00:00,11271,1284,662.4,,662.4,3,4,2026-08-29T19:54:04.417652Z
