date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-03T16:06:48.897000+00:00,11280,1284,0.0,0.0,12,2026-09-05T22:12:12.772471Z
2026-05-03T16:07:33.838000+00:00,11280,1284,0.0,0.0,12,2026-09-05T22:12:12.772471Z
2026-05-03T16:07:37.744000+00:00,11280,1284,0.0,0.0,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:08.035000+00:00,11280,1284,0.113,0.147,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:08.388000+00:00,11280,1284,0.427,0.314,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:08.445000+00:00,11280,1284,0.478,,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:08.555000+00:00,11280,1284,0.5,0.073,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:08.642000+00:00,11280,1284,0.703,,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.183000+00:00,11280,1284,1.308,,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.501000+00:00,11280,1284,1.48,,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.530000+00:00,11280,1284,1.486,1.008,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.571000+00:00,11280,1284,1.515,0.812,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.695000+00:00,11280,1284,1.619,,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.711000+00:00,11280,1284,1.582,0.102,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:09.732000+00:00,11280,1284,1.71,0.402,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.210000+00:00,11280,1284,1.977,0.358,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.320000+00:00,11280,1284,0.0,0.0,16,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.391000+00:00,11280,1284,2.158,0.147,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.428000+00:00,11280,1284,0.047,0.047,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.434000+00:00,11280,1284,2.285,,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.447000+00:00,11280,1284,0.094,0.047,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.461000+00:00,11280,1284,2.359,0.074,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.520000+00:00,11280,1284,2.464,0.306,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:10.701000+00:00,11280,1284,2.969,0.61,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:11.035000+00:00,11280,1284,0.479,0.385,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:11.087000+00:00,11280,1284,0.538,0.059,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:11.120000+00:00,11280,1284,0.56,0.022,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:11.250000+00:00,11280,1284,0.812,0.252,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:11.495000+00:00,11280,1284,0.908,0.096,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.052000+00:00,11280,1284,1.616,0.708,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.286000+00:00,11280,1284,1.389,0.481,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.506000+00:00,11280,1284,1.57,0.181,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.520000+00:00,11280,1284,1.57,,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.520000+00:00,11280,1284,2.055,0.439,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.545000+00:00,11280,1284,2.105,0.05,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.953000+00:00,11280,1284,1.807,0.191,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:12.983000+00:00,11280,1284,1.816,0.009,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:13.054000+00:00,11280,1284,2.602,0.497,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:13.569000+00:00,11280,1284,2.385,0.28,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:13.620000+00:00,11280,1284,3.181,0.579,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:13.656000+00:00,11280,1284,2.508,0.123,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:13.722000+00:00,11280,1284,2.589,0.081,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:15.395000+00:00,11280,1284,0.118,0.118,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:15.951000+00:00,11280,1284,0.696,0.578,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:16.218000+00:00,11280,1284,0.983,0.287,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:16.254000+00:00,11280,1284,0.991,0.008,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:16.651000+00:00,11280,1284,1.266,0.275,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:16.683000+00:00,11280,1284,1.276,0.01,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:16.982000+00:00,11280,1284,1.489,0.213,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:17.445000+00:00,11280,1284,1.664,0.175,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:17.552000+00:00,11280,1284,2.058,,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:17.562000+00:00,11280,1284,1.761,0.097,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:17.852000+00:00,11280,1284,2.351,0.293,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:18.110000+00:00,11280,1284,2.077,0.019,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:18.618000+00:00,11280,1284,2.307,0.23,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.058000+00:00,11280,1284,2.697,0.346,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.169000+00:00,11280,1284,2.767,0.07,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.371000+00:00,11280,1284,2.985,0.218,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.445000+00:00,11280,1284,3.043,0.058,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.662000+00:00,11280,1284,3.251,0.208,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.717000+00:00,11280,1284,3.305,0.054,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:20.038000+00:00,11280,1284,3.636,0.331,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:20.586000+00:00,11280,1284,4.951,1.315,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.100000+00:00,11280,1284,1.544,1.544,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.519000+00:00,11280,1284,1.956,0.412,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.801000+00:00,11280,1284,2.235,0.279,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.286000+00:00,11280,1284,2.692,0.457,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.461000+00:00,11280,1284,2.859,0.167,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.562000+00:00,11280,1284,2.948,0.089,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.889000+00:00,11280,1284,3.143,0.195,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.910000+00:00,11280,1284,3.236,0.093,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.954000+00:00,11280,1284,3.273,0.037,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.001000+00:00,11280,1284,3.328,0.055,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.144000+00:00,11280,1284,3.584,0.256,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.471000+00:00,11280,1284,3.903,0.319,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.587000+00:00,11280,1284,4.037,0.134,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.144000+00:00,11280,1284,4.561,0.524,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.183000+00:00,11280,1284,4.611,0.05,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.206000+00:00,11280,1284,4.635,0.024,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.357000+00:00,11280,1284,4.763,0.128,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.502000+00:00,11280,1284,4.897,0.134,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.587000+00:00,11280,1284,5.011,0.114,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.667000+00:00,11280,1284,4.836,0.073,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.117000+00:00,11280,1284,1.548,1.548,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.117000+00:00,11280,1284,5.577,0.566,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.555000+00:00,11280,1284,2.001,0.453,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.852000+00:00,11280,1284,2.252,0.251,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:26.336000+00:00,11280,1284,2.786,0.534,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:26.633000+00:00,11280,1284,3.06,0.274,43,2026-09-05T22:12:12.772471Z
