date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-05-03T17:06:24.855000+00:00,11280,1,27,12.7,33.71,33.71,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:14:40.156000+00:00,11280,6,3,2.4,22.547,22.547,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:15:01.436000+00:00,11280,6,77,3.0,23.529,23.529,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:40:30.702000+00:00,11280,20,63,,22.0,22.0,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:42:03.129000+00:00,11280,21,16,3.7,23.386,23.386,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:42:42.184000+00:00,11280,21,77,3.3,23.827,23.827,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:42:43.220000+00:00,11280,21,18,2.8,22.63,22.63,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:49:41.487000+00:00,11280,26,12,2.2,22.128,22.128,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:50:16.658000+00:00,11280,26,87,4.6,23.474,23.474,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:51:13.396000+00:00,11280,27,1,2.8,22.565,22.565,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:51:33.718000+00:00,11280,27,44,3.8,23.779,23.779,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:51:49.624000+00:00,11280,27,23,3.3,23.016,23.016,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:53:01.295000+00:00,11280,28,81,3.4,23.024,23.024,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:53:22.109000+00:00,11280,28,55,4.2,23.595,23.595,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:53:42.425000+00:00,11280,28,41,2.5,22.731,22.731,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:55:29.195000+00:00,11280,29,11,,23.2,23.2,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:57:25.955000+00:00,11280,30,77,,17.1,17.1,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:57:54.710000+00:00,11280,31,43,2.9,23.093,23.093,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:58:16.484000+00:00,11280,31,31,3.9,24.027,24.027,1284,2026-09-06T22:33:11.565829Z
2026-05-03T17:59:55.617000+00:00,11280,32,5,3.1,23.986,23.986,1284,2026-09-06T22:33:11.565829Z
2026-05-03T18:08:38.349000+00:00,11280,37,18,2.8,22.09,22.09,1284,2026-09-06T22:33:11.565829Z
2026-05-03T18:14:48.371000+00:00,11280,41,14,3.1,23.16,23.16,1284,2026-09-06T22:33:11.565829Z
2026-05-24T20:11:35.201000+00:00,11291,1,81,,24.1,24.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:12:53.655000+00:00,11291,2,1,,23.4,23.4,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:13:06.553000+00:00,11291,2,27,,24.9,24.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:13:10.208000+00:00,11291,2,55,,24.7,24.7,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:13:12.614000+00:00,11291,2,5,,28.1,28.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:13:13.091000+00:00,11291,2,11,,25.7,25.7,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:14:43.855000+00:00,11291,3,77,,28.2,28.2,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:23:13.509000+00:00,11291,9,77,,24.8,24.8,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:26:37.176000+00:00,11291,12,81,,36.6,36.6,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:29:29.471000+00:00,11291,14,18,,24.2,24.2,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:30:15.392000+00:00,11291,15,1,,28.8,28.8,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:30:47.863000+00:00,11291,15,11,,25.1,25.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:31:52.896000+00:00,11291,16,31,,24.8,24.8,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:34:34.135000+00:00,11291,18,5,,24.7,24.7,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:37:09.895000+00:00,11291,20,27,,31.0,31.0,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:37:15.069000+00:00,11291,20,14,,24.7,24.7,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:49:34.153000+00:00,11291,30,43,,25.6,25.6,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:49:46.801000+00:00,11291,29,11,,24.9,24.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:49:47.971000+00:00,11291,30,30,,24.1,24.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:49:55.410000+00:00,11291,30,10,,25.6,25.6,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:09.459000+00:00,11291,30,55,,25.6,25.6,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:16.912000+00:00,11291,31,12,,25.1,25.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:19.553000+00:00,11291,30,87,,44.9,44.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:23.022000+00:00,11291,31,3,,25.1,25.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:34.865000+00:00,11291,31,44,,25.9,25.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:38.006000+00:00,11291,31,6,,24.9,24.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:40.850000+00:00,11291,31,16,,30.1,30.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:51:02.188000+00:00,11291,29,77,,24.4,24.4,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:51:29.219000+00:00,11291,30,31,,35.3,35.3,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:17:51.300000+00:00,11291,49,18,,24.1,24.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:18:25.134000+00:00,11291,52,6,,34.7,34.7,1285,2026-09-06T22:34:09.123307Z
