meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1287,11301,11,1,,,39.636,29.018,178,210,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]",169
1287,11301,27,1,,,37.462,32.949,193,193,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049]",62
1287,11301,87,1,2026-06-12T15:00:08.172000+00:00,,43.163,27.661,178,203,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]",155
1287,11301,5,1,2026-06-12T15:00:09.774000+00:00,,36.462,45.305,218,165,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",72
1287,11301,10,1,2026-06-12T15:00:12.442000+00:00,,41.615,32.234,195,208,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",101
1287,11301,31,1,2026-06-12T15:00:14.231000+00:00,,41.516,28.178,173,218,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2051]",91
1287,11301,43,1,2026-06-12T15:00:19.531000+00:00,,43.187,33.578,167,222,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]",69
1287,11301,44,1,2026-06-12T15:00:23.015000+00:00,,44.262,29.678,195,202,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]",95
1287,11301,23,1,2026-06-12T15:00:28.702000+00:00,,42.156,32.049,197,191,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",63
1287,11301,16,1,2026-06-12T15:01:13.252000+00:00,,40.005,32.174,197,191,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",165
1287,11301,3,1,2026-06-12T15:01:19.627000+00:00,,36.582,26.115,191,239,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049]",206
1287,11301,6,1,2026-06-12T15:01:27.377000+00:00,,40.473,30.205,194,228,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",206
1287,11301,11,2,2026-06-12T15:01:44.777000+00:00,24.008,32.217,24.293,250,264,False,80.518,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2049]",312
1287,11301,12,1,2026-06-12T15:01:52.939000+00:00,,43.295,27.774,138,150,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",214
1287,11301,87,2,2026-06-12T15:01:55.116000+00:00,22.802,31.656,23.926,272,291,False,78.384,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2051, 2051, 2049, 2051, 2049]",333
1287,11301,10,2,2026-06-12T15:02:05.819000+00:00,23.203,31.696,23.515,271,283,False,78.414,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2051, 2051, 2051, 2049]",322
