date,session_key,lap_number,stop_duration,lane_duration,driver_number,meeting_key,pit_duration
2026-06-12T15:00:02.934000+00:00,11301,1,,,11,1287,
2026-06-12T15:00:04.338000+00:00,11301,1,,,27,1287,
2026-06-12T15:00:08.238000+00:00,11301,1,,,87,1287,
2026-06-12T15:00:09.911000+00:00,11301,1,,,5,1287,
2026-06-12T15:00:12.530000+00:00,11301,1,,,10,1287,
2026-06-12T15:00:14.417000+00:00,11301,1,,,31,1287,
2026-06-12T15:00:19.691000+00:00,11301,1,,,43,1287,
2026-06-12T15:00:23.187000+00:00,11301,1,,,44,1287,
2026-06-12T15:00:28.796000+00:00,11301,1,,,23,1287,
2026-06-12T15:01:13.315000+00:00,11301,1,,,16,1287,
2026-06-12T15:01:19.737000+00:00,11301,1,,,3,1287,
2026-06-12T15:01:27.502000+00:00,11301,1,,,6,1287,
2026-06-12T15:01:52.970000+00:00,11301,1,,,12,1287,
2026-06-12T15:02:11.774000+00:00,11301,1,,,1,1287,
2026-06-12T15:02:41.653000+00:00,11301,1,,,14,1287,
2026-06-12T15:03:02.632000+00:00,11301,1,,,18,1287,
2026-06-12T15:04:17.575000+00:00,11301,1,,,81,1287,
2026-06-12T15:04:34.254000+00:00,11301,1,,,41,1287,
2026-06-12T15:04:50.655000+00:00,11301,1,,,30,1287,
2026-06-12T15:04:57.324000+00:00,11301,1,,,55,1287,
2026-06-12T15:05:46.433000+00:00,11301,4,,16.8,10,1287,16.8
2026-06-12T15:06:22.377000+00:00,11301,4,,18.6,43,1287,18.6
2026-06-12T15:06:29.830000+00:00,11301,4,,35.9,3,1287,35.9
2026-06-12T15:06:32.955000+00:00,11301,4,,28.0,5,1287,28.0
2026-06-12T15:06:39.236000+00:00,11301,4,,17.2,16,1287,17.2
2026-06-12T15:06:51.627000+00:00,11301,4,,78.3,31,1287,78.3
2026-06-12T15:06:56.502000+00:00,11301,4,,87.9,87,1287,87.9
2026-06-12T15:07:23.565000+00:00,11301,1,,,63,1287,
2026-06-12T15:07:54.537000+00:00,11301,4,,26.1,1,1287,26.1
2026-06-12T15:08:53.045000+00:00,11301,4,,87.1,12,1287,87.1
2026-06-12T15:10:13.220000+00:00,11301,7,,28.8,11,1287,28.8
2026-06-12T15:10:42.673000+00:00,11301,4,,26.7,55,1287,26.7
2026-06-12T15:10:56.321000+00:00,11301,7,,17.1,27,1287,17.1
2026-06-12T15:11:36.178000+00:00,11301,7,,28.0,10,1287,28.0
2026-06-12T15:11:59.783000+00:00,11301,7,,25.7,5,1287,25.7
2026-06-12T15:12:14.299000+00:00,11301,7,,32.4,44,1287,32.4
2026-06-12T15:12:19.158000+00:00,11301,7,,21.0,16,1287,21.0
2026-06-12T15:12:48.799000+00:00,11301,7,,18.9,43,1287,18.9
2026-06-12T15:13:01.505000+00:00,11301,7,,30.3,6,1287,30.3
2026-06-12T15:13:51.083000+00:00,11301,7,,90.3,87,1287,90.3
2026-06-12T15:14:06.870000+00:00,11301,6,,120.7,12,1287,120.7
2026-06-12T15:15:14.482000+00:00,11301,4,,341.9,30,1287,341.9
2026-06-12T15:15:35.959000+00:00,11301,4,,373.3,41,1287,373.3
2026-06-12T15:15:46.536000+00:00,11301,10,,30.6,11,1287,30.6
2026-06-12T15:18:43.580000+00:00,11301,8,,55.6,12,1287,55.6
2026-06-12T15:19:01.030000+00:00,11301,4,,597.7,81,1287,597.7
2026-06-12T15:19:33.524000+00:00,11301,7,,493.4,3,1287,493.4
