meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1287,11302,2026-06-13T10:16:41+00:00,,,Other,,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1287,11302,2026-06-13T10:30:00.034000+00:00,,,SessionStatus,,,,,SESSION STARTED
1287,11302,2026-06-13T10:30:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1287,11302,2026-06-13T10:30:06+00:00,,,Flag,YELLOW,Sector,3,,YELLOW IN TRACK SECTOR 3
1287,11302,2026-06-13T10:30:09+00:00,,,Flag,CLEAR,Sector,3,,CLEAR IN TRACK SECTOR 3
1287,11302,2026-06-13T10:39:15+00:00,,,Other,,,,,CAR 11 (PER) TIME 1:28.210 DELETED - TRACK LIMITS AT TURN 9 LAP 6 12:38:16
1287,11302,2026-06-13T10:53:46+00:00,,,Other,,,,,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 4 12:51:41 (PIT)
1287,11302,2026-06-13T10:57:15+00:00,,,Other,,,,,CAR 10 (GAS) TIME 1:17.998 DELETED - TRACK LIMITS AT TURN 13 LAP 3 12:56:37
1287,11302,2026-06-13T11:04:02+00:00,,,Flag,YELLOW,Sector,12,,YELLOW IN TRACK SECTOR 12
1287,11302,2026-06-13T11:04:13.173000+00:00,,,SessionStatus,,,,,SESSION ABORTED
1287,11302,2026-06-13T11:04:13+00:00,,,Flag,RED,Track,,,RED FLAG
1287,11302,2026-06-13T11:04:13+00:00,,,Flag,CLEAR,Sector,12,,CLEAR IN TRACK SECTOR 12
1287,11302,2026-06-13T11:05:18+00:00,,,Flag,DOUBLE YELLOW,Sector,12,,DOUBLE YELLOW IN TRACK SECTOR 12
1287,11302,2026-06-13T11:05:31+00:00,,,Other,,,,,MARSHALS ON TRACK AT TURN 10
1287,11302,2026-06-13T11:06:04+00:00,,,Flag,CLEAR,Sector,12,,CLEAR IN TRACK SECTOR 12
1287,11302,2026-06-13T11:06:25+00:00,,,Flag,CLEAR,Track,,,TRACK CLEAR
1287,11302,2026-06-13T11:06:28+00:00,,,Other,,,,,OVERTAKE ENABLED
1287,11302,2026-06-13T11:06:43+00:00,,,Flag,DOUBLE YELLOW,Sector,12,,DOUBLE YELLOW IN TRACK SECTOR 12
1287,11302,2026-06-13T11:07:49+00:00,,,Flag,CLEAR,Sector,12,,CLEAR IN TRACK SECTOR 12
1287,11302,2026-06-13T11:07:56+00:00,,,Other,,,,,SESSION WILL RESUME AT 13:09
1287,11302,2026-06-13T11:09:00.041000+00:00,,,SessionStatus,,,,,SESSION STARTED
1287,11302,2026-06-13T11:09:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1287,11302,2026-06-13T11:13:07+00:00,,,Other,,,,,CAR 6 (HAD) TIME 12:24.973 DELETED - TRACK LIMITS AT TURN 10 LAP 5 13:11:43
1287,11302,2026-06-13T11:24:39+00:00,,,Other,,,,,TURN 2 INCIDENT INVOLVING CAR 12 (ANT) NOTED - DRIVING ERRATICALLY (13:19:50)
1287,11302,2026-06-13T11:25:14+00:00,,,Other,,,,,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CAR 12 (ANT) WILL BE INVESTIGATED AFTER THE SESSION - DRIVING ERRATICALLY (13:19:50)
1287,11302,2026-06-13T11:27:58+00:00,,,Other,,,,,TURN 10 INCIDENT INVOLVING CARS 43 (COL) AND 5 (BOR) NOTED (13:22:09)
1287,11302,2026-06-13T11:28:38+00:00,,,Other,,,,,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 43 (COL) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION (13:22:09)
1287,11302,2026-06-13T11:28:41+00:00,,,Other,,,,,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 11 13:27:02 (PIT)
1287,11302,2026-06-13T11:30:00.137000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1287,11302,2026-06-13T11:30:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1287,11302,2026-06-13T11:30:14+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO)
1287,11302,2026-06-13T11:30:50+00:00,,,Other,,,,,TURN 5 INCIDENT INVOLVING CARS 16 (LEC) AND 27 (HUL) NOTED - IMPEDING (13:25:48)
1287,11302,2026-06-13T11:31:25+00:00,,,Other,,,,,CAR 18 (STR) TIME 1:20.294 DELETED - TRACK LIMITS AT TURN 13 LAP 16 13:30:15
1287,11302,2026-06-13T11:32:23+00:00,,,Other,,,,,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 16 (LEC) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING (13:25:48)
1287,11302,2026-06-13T11:35:32+00:00,,,Flag,YELLOW,Sector,4,,YELLOW IN TRACK SECTOR 4
1287,11302,2026-06-13T11:35:52+00:00,,,Flag,YELLOW,Sector,5,,YELLOW IN TRACK SECTOR 5
