meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1287,11303,77,1,,,39.91,27.524,175,208,True,,"[2064, 2064, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051]",196
1287,11303,31,1,2026-06-13T14:00:08.645000+00:00,,43.001,27.967,168,220,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2049, 2051, 2051]",130
1287,11303,87,1,2026-06-13T14:00:17.467000+00:00,,41.511,27.359,181,206,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2051, 2051]",155
1287,11303,55,1,2026-06-13T14:00:21.492000+00:00,,41.868,28.48,203,205,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051]",112
1287,11303,23,1,2026-06-13T14:00:29.289000+00:00,,41.488,27.548,224,229,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]",126
1287,11303,18,1,2026-06-13T14:00:34.285000+00:00,,44.613,29.723,207,243,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",120
1287,11303,14,1,2026-06-13T14:00:40.670000+00:00,,40.869,29.817,217,237,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",127
1287,11303,77,2,2026-06-13T14:01:44.837000+00:00,23.054,31.818,24.233,267,283,False,79.105,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2051, 2051, 2049, 2051, 2048]",326
1287,11303,31,2,2026-06-13T14:01:58.035000+00:00,22.734,31.659,23.778,272,278,False,78.171,"[2049, 2049, 2051, 2049, 2051, 2049, 2049]","[2049, 2051, 2049, 2049, 2051, 2051, 2049, 2049]","[2051, 2049, 2051, 2051, 2051, 2051, 2048]",332
1287,11303,87,2,2026-06-13T14:02:03.315000+00:00,22.802,31.712,23.702,275,278,False,78.216,"[2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2051, 2049, 2051, 2049, 2051]",334
1287,11303,55,2,2026-06-13T14:02:10.578000+00:00,22.8,31.686,23.621,275,282,False,78.107,"[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2048]",323
1287,11303,23,2,2026-06-13T14:02:20.031000+00:00,22.748,31.776,23.728,278,279,False,78.252,"[2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049]",324
1287,11303,18,2,2026-06-13T14:02:33.908000+00:00,23.318,32.211,24.467,276,280,False,79.996,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049]",323
1287,11303,14,2,2026-06-13T14:02:42.172000+00:00,23.003,32.132,24.151,269,264,False,79.286,"[2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",323
1287,11303,77,3,2026-06-13T14:03:04.001000+00:00,26.665,34.997,34.783,219,226,False,96.445,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",274
1287,11303,31,3,2026-06-13T14:03:16.090000+00:00,29.64,39.942,74.683,200,187,False,144.265,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",217
1287,11303,87,3,2026-06-13T14:03:21.448000+00:00,32.044,41.462,35.51,180,185,False,109.016,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",198
1287,11303,55,3,2026-06-13T14:03:28.590000+00:00,33.292,38.939,34.923,182,199,False,107.154,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",190
