meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1287,11303,1,55,1,3,SOFT,0
1287,11303,1,23,1,3,SOFT,0
1287,11303,1,87,1,3,MEDIUM,0
1287,11303,1,31,1,3,MEDIUM,0
1287,11303,1,77,1,3,SOFT,0
1287,11303,1,18,1,3,SOFT,0
1287,11303,1,14,1,3,SOFT,0
1287,11303,1,43,1,3,SOFT,0
1287,11303,1,10,1,3,SOFT,0
1287,11303,2,18,4,5,SOFT,0
1287,11303,2,23,4,6,SOFT,0
1287,11303,1,27,1,3,SOFT,0
1287,11303,2,31,4,6,SOFT,0
1287,11303,2,87,4,6,SOFT,0
1287,11303,2,14,4,5,SOFT,0
1287,11303,2,55,4,6,SOFT,0
1287,11303,2,77,4,6,SOFT,0
1287,11303,1,11,1,3,SOFT,0
1287,11303,3,23,7,9,SOFT,0
1287,11303,3,18,6,8,SOFT,0
1287,11303,3,31,7,9,SOFT,0
1287,11303,3,14,6,8,SOFT,0
1287,11303,3,77,7,9,SOFT,0
1287,11303,2,11,4,6,SOFT,0
1287,11303,2,10,4,6,SOFT,0
1287,11303,2,43,4,6,SOFT,0
1287,11303,3,55,7,9,SOFT,0
1287,11303,2,27,4,6,SOFT,0
1287,11303,1,41,1,3,SOFT,0
1287,11303,1,3,1,3,SOFT,0
1287,11303,1,30,1,3,SOFT,0
1287,11303,1,6,1,3,SOFT,0
1287,11303,1,12,1,3,SOFT,0
1287,11303,1,16,1,3,SOFT,0
1287,11303,1,5,1,3,SOFT,0
1287,11303,1,63,1,3,SOFT,0
1287,11303,1,44,1,3,SOFT,0
1287,11303,1,81,1,3,SOFT,0
1287,11303,3,87,7,9,SOFT,0
1287,11303,1,1,1,3,SOFT,0
1287,11303,2,81,4,6,SOFT,3
1287,11303,2,1,4,6,SOFT,3
1287,11303,4,55,10,12,SOFT,3
1287,11303,2,30,4,6,SOFT,0
1287,11303,2,41,4,6,SOFT,0
1287,11303,3,27,7,9,SOFT,3
1287,11303,4,87,10,12,SOFT,3
1287,11303,2,5,4,6,SOFT,0
1287,11303,3,43,7,9,SOFT,3
1287,11303,3,10,7,9,SOFT,3
1287,11303,3,41,7,8,SOFT,0
1287,11303,5,55,13,15,SOFT,3
1287,11303,5,87,13,15,SOFT,0
1287,11303,3,5,7,9,SOFT,0
1287,11303,4,10,10,12,SOFT,0
1287,11303,4,43,10,12,SOFT,0
1287,11303,3,81,7,9,SOFT,0
1287,11303,2,3,4,6,SOFT,0
1287,11303,3,1,7,9,SOFT,0
1287,11303,3,30,7,9,SOFT,0
1287,11303,2,16,4,6,SOFT,0
1287,11303,2,6,4,6,SOFT,0
1287,11303,2,44,4,6,SOFT,0
1287,11303,4,27,10,12,SOFT,0
1287,11303,2,12,4,6,SOFT,0
1287,11303,2,63,4,6,SOFT,0
1287,11303,3,16,7,8,SOFT,0
1287,11303,3,12,7,8,SOFT,0
1287,11303,3,6,7,8,SOFT,0
1287,11303,3,63,7,7,SOFT,0
1287,11303,3,44,7,8,SOFT,0
1287,11303,4,12,9,11,SOFT,2
1287,11303,4,63,8,10,SOFT,1
1287,11303,4,1,10,11,SOFT,0
1287,11303,5,27,13,14,SOFT,3
1287,11303,4,30,10,11,SOFT,3
1287,11303,4,81,10,12,SOFT,0
1287,11303,3,3,7,9,SOFT,0
1287,11303,4,6,9,11,SOFT,2
1287,11303,4,44,9,11,SOFT,2
1287,11303,5,12,12,14,SOFT,0
1287,11303,5,63,11,13,SOFT,0
1287,11303,5,1,12,14,SOFT,0
1287,11303,6,27,15,17,SOFT,3
1287,11303,5,30,12,14,SOFT,3
1287,11303,5,81,13,15,SOFT,0
1287,11303,4,3,10,12,SOFT,0
1287,11303,5,6,12,14,SOFT,0
1287,11303,5,44,12,14,SOFT,0
