date,session_key,meeting_key,interval,driver_number,gap_to_leader
2026-06-14T12:09:50.420000+00:00,11307,1287,0.0,63,0.0
2026-06-14T12:10:42.499000+00:00,11307,1287,0.0,63,0.0
2026-06-14T13:03:34.744000+00:00,11307,1287,0.189,44,0.189
2026-06-14T13:03:34.791000+00:00,11307,1287,0.079,12,0.268
2026-06-14T13:03:34.947000+00:00,11307,1287,0.098,1,0.366
2026-06-14T13:03:35.322000+00:00,11307,1287,,81,0.662
2026-06-14T13:03:35.338000+00:00,11307,1287,0.322,3,0.688
2026-06-14T13:03:35.869000+00:00,11307,1287,0.282,30,0.944
2026-06-14T13:03:36.197000+00:00,11307,1287,,16,1.12
2026-06-14T13:03:36.307000+00:00,11307,1287,0.52,6,1.208
2026-06-14T13:03:36.385000+00:00,11307,1287,0.339,27,1.283
2026-06-14T13:03:36.416000+00:00,11307,1287,0.184,41,1.304
2026-06-14T13:03:36.510000+00:00,11307,1287,,43,1.38
2026-06-14T13:03:36.557000+00:00,11307,1287,0.072,10,1.452
2026-06-14T13:03:36.619000+00:00,11307,1287,,55,1.525
2026-06-14T13:03:36.776000+00:00,11307,1287,0.395,5,1.699
2026-06-14T13:03:36.869000+00:00,11307,1287,0.368,87,1.82
2026-06-14T13:03:36.869000+00:00,11307,1287,,23,1.853
2026-06-14T13:03:36.916000+00:00,11307,1287,0.4,31,1.925
2026-06-14T13:03:36.963000+00:00,11307,1287,,77,2.219
2026-06-14T13:03:36.994000+00:00,11307,1287,0.711,11,2.564
2026-06-14T13:03:37.338000+00:00,11307,1287,0.752,18,2.971
2026-06-14T13:03:38.119000+00:00,11307,1287,0.175,44,0.175
2026-06-14T13:03:38.197000+00:00,11307,1287,0.089,12,0.264
2026-06-14T13:03:38.245000+00:00,11307,1287,0.026,1,0.29
2026-06-14T13:03:38.479000+00:00,11307,1287,0.231,81,0.521
2026-06-14T13:03:38.572000+00:00,11307,1287,0.06,3,0.581
2026-06-14T13:03:38.651000+00:00,11307,1287,0.113,30,0.694
2026-06-14T13:03:38.791000+00:00,11307,1287,0.169,16,0.863
2026-06-14T13:03:39.119000+00:00,11307,1287,0.248,27,1.111
2026-06-14T13:03:39.135000+00:00,11307,1287,0.002,41,1.113
2026-06-14T13:03:39.135000+00:00,11307,1287,0.019,43,1.132
2026-06-14T13:03:39.213000+00:00,11307,1287,0.09,55,1.222
2026-06-14T13:03:39.213000+00:00,11307,1287,0.002,10,1.224
2026-06-14T13:03:39.416000+00:00,11307,1287,0.249,87,1.473
2026-06-14T13:03:39.494000+00:00,11307,1287,0.045,23,1.518
2026-06-14T13:03:39.572000+00:00,11307,1287,0.026,5,1.544
2026-06-14T13:03:39.572000+00:00,11307,1287,0.053,6,1.277
2026-06-14T13:03:39.636000+00:00,11307,1287,0.048,31,1.592
2026-06-14T13:03:39.791000+00:00,11307,1287,0.269,77,1.861
2026-06-14T13:03:40.197000+00:00,11307,1287,0.286,11,2.147
2026-06-14T13:03:40.588000+00:00,11307,1287,0.492,18,2.639
2026-06-14T13:03:40.604000+00:00,11307,1287,0.139,44,0.139
2026-06-14T13:03:40.947000+00:00,11307,1287,0.263,12,0.402
2026-06-14T13:03:41.104000+00:00,11307,1287,0.063,1,0.465
2026-06-14T13:03:41.463000+00:00,11307,1287,0.238,81,0.703
2026-06-14T13:03:41.479000+00:00,11307,1287,0.025,3,0.728
2026-06-14T13:03:41.996000+00:00,11307,1287,0.211,30,0.939
2026-06-14T13:03:42.104000+00:00,11307,1287,0.081,16,1.02
2026-06-14T13:03:42.104000+00:00,11307,1287,,27,1.347
2026-06-14T13:03:42.104000+00:00,11307,1287,0.32,43,1.34
2026-06-14T13:03:42.541000+00:00,11307,1287,0.378,6,1.725
2026-06-14T13:03:42.541000+00:00,11307,1287,0.302,41,1.322
2026-06-14T13:03:42.854000+00:00,11307,1287,0.394,5,2.119
2026-06-14T13:03:42.994000+00:00,11307,1287,0.21,55,1.557
2026-06-14T13:03:43.104000+00:00,11307,1287,0.011,10,1.568
2026-06-14T13:03:43.369000+00:00,11307,1287,0.142,23,1.867
2026-06-14T13:03:43.369000+00:00,11307,1287,0.077,87,1.944
2026-06-14T13:03:43.541000+00:00,11307,1287,0.049,31,2.168
2026-06-14T13:03:43.822000+00:00,11307,1287,0.198,77,2.366
2026-06-14T13:03:43.822000+00:00,11307,1287,0.076,11,2.442
2026-06-14T13:03:44.151000+00:00,11307,1287,0.776,18,3.218
