date,session_key,lane_duration,meeting_key,pit_duration,stop_duration,driver_number,lap_number
2026-06-14T13:19:06.289000+00:00,11307,22.4,1287,22.4,,44,11
2026-06-14T13:19:32.167000+00:00,11307,25.9,1287,25.9,,30,11
2026-06-14T13:20:25.680000+00:00,11307,22.0,1287,22.0,,63,12
2026-06-14T13:20:38.434000+00:00,11307,22.2,1287,22.2,,3,12
2026-06-14T13:21:02.197000+00:00,11307,22.9,1287,22.9,,43,12
2026-06-14T13:21:18.143000+00:00,11307,24.8,1287,24.8,,11,12
2026-06-14T13:21:56.796000+00:00,11307,21.7,1287,21.7,,1,13
2026-06-14T13:22:21.962000+00:00,11307,22.8,1287,22.8,,27,13
2026-06-14T13:22:36.790000+00:00,11307,23.2,1287,23.2,,31,13
2026-06-14T13:22:40.415000+00:00,11307,24.0,1287,24.0,,23,13
2026-06-14T13:23:17.696000+00:00,11307,22.0,1287,22.0,,12,14
2026-06-14T13:23:29.775000+00:00,11307,21.7,1287,21.7,,81,14
2026-06-14T13:23:54.707000+00:00,11307,22.6,1287,22.6,,10,14
2026-06-14T13:23:58.457000+00:00,11307,22.9,1287,22.9,,55,14
2026-06-14T13:24:22.956000+00:00,11307,23.2,1287,23.2,,77,14
2026-06-14T13:25:11.329000+00:00,11307,22.4,1287,22.4,,6,15
2026-06-14T13:25:30.323000+00:00,11307,22.7,1287,22.7,,5,15
2026-06-14T13:26:14.211000+00:00,11307,22.2,1287,22.2,,16,16
2026-06-14T13:29:49.096000+00:00,11307,23.1,1287,23.1,,87,18
2026-06-14T13:34:34.478000+00:00,11307,22.2,1287,22.2,,14,21
2026-06-14T13:35:21.209000+00:00,11307,22.4,1287,22.4,,41,22
2026-06-14T13:41:28.951000+00:00,11307,22.4,1287,22.4,,44,27
2026-06-14T13:44:29.344000+00:00,11307,24.1,1287,24.1,,3,29
2026-06-14T13:45:56.713000+00:00,11307,22.0,1287,22.0,,23,29
2026-06-14T13:46:59.036000+00:00,11307,22.5,1287,22.5,,55,30
2026-06-14T13:49:02.396000+00:00,11307,24.4,1287,24.4,,11,31
2026-06-14T13:49:09.615000+00:00,11307,22.5,1287,22.5,,6,32
2026-06-14T13:51:21.117000+00:00,11307,22.2,1287,22.2,,5,33
2026-06-14T13:52:24.989000+00:00,11307,22.2,1287,22.2,,43,34
2026-06-14T13:52:36.546000+00:00,11307,22.0,1287,22.0,,1,35
2026-06-14T13:53:02.214000+00:00,11307,26.4,1287,26.4,,31,34
2026-06-14T13:53:49.609000+00:00,11307,23.1,1287,23.1,,30,35
2026-06-14T13:53:54.451000+00:00,11307,21.6,1287,21.6,,63,36
2026-06-14T13:54:19.600000+00:00,11307,22.6,1287,22.6,,81,36
2026-06-14T13:55:16.919000+00:00,11307,22.2,1287,22.2,,12,37
2026-06-14T13:56:55.936000+00:00,11307,24.0,1287,24.0,,41,37
2026-06-14T13:58:21.402000+00:00,11307,22.1,1287,22.1,,16,39
2026-06-14T13:59:59.156000+00:00,11307,22.7,1287,22.7,,3,40
2026-06-14T14:00:06.515000+00:00,11307,23.9,1287,23.9,,87,39
2026-06-14T14:01:08.272000+00:00,11307,23.9,1287,23.9,,11,39
2026-06-14T14:01:13.413000+00:00,11307,22.8,1287,22.8,,44,41
2026-06-14T14:01:19.722000+00:00,11307,23.3,1287,23.3,,10,40
2026-06-14T14:05:58.019000+00:00,11307,777.7,1287,777.7,,23,34
2026-06-14T14:20:20.518000+00:00,11307,25.9,1287,25.9,,5,53
2026-06-14T14:23:04.365000+00:00,11307,22.7,1287,22.7,,55,55
2026-06-14T14:25:54.289000+00:00,11307,21.9,1287,21.9,,6,58
2026-06-14T14:27:44.973000+00:00,11307,22.9,1287,22.9,,31,58
2026-06-14T14:28:47.291000+00:00,11307,22.7,1287,22.7,,23,50
