date,session_key,meeting_key,pit_duration,lane_duration,stop_duration,driver_number,lap_number
2026-06-14T13:19:06.289000+00:00,11307,1287,22.48,22.48,2.5,44,11
2026-06-14T13:19:32.167000+00:00,11307,1287,25.983,25.983,6.3,30,11
2026-06-14T13:20:25.691000+00:00,11307,1287,22.08,22.08,2.4,63,12
2026-06-14T13:20:38.434000+00:00,11307,1287,22.273,22.273,2.5,3,12
2026-06-14T13:21:02.197000+00:00,11307,1287,22.983,22.983,3.3,43,12
2026-06-14T13:21:18.159000+00:00,11307,1287,24.805,24.805,4.2,11,12
2026-06-14T13:21:56.796000+00:00,11307,1287,21.7,21.7,,1,13
2026-06-14T13:22:21.978000+00:00,11307,1287,22.869,22.869,2.6,27,13
2026-06-14T13:22:36.805000+00:00,11307,1287,23.256,23.256,3.4,31,13
2026-06-14T13:22:40.415000+00:00,11307,1287,24.005,24.005,5.0,23,13
2026-06-14T13:23:17.696000+00:00,11307,1287,22.038,22.038,2.6,12,14
2026-06-14T13:23:29.775000+00:00,11307,1287,21.776,21.776,2.2,81,14
2026-06-14T13:23:54.707000+00:00,11307,1287,22.682,22.682,3.0,10,14
2026-06-14T13:23:58.472000+00:00,11307,1287,22.977,22.977,3.4,55,14
2026-06-14T13:24:22.993000+00:00,11307,1287,23.28,23.28,2.9,77,14
2026-06-14T13:25:11.329000+00:00,11307,1287,22.444,22.444,2.7,6,15
2026-06-14T13:25:30.323000+00:00,11307,1287,22.783,22.783,2.6,5,15
2026-06-14T13:26:14.211000+00:00,11307,1287,22.249,22.249,,16,16
2026-06-14T13:29:49.096000+00:00,11307,1287,23.118,23.118,3.6,87,18
2026-06-14T13:34:34.480000+00:00,11307,1287,22.22,22.22,2.4,14,21
2026-06-14T13:35:21.209000+00:00,11307,1287,22.476,22.476,2.7,41,22
2026-06-14T13:41:28.951000+00:00,11307,1287,22.477,22.477,2.6,44,27
2026-06-14T13:44:29.360000+00:00,11307,1287,24.189,24.189,4.5,3,29
2026-06-14T13:45:56.713000+00:00,11307,1287,22.027,22.027,2.1,23,29
2026-06-14T13:46:59.052000+00:00,11307,1287,22.595,22.595,3.1,55,30
2026-06-14T13:49:02.396000+00:00,11307,1287,24.432,24.432,4.0,11,31
2026-06-14T13:49:09.615000+00:00,11307,1287,22.528,22.528,2.9,6,32
2026-06-14T13:51:21.181000+00:00,11307,1287,22.285,22.285,2.1,5,33
2026-06-14T13:52:24.989000+00:00,11307,1287,22.29,22.29,2.6,43,34
2026-06-14T13:52:36.546000+00:00,11307,1287,22.0,22.0,,1,35
2026-06-14T13:53:02.214000+00:00,11307,1287,26.449,26.449,6.7,31,34
2026-06-14T13:53:49.609000+00:00,11307,1287,23.172,23.172,3.8,30,35
2026-06-14T13:53:54.451000+00:00,11307,1287,21.677,21.677,2.8,63,36
2026-06-14T13:54:19.600000+00:00,11307,1287,22.661,22.661,3.2,81,36
2026-06-14T13:55:16.919000+00:00,11307,1287,22.21,22.21,2.8,12,37
2026-06-14T13:56:55.952000+00:00,11307,1287,24.01,24.01,4.3,41,37
2026-06-14T13:58:21.402000+00:00,11307,1287,22.125,22.125,2.5,16,39
2026-06-14T13:59:59.158000+00:00,11307,1287,22.786,22.786,3.0,3,40
2026-06-14T14:00:06.515000+00:00,11307,1287,23.901,23.901,4.0,87,39
2026-06-14T14:01:08.272000+00:00,11307,1287,23.912,23.912,3.3,11,39
2026-06-14T14:01:13.428000+00:00,11307,1287,22.837,22.837,2.8,44,41
2026-06-14T14:01:19.722000+00:00,11307,1287,23.31,23.31,3.8,10,40
2026-06-14T14:05:58.019000+00:00,11307,1287,777.7,777.7,,23,34
2026-06-14T14:20:20.533000+00:00,11307,1287,25.915,25.915,5.8,5,53
2026-06-14T14:23:04.365000+00:00,11307,1287,22.772,22.772,3.3,55,55
2026-06-14T14:25:54.289000+00:00,11307,1287,21.949,21.949,2.3,6,58
2026-06-14T14:27:44.973000+00:00,11307,1287,22.9,22.9,,31,58
2026-06-14T14:28:47.306000+00:00,11307,1287,22.703,22.703,3.2,23,50
