meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1287,11307,1,11,1,12,SOFT,0
1287,11307,3,63,37,66,HARD,0
1287,11307,4,44,42,66,HARD,0
1287,11307,3,12,38,61,HARD,0
1287,11307,3,1,36,66,HARD,0
1287,11307,4,3,41,66,MEDIUM,0
1287,11307,3,81,37,66,HARD,0
1287,11307,3,16,40,62,HARD,0
1287,11307,3,30,36,65,HARD,0
1287,11307,3,41,38,65,HARD,0
1287,11307,2,27,14,29,HARD,0
1287,11307,3,43,35,65,HARD,0
1287,11307,3,10,41,65,HARD,0
1287,11307,4,55,56,64,MEDIUM,0
1287,11307,4,6,59,65,SOFT,3
1287,11307,3,87,29,60,SOFT,0
1287,11307,4,31,59,64,SOFT,0
1287,11307,4,5,54,64,SOFT,0
1287,11307,5,23,51,55,SOFT,3
1287,11307,4,11,40,63,MEDIUM,0
1287,11307,2,77,15,15,HARD,0
1287,11307,1,18,1,5,HARD,0
1287,11307,2,14,22,37,HARD,0
1287,11307,2,30,12,35,HARD,0
1287,11307,2,23,14,29,HARD,0
1287,11307,2,5,16,33,HARD,0
1287,11307,2,87,19,28,HARD,0
