meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1287,11307,2026-06-14T10:06:19+00:00,,1,Other,,,,,AIR TEMPERATURE 3 HOURS BEFORE THE F1 RACE = 30.9 DEGREES
1287,11307,2026-06-14T12:06:40+00:00,,1,Other,,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1287,11307,2026-06-14T12:20:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1287,11307,2026-06-14T12:30:00+00:00,,1,Other,,,,,PIT EXIT CLOSED
1287,11307,2026-06-14T12:32:58+00:00,,1,Flag,YELLOW,Sector,12,,YELLOW IN TRACK SECTOR 12
1287,11307,2026-06-14T12:33:48+00:00,,1,Flag,YELLOW,Sector,10,,YELLOW IN TRACK SECTOR 10
1287,11307,2026-06-14T12:34:13+00:00,,1,Flag,CLEAR,Sector,12,,CLEAR IN TRACK SECTOR 12
1287,11307,2026-06-14T12:34:51+00:00,,1,Flag,CLEAR,Sector,10,,CLEAR IN TRACK SECTOR 10
1287,11307,2026-06-14T12:36:10+00:00,,1,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1287,11307,2026-06-14T12:36:25+00:00,,1,Flag,CLEAR,Sector,2,,CLEAR IN TRACK SECTOR 2
1287,11307,2026-06-14T12:43:51+00:00,,1,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1287,11307,2026-06-14T12:44:23+00:00,,1,Flag,CLEAR,Sector,2,,CLEAR IN TRACK SECTOR 2
1287,11307,2026-06-14T12:45:00+00:00,,1,Other,,,,,RISK OF RAIN FOR THE F1 RACE IS 0%
1287,11307,2026-06-14T12:57:03+00:00,,1,Other,,,,,OVERTAKE DISABLED
1287,11307,2026-06-14T13:03:27.854000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1287,11307,2026-06-14T13:03:28+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1287,11307,2026-06-14T13:04:42+00:00,,1,Other,,,,,OVERTAKE ENABLED
1287,11307,2026-06-14T13:06:50+00:00,,3,Other,,,,,TURN 1 INCIDENT INVOLVING CAR 27 (HUL) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:07:11+00:00,,3,Other,,,,,TURN 1 INCIDENT INVOLVING CAR 41 (LIN) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:09:00+00:00,,5,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 41 (LIN) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:09:05+00:00,,5,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:13:56+00:00,,8,Other,,,,,TURN 12 INCIDENT INVOLVING CARS 87 (BEA) AND 6 (HAD) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK (15:04:44)
1287,11307,2026-06-14T13:15:02+00:00,,9,Other,,,,,TURN 12 INCIDENT INVOLVING CARS 31 (OCO) AND 5 (BOR) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK (15:04:44)
1287,11307,2026-06-14T13:16:59+00:00,,10,Other,,,,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - STARTING PROCEDURE INFRINGEMENT (14:59:45)
1287,11307,2026-06-14T13:18:32+00:00,,11,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 27 (HUL) NO FURTHER ACTION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:18:46+00:00,,12,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 41 (LIN) NO FURTHER ACTION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:43)
1287,11307,2026-06-14T13:18:59+00:00,,12,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12
1287,11307,2026-06-14T13:19:38+00:00,,12,Other,,,,,CAR 10 (GAS) TIME 1:26.055 DELETED - TRACK LIMITS AT TURN 13 LAP 10 15:17:40
1287,11307,2026-06-14T13:20:10+00:00,,13,Other,,,,,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 87 (BEA) AND 6 (HAD) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK (15:04:44)
1287,11307,2026-06-14T13:20:32+00:00,,13,Other,,,,,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 31 (OCO) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK (15:04:44)
1287,11307,2026-06-14T13:21:29+00:00,,13,Flag,CLEAR,Sector,12,,CLEAR IN TRACK SECTOR 12
1287,11307,2026-06-14T13:23:21+00:00,,15,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE RACE - STARTING PROCEDURE INFRINGEMENT (14:59:45)
1287,11307,2026-06-14T13:24:44+00:00,,16,Other,,,,,INCIDENT INVOLVING CAR 55 (SAI) NOTED - STARTING PROCEDURE INFRINGEMENT
1287,11307,2026-06-14T13:25:46+00:00,77,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:45
1287,11307,2026-06-14T13:33:18+00:00,14,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:33:17
1287,11307,2026-06-14T13:33:38+00:00,14,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:33:38
1287,11307,2026-06-14T13:34:19+00:00,,23,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - STARTING PROCEDURE INFRINGEMENT (15:01:09)
1287,11307,2026-06-14T13:34:41+00:00,11,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:34:40
1287,11307,2026-06-14T13:34:42+00:00,,23,Other,,,,,CAR 12 (ANT) TIME 1:22.049 DELETED - TRACK LIMITS AT TURN 10 LAP 20 15:31:08
1287,11307,2026-06-14T13:35:20+00:00,11,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:35:20
1287,11307,2026-06-14T13:36:15+00:00,11,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:14
1287,11307,2026-06-14T13:36:48+00:00,11,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:48
1287,11307,2026-06-14T13:37:07+00:00,23,25,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:37:06
1287,11307,2026-06-14T13:37:35+00:00,23,25,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:37:34
1287,11307,2026-06-14T13:38:20+00:00,23,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:38:20
1287,11307,2026-06-14T13:38:30+00:00,23,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:38:29
1287,11307,2026-06-14T13:38:31+00:00,,26,Other,,,,,CAR 12 (ANT) TIME 1:22.677 DELETED - TRACK LIMITS AT TURN 10 LAP 25 15:38:00
1287,11307,2026-06-14T13:38:43+00:00,23,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:38:43
1287,11307,2026-06-14T13:38:53+00:00,,26,Other,,,,,CAR 43 (COL) TIME 1:25.027 DELETED - TRACK LIMITS AT TURN 13 LAP 24 15:37:47
1287,11307,2026-06-14T13:39:05+00:00,87,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:39:04
1287,11307,2026-06-14T13:39:48+00:00,11,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:39:48
1287,11307,2026-06-14T13:40:21+00:00,87,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:40:21
1287,11307,2026-06-14T13:40:23+00:00,11,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:40:23
1287,11307,2026-06-14T13:40:49+00:00,87,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:40:49
1287,11307,2026-06-14T13:41:05+00:00,87,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:41:04
1287,11307,2026-06-14T13:41:17+00:00,87,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:41:16
1287,11307,2026-06-14T13:41:30+00:00,31,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:41:29
1287,11307,2026-06-14T13:42:36+00:00,11,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:36
1287,11307,2026-06-14T13:42:45+00:00,31,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:42:45
1287,11307,2026-06-14T13:42:52+00:00,,29,Other,,,,,CAR 12 (ANT) TIME 1:22.055 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:42:07
1287,11307,2026-06-14T13:43:01+00:00,23,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:43:01
1287,11307,2026-06-14T13:43:09+00:00,14,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:43:08
1287,11307,2026-06-14T13:43:13+00:00,12,29,Flag,BLACK AND WHITE,Driver,,,BLACK AND WHITE FLAG FOR CAR 12 (ANT) - TRACK LIMITS
1287,11307,2026-06-14T13:43:16+00:00,23,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:43:15
