meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1288,11309,2026-06-26T14:59:59.990000+00:00,,,SessionStatus,,,,,SESSION STARTED
1288,11309,2026-06-26T15:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1288,11309,2026-06-26T15:03:25+00:00,,,Other,,,,,CAR 27 (HUL) TIME 1:25.670 DELETED - TRACK LIMITS AT TURN 1 LAP 3 17:01:36
1288,11309,2026-06-26T15:05:04+00:00,,,Other,,,,,CAR 14 (ALO) TIME 1:35.141 DELETED - TRACK LIMITS AT TURN 3 LAP 3 17:03:42
1288,11309,2026-06-26T15:08:15+00:00,,,Flag,YELLOW,Sector,11,,YELLOW IN TRACK SECTOR 11
1288,11309,2026-06-26T15:08:18+00:00,,,Flag,DOUBLE YELLOW,Sector,11,,DOUBLE YELLOW IN TRACK SECTOR 11
1288,11309,2026-06-26T15:08:32+00:00,,,SafetyCar,,,,,VSC DEPLOYED
1288,11309,2026-06-26T15:09:09+00:00,,,Other,,,,,MARSHALS ON TRACK AT TURN 6
1288,11309,2026-06-26T15:09:12+00:00,,,Flag,DOUBLE YELLOW,Sector,11,,DOUBLE YELLOW IN TRACK SECTOR 11
1288,11309,2026-06-26T15:09:49+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:29.491 DELETED - DOUBLE YELLOW AT TURN 5
1288,11309,2026-06-26T15:09:53+00:00,,,Other,,,,,CAR 44 (HAM) TIME 2:07.855 DELETED - DOUBLE YELLOW AT TURN 5
1288,11309,2026-06-26T15:10:21+00:00,,,Other,,,,,CAR 77 (BOT) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 6 17:08:38 (PIT)
1288,11309,2026-06-26T15:15:34+00:00,,,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1288,11309,2026-06-26T15:15:36+00:00,,,SafetyCar,,,,,VSC ENDING
1288,11309,2026-06-26T15:15:46+00:00,,,Flag,CLEAR,Track,,,TRACK CLEAR
1288,11309,2026-06-26T15:19:50+00:00,,,Other,,,,,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 6 LAP 11 17:17:53 (PIT)
1288,11309,2026-06-26T15:21:29+00:00,,,Flag,YELLOW,Sector,6,,YELLOW IN TRACK SECTOR 6
1288,11309,2026-06-26T15:21:37+00:00,,,Flag,CLEAR,Sector,6,,CLEAR IN TRACK SECTOR 6
1288,11309,2026-06-26T15:21:39+00:00,,,Flag,YELLOW,Sector,6,,YELLOW IN TRACK SECTOR 6
1288,11309,2026-06-26T15:21:40+00:00,,,Other,,,,,CAR 1 (NOR) TIME 1:29.795 DELETED - TRACK LIMITS AT TURN 3 LAP 11 17:19:56
1288,11309,2026-06-26T15:21:46+00:00,,,Flag,CLEAR,Sector,6,,CLEAR IN TRACK SECTOR 6
1288,11309,2026-06-26T15:24:22+00:00,,,Other,,,,,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 12 17:21:32 (PIT)
1288,11309,2026-06-26T15:24:36+00:00,,,Other,,,,,CAR 23 (ALB) TIME 1:30.237 DELETED - TRACK LIMITS AT TURN 1 LAP 10 17:22:54
1288,11309,2026-06-26T15:28:05+00:00,,,Other,,,,,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 13 17:24:50 (PIT)
1288,11309,2026-06-26T15:33:59+00:00,,,Other,,,,,YELLOW IN PIT LANE
1288,11309,2026-06-26T15:36:44+00:00,,,Other,,,,,PIT LANE CLEAR
1288,11309,2026-06-26T15:38:44+00:00,,,Other,,,,,CAR 44 (HAM) TIME 1:29.348 DELETED - TRACK LIMITS AT TURN 3 LAP 19 17:37:23
1288,11309,2026-06-26T15:47:20+00:00,,,Other,,,,,CAR 63 (RUS) TIME 1:46.711 DELETED - TRACK LIMITS AT TURN 1 LAP 13 17:39:35
1288,11309,2026-06-26T15:54:30+00:00,,,Other,,,,,CAR 81 (PIA) TIME 1:14.663 DELETED - TRACK LIMITS AT TURN 3 LAP 25 17:53:28
1288,11309,2026-06-26T15:55:32+00:00,,,Other,,,,,CAR 1 (NOR) TIME 1:12.585 DELETED - TRACK LIMITS AT TURN 3 LAP 26 17:54:06
1288,11309,2026-06-26T15:56:16+00:00,,,Other,,,,,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 29 17:55:12 (PIT)
1288,11309,2026-06-26T15:56:45+00:00,,,Other,,,,,CAR 63 (RUS) TIME 1:15.101 DELETED - TRACK LIMITS AT TURN 3 LAP 20 17:55:43
1288,11309,2026-06-26T15:59:59.976000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1288,11309,2026-06-26T16:00:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1288,11309,2026-06-26T16:00:12+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 6 (HAD)
1288,11309,2026-06-26T16:00:31+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:15.652 DELETED - TRACK LIMITS AT TURN 9 LAP 30 17:57:21
1288,11309,2026-06-26T16:03:19+00:00,,,Other,,,,,CAR 3 (VER) TIME 1:14.001 DELETED - TRACK LIMITS AT TURN 9 LAP 25 17:58:04
1288,11309,2026-06-26T16:03:34+00:00,,,Other,,,,,CAR 44 (HAM) TIME 1:11.875 DELETED - TRACK LIMITS AT TURN 1 LAP 31 17:59:52
1288,11309,2026-06-26T16:08:00+00:00,,,Flag,YELLOW,Sector,2,,YELLOW IN TRACK SECTOR 2
1288,11309,2026-06-26T16:08:14+00:00,,,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1288,11309,2026-06-26T16:08:28+00:00,,,Flag,YELLOW,Sector,10,,YELLOW IN TRACK SECTOR 10
1288,11309,2026-06-26T16:08:28+00:00,,,Flag,YELLOW,Sector,15,,YELLOW IN TRACK SECTOR 15
1288,11309,2026-06-26T16:08:33+00:00,,,Flag,YELLOW,Sector,11,,YELLOW IN TRACK SECTOR 11
1288,11309,2026-06-26T16:08:35+00:00,,,Flag,CLEAR,Sector,10,,CLEAR IN TRACK SECTOR 10
1288,11309,2026-06-26T16:08:46+00:00,,,Flag,YELLOW,Sector,10,,YELLOW IN TRACK SECTOR 10
1288,11309,2026-06-26T16:08:53+00:00,,,Flag,YELLOW,Sector,16,,YELLOW IN TRACK SECTOR 16
1288,11309,2026-06-26T16:08:56+00:00,,,Flag,YELLOW,Sector,12,,YELLOW IN TRACK SECTOR 12
1288,11309,2026-06-26T16:09:01+00:00,,,Flag,YELLOW,Sector,13,,YELLOW IN TRACK SECTOR 13
1288,11309,2026-06-26T16:09:23+00:00,,,Flag,YELLOW,Sector,3,,YELLOW IN TRACK SECTOR 3
1288,11309,2026-06-26T16:12:18+00:00,,,Flag,CLEAR,Sector,16,,CLEAR IN TRACK SECTOR 16
1288,11309,2026-06-26T16:12:20+00:00,,,Flag,CLEAR,Sector,10,,CLEAR IN TRACK SECTOR 10
1288,11309,2026-06-26T16:12:26+00:00,,,Flag,CLEAR,Sector,11,,CLEAR IN TRACK SECTOR 11
1288,11309,2026-06-26T16:12:38+00:00,,,Flag,CLEAR,Sector,14,,CLEAR IN TRACK SECTOR 14
