position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,32,False,False,False,67.014,0,1288,11309
2,81,32,False,False,False,67.251,0.237,1288,11309
3,1,32,False,False,False,67.339,0.325,1288,11309
4,3,29,False,False,False,67.564,0.55,1288,11309
5,44,33,False,False,False,67.611,0.597,1288,11309
6,63,25,False,False,False,67.637,0.623,1288,11309
7,6,28,False,False,False,67.758,0.744,1288,11309
8,16,35,False,False,False,67.855,0.841,1288,11309
9,30,34,False,False,False,68.235,1.221,1288,11309
10,5,30,False,False,False,68.3,1.286,1288,11309
11,10,33,False,False,False,68.376,1.362,1288,11309
12,41,29,False,False,False,68.378,1.364,1288,11309
13,87,33,False,False,False,68.532,1.518,1288,11309
14,27,32,False,False,False,68.559,1.545,1288,11309
15,31,33,False,False,False,68.83,1.816,1288,11309
16,43,30,False,False,False,68.831,1.817,1288,11309
17,23,34,False,False,False,68.838,1.824,1288,11309
18,55,30,False,False,False,69.131,2.117,1288,11309
19,14,27,False,False,False,70.544,3.53,1288,11309
20,18,32,False,False,False,70.698,3.684,1288,11309
21,77,6,False,False,False,71.307,4.293,1288,11309
22,11,2,False,False,False,,,1288,11309
