date,session_key,driver_number,stop_duration,meeting_key,pit_duration,lap_number,lane_duration
2026-06-26T15:00:04.125000+00:00,11309,27,,1288,,1,
2026-06-26T15:00:11.600000+00:00,11309,5,,1288,,1,
2026-06-26T15:00:29.868000+00:00,11309,43,,1288,,1,
2026-06-26T15:00:36.493000+00:00,11309,10,,1288,,1,
2026-06-26T15:00:39.238000+00:00,11309,30,,1288,,1,
2026-06-26T15:00:46.576000+00:00,11309,44,,1288,,1,
2026-06-26T15:00:53.062000+00:00,11309,55,,1288,,1,
2026-06-26T15:01:06.340000+00:00,11309,23,,1288,,1,
2026-06-26T15:01:12.501000+00:00,11309,6,,1288,,1,
2026-06-26T15:01:30.962000+00:00,11309,3,,1288,,1,
2026-06-26T15:01:32.480000+00:00,11309,77,,1288,,1,
2026-06-26T15:01:35.891000+00:00,11309,31,,1288,,1,
2026-06-26T15:01:38.836000+00:00,11309,14,,1288,,1,
2026-06-26T15:01:47.594000+00:00,11309,87,,1288,,1,
2026-06-26T15:02:01.190000+00:00,11309,12,,1288,,1,
2026-06-26T15:02:06.725000+00:00,11309,1,,1288,,1,
2026-06-26T15:02:09.840000+00:00,11309,81,,1288,,1,
2026-06-26T15:03:12.210000+00:00,11309,16,,1288,,1,
2026-06-26T15:03:22.807000+00:00,11309,18,,1288,,1,
2026-06-26T15:05:14.369000+00:00,11309,11,,1288,,1,
2026-06-26T15:06:37.956000+00:00,11309,23,,1288,233.2,2,233.2
2026-06-26T15:06:44.949000+00:00,11309,6,,1288,29.9,4,29.9
2026-06-26T15:07:29.692000+00:00,11309,44,,1288,24.9,5,24.9
2026-06-26T15:07:32.635000+00:00,11309,12,,1288,64.4,4,64.4
2026-06-26T15:07:34.735000+00:00,11309,87,,1288,44.2,4,44.2
2026-06-26T15:07:45.714000+00:00,11309,5,,1288,34.9,6,34.9
2026-06-26T15:08:56.881000+00:00,11309,55,,1288,26.1,6,26.1
2026-06-26T15:10:32.832000+00:00,11309,10,,1288,27.5,7,27.5
2026-06-26T15:10:53.470000+00:00,11309,43,,1288,26.7,7,26.7
2026-06-26T15:11:44.417000+00:00,11309,12,,1288,145.8,5,145.8
2026-06-26T15:14:06.305000+00:00,11309,1,,1288,37.2,7,37.2
2026-06-26T15:15:31.470000+00:00,11309,63,,1288,,1,
2026-06-26T15:16:01.110000+00:00,11309,18,,1288,268.6,6,268.6
2026-06-26T15:16:04.662000+00:00,11309,27,,1288,333.9,8,333.9
2026-06-26T15:16:12.535000+00:00,11309,30,,1288,364.9,7,364.9
2026-06-26T15:16:18.527000+00:00,11309,6,,1288,338.6,6,338.6
2026-06-26T15:16:29.733000+00:00,11309,41,,1288,,1,
2026-06-26T15:16:42.483000+00:00,11309,1,,1288,42.6,8,42.6
2026-06-26T15:17:09.936000+00:00,11309,14,,1288,468.6,6,468.6
2026-06-26T15:17:34.146000+00:00,11309,3,,1288,462.6,6,462.6
2026-06-26T15:18:05.731000+00:00,11309,55,,1288,442.0,7,442.0
2026-06-26T15:18:24.405000+00:00,11309,23,,1288,217.3,6,217.3
2026-06-26T15:18:42.646000+00:00,11309,81,,1288,216.1,8,216.1
2026-06-26T15:20:13.008000+00:00,11309,16,,1288,23.4,11,23.4
2026-06-26T15:22:05.400000+00:00,11309,3,,1288,25.7,9,25.7
2026-06-26T15:23:12.644000+00:00,11309,12,,1288,65.7,11,65.7
2026-06-26T15:26:04.243000+00:00,11309,77,,1288,967.9,6,967.9
2026-06-26T15:26:53.764000+00:00,11309,27,,1288,389.7,11,389.7
2026-06-26T15:27:00.996000+00:00,11309,18,,1288,33.2,13,33.2
2026-06-26T15:27:23.254000+00:00,11309,23,,1288,33.8,12,33.8
2026-06-26T15:28:57.794000+00:00,11309,87,,1288,368.1,12,368.1
2026-06-26T15:29:23.972000+00:00,11309,10,,1288,602.7,12,602.7
2026-06-26T15:29:29.585000+00:00,11309,30,,1288,256.4,13,256.4
2026-06-26T15:29:49.020000+00:00,11309,81,,1288,423.5,11,423.5
2026-06-26T15:29:58.098000+00:00,11309,41,,1288,288.9,7,288.9
2026-06-26T15:30:21.820000+00:00,11309,44,,1288,443.0,14,443.0
2026-06-26T15:31:28.925000+00:00,11309,1,,1288,517.3,12,517.3
2026-06-26T15:32:00.677000+00:00,11309,23,,1288,26.4,15,26.4
2026-06-26T15:32:28.784000+00:00,11309,12,,1288,307.4,14,307.4
2026-06-26T15:32:34.891000+00:00,11309,31,,1288,518.2,14,518.2
2026-06-26T15:32:40.265000+00:00,11309,63,,1288,353.0,8,353.0
2026-06-26T15:33:36.392000+00:00,11309,16,,1288,385.4,16,385.4
2026-06-26T15:33:51.374000+00:00,11309,27,,1288,155.7,14,155.7
2026-06-26T15:34:03.944000+00:00,11309,10,,1288,15.9,15,15.9
2026-06-26T15:34:08.444000+00:00,11309,43,,1288,945.9,11,945.9
2026-06-26T15:34:13.295000+00:00,11309,81,,1288,16.0,14,16.0
2026-06-26T15:34:22.139000+00:00,11309,6,,1288,413.0,13,413.0
2026-06-26T15:34:35.329000+00:00,11309,55,,1288,574.3,12,574.3
2026-06-26T15:34:43.466000+00:00,11309,14,,1288,526.7,12,526.7
2026-06-26T15:34:48.995000+00:00,11309,87,,1288,44.0,15,44.0
2026-06-26T15:36:11.503000+00:00,11309,1,,1288,29.2,15,29.2
2026-06-26T15:37:23.568000+00:00,11309,18,,1288,366.3,16,366.3
2026-06-26T15:38:04.825000+00:00,11309,12,,1288,77.6,17,77.6
2026-06-26T15:38:16.315000+00:00,11309,16,,1288,17.1,19,17.1
2026-06-26T15:38:41.073000+00:00,11309,31,,1288,84.4,17,84.4
2026-06-26T15:39:03.810000+00:00,11309,3,,1288,640.1,13,640.1
2026-06-26T15:39:14.345000+00:00,11309,43,,1288,17.4,14,17.4
2026-06-26T15:39:32.764000+00:00,11309,14,,1288,29.5,15,29.5
2026-06-26T15:40:02.896000+00:00,11309,5,,1288,909.0,16,909.0
2026-06-26T15:40:52.912000+00:00,11309,55,,1288,15.9,16,15.9
2026-06-26T15:42:17.022000+00:00,11309,18,,1288,16.0,19,16.0
2026-06-26T15:42:43.647000+00:00,11309,41,,1288,263.0,13,263.0
2026-06-26T15:43:00.309000+00:00,11309,23,,1288,417.0,18,417.0
2026-06-26T15:43:24.569000+00:00,11309,10,,1288,386.6,17,386.6
2026-06-26T15:43:49.374000+00:00,11309,27,,1288,349.3,17,349.3
2026-06-26T15:43:53.207000+00:00,11309,87,,1288,279.3,18,279.3
