meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1288,11309,1,23,1,1,MEDIUM,0
1288,11309,1,6,1,3,MEDIUM,0
1288,11309,1,11,1,2,MEDIUM,0
1288,11309,1,44,1,4,MEDIUM,0
1288,11309,1,12,1,3,MEDIUM,0
1288,11309,1,87,1,3,HARD,0
1288,11309,1,5,1,5,HARD,0
1288,11309,1,55,1,5,MEDIUM,0
1288,11309,1,10,1,6,MEDIUM,0
1288,11309,1,43,1,6,HARD,0
1288,11309,2,12,4,4,MEDIUM,3
1288,11309,1,1,1,6,MEDIUM,0
1288,11309,1,18,1,5,MEDIUM,0
1288,11309,1,27,1,7,HARD,0
1288,11309,1,30,1,6,MEDIUM,0
1288,11309,2,6,4,5,MEDIUM,3
1288,11309,2,1,7,7,MEDIUM,0
1288,11309,1,14,1,5,MEDIUM,0
1288,11309,1,3,1,5,MEDIUM,0
1288,11309,2,55,6,6,MEDIUM,5
1288,11309,2,23,2,5,MEDIUM,1
1288,11309,1,81,1,7,MEDIUM,0
1288,11309,1,16,1,10,MEDIUM,0
1288,11309,2,3,6,8,MEDIUM,5
1288,11309,3,12,5,10,MEDIUM,0
1288,11309,1,77,1,5,MEDIUM,0
1288,11309,2,27,8,10,HARD,0
1288,11309,2,18,6,12,MEDIUM,5
1288,11309,3,23,6,11,MEDIUM,0
1288,11309,2,87,4,11,HARD,3
1288,11309,2,10,7,11,MEDIUM,6
1288,11309,2,30,7,12,MEDIUM,6
1288,11309,2,81,8,10,MEDIUM,7
1288,11309,1,41,1,6,MEDIUM,0
1288,11309,2,44,5,13,MEDIUM,4
1288,11309,3,1,8,11,MEDIUM,7
1288,11309,4,23,12,14,SOFT,0
1288,11309,4,12,11,13,MEDIUM,0
1288,11309,1,31,1,13,HARD,0
1288,11309,1,63,1,7,MEDIUM,0
1288,11309,2,16,11,15,MEDIUM,10
1288,11309,3,27,11,13,SOFT,0
1288,11309,3,10,12,14,SOFT,0
1288,11309,2,43,7,10,HARD,0
1288,11309,3,81,11,13,SOFT,0
1288,11309,3,6,6,12,MEDIUM,5
1288,11309,3,55,7,11,MEDIUM,6
1288,11309,2,14,6,11,MEDIUM,5
1288,11309,3,87,12,14,SOFT,0
1288,11309,4,1,12,14,SOFT,11
1288,11309,3,18,13,15,MEDIUM,12
1288,11309,5,12,14,16,SOFT,0
1288,11309,3,16,16,18,SOFT,0
1288,11309,2,31,14,16,SOFT,0
1288,11309,2,77,6,6,MEDIUM,0
1288,11309,3,3,9,12,MEDIUM,8
1288,11309,3,43,11,13,SOFT,0
1288,11309,3,14,12,14,SOFT,0
1288,11309,2,5,6,15,HARD,0
1288,11309,4,55,12,15,SOFT,0
1288,11309,4,18,16,18,SOFT,0
1288,11309,2,41,7,12,SOFT,0
1288,11309,5,23,15,17,SOFT,3
1288,11309,4,10,15,16,SOFT,3
1288,11309,4,27,14,16,SOFT,0
1288,11309,4,87,15,17,SOFT,3
1288,11309,3,30,13,18,SOFT,0
1288,11309,4,81,14,16,SOFT,3
1288,11309,6,23,18,18,SOFT,6
1288,11309,3,44,14,19,SOFT,0
1288,11309,5,1,15,17,SOFT,3
1288,11309,3,31,17,19,SOFT,3
1288,11309,4,3,13,15,SOFT,0
1288,11309,6,12,17,19,SOFT,3
1288,11309,4,43,14,16,SOFT,3
1288,11309,4,16,19,22,SOFT,3
1288,11309,5,55,16,18,SOFT,4
1288,11309,3,5,16,18,SOFT,0
1288,11309,4,14,15,16,SOFT,3
1288,11309,2,63,8,14,SOFT,0
1288,11309,5,18,19,21,SOFT,3
1288,11309,4,6,13,18,SOFT,0
1288,11309,5,27,17,26,HARD,10
1288,11309,5,87,18,27,SOFT,6
1288,11309,4,44,20,28,MEDIUM,13
1288,11309,6,1,18,28,MEDIUM,11
1288,11309,7,12,20,28,MEDIUM,0
1288,11309,3,63,15,21,MEDIUM,7
1288,11309,5,81,17,28,MEDIUM,10
1288,11309,3,41,13,29,MEDIUM,6
1288,11309,6,87,28,33,HARD,11
1288,11309,4,5,19,30,HARD,15
1288,11309,6,27,27,32,SOFT,0
1288,11309,7,1,29,32,SOFT,6
1288,11309,6,55,19,30,MEDIUM,11
1288,11309,8,12,29,32,SOFT,6
1288,11309,5,14,17,27,SOFT,5
1288,11309,4,30,19,34,MEDIUM,12
1288,11309,5,10,17,33,MEDIUM,0
1288,11309,4,31,20,33,HARD,13
1288,11309,4,63,22,25,SOFT,7
1288,11309,6,18,22,32,SOFT,6
1288,11309,5,6,19,28,MEDIUM,12
1288,11309,5,44,29,33,SOFT,6
1288,11309,6,81,29,32,SOFT,6
1288,11309,7,23,19,34,MEDIUM,11
1288,11309,5,3,16,29,MEDIUM,12
1288,11309,5,16,23,35,MEDIUM,15
1288,11309,5,43,17,30,HARD,10
