meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1288,11310,11,1,,,38.813,24.902,201,184,True,,"[2064, 2064, 2064, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",245
1288,11310,11,2,2026-06-27T10:31:33.558000+00:00,17.604,31.823,22.01,303,211,False,71.437,"[2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",298
1288,11310,11,3,2026-06-27T10:32:44.903000+00:00,25.468,48.676,40.912,176,126,False,115.056,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",167
1288,11310,11,4,2026-06-27T10:34:39.938000+00:00,33.079,55.985,31.304,143,127,False,120.368,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051]",123
1288,11310,11,5,2026-06-27T10:36:40.466000+00:00,20.987,40.97,28.184,226,168,False,90.141,"[2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051]",206
1288,11310,11,6,2026-06-27T10:38:10.557000+00:00,17.458,31.743,21.743,304,212,False,70.944,"[None, 2051, 2051, 2048, 2048, 2051]","[2051, 2048, 2048, 2051, 2051, 2051, 2051]","[2051, 2051, 2048, 2051, 2051, 2051, 2051]",301
1288,11310,11,7,2026-06-27T10:39:21.394000+00:00,23.492,50.652,37.693,182,134,False,111.837,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",135
1288,11310,43,1,2026-06-27T10:39:28.271000+00:00,,38.791,25.626,238,178,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",239
1288,11310,27,1,2026-06-27T10:39:57.570000+00:00,,40.171,27.372,222,173,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",249
1288,11310,6,1,2026-06-27T10:40:32.138000+00:00,,37.144,24.324,195,206,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",169
1288,11310,43,2,2026-06-27T10:40:55.384000+00:00,17.3,31.189,21.34,308,222,False,69.829,"[2051, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2049, 2049, 2049]",315
1288,11310,27,2,2026-06-27T10:41:28.214000+00:00,17.178,31.263,21.243,311,225,False,69.684,"[2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049, 2051, 2051]","[2051, 2049, 2049, 2051, 2051, 2051, 2049, 2048]",310
