date,session_key,lap_number,stop_duration,lane_duration,driver_number,pit_duration,meeting_key
2026-06-27T10:30:04.244000+00:00,11310,1,,,11,,1288
2026-06-27T10:39:28.350000+00:00,11310,1,,,43,,1288
2026-06-27T10:39:57.730000+00:00,11310,1,,,27,,1288
2026-06-27T10:40:32.290000+00:00,11310,1,,,6,,1288
2026-06-27T10:41:54.646000+00:00,11310,8,,46.4,11,46.4,1288
2026-06-27T10:43:45.775000+00:00,11310,1,,,14,,1288
2026-06-27T10:43:56.229000+00:00,11310,1,,,77,,1288
2026-06-27T10:44:04.662000+00:00,11310,4,,28.4,43,28.4,1288
2026-06-27T10:44:06.177000+00:00,11310,1,,,18,,1288
2026-06-27T10:44:27.250000+00:00,11310,1,,,1,,1288
2026-06-27T10:44:57.537000+00:00,11310,1,,,44,,1288
2026-06-27T10:45:26.323000+00:00,11310,1,,,63,,1288
2026-06-27T10:45:52.847000+00:00,11310,1,,,55,,1288
2026-06-27T10:45:57.208000+00:00,11310,1,,,16,,1288
2026-06-27T10:46:00.469000+00:00,11310,1,,,41,,1288
2026-06-27T10:46:03.402000+00:00,11310,1,,,5,,1288
2026-06-27T10:46:14.526000+00:00,11310,1,,,31,,1288
2026-06-27T10:46:24.152000+00:00,11310,1,,,87,,1288
2026-06-27T10:46:30.689000+00:00,11310,1,,,10,,1288
2026-06-27T10:46:48.389000+00:00,11310,4,,144.2,27,144.2,1288
2026-06-27T10:46:58.961000+00:00,11310,1,,,23,,1288
2026-06-27T10:47:12.616000+00:00,11310,1,,,30,,1288
2026-06-27T10:48:24.710000+00:00,11310,1,,,81,,1288
2026-06-27T10:48:44.462000+00:00,11310,4,,16.1,77,16.1,1288
2026-06-27T10:49:12.839000+00:00,11310,1,,,12,,1288
2026-06-27T10:49:50.206000+00:00,11310,1,,,3,,1288
2026-06-27T10:50:48.137000+00:00,11310,4,,23.1,55,23.1,1288
2026-06-27T10:50:52.183000+00:00,11310,4,,16.5,16,16.5,1288
2026-06-27T10:52:08.015000+00:00,11310,4,,20.0,23,20.0,1288
2026-06-27T10:52:20.596000+00:00,11310,4,,83.8,31,83.8,1288
2026-06-27T10:52:58.852000+00:00,11310,4,,131.6,5,131.6,1288
2026-06-27T10:53:28.272000+00:00,11310,7,,132.5,27,132.5,1288
2026-06-27T10:54:16.902000+00:00,11310,5,,51.6,87,51.6,1288
2026-06-27T10:54:51.842000+00:00,11310,4,,15.9,3,15.9,1288
2026-06-27T10:55:26.780000+00:00,11310,5,,598.2,43,598.2,1288
2026-06-27T10:55:53.002000+00:00,11310,7,,16.9,55,16.9,1288
2026-06-27T10:56:48.130000+00:00,11310,4,,488.3,1,488.3,1288
2026-06-27T10:58:00.569000+00:00,11310,11,,704.9,11,704.9,1288
2026-06-27T10:58:14.102000+00:00,11310,4,,435.6,10,435.6,1288
2026-06-27T10:58:52.742000+00:00,11310,4,,373.0,81,373.0,1288
2026-06-27T10:59:50.403000+00:00,11310,8,,215.9,44,215.9,1288
2026-06-27T10:59:52.121000+00:00,11310,7,,597.6,6,597.6,1288
2026-06-27T10:59:58.993000+00:00,11310,4,,393.1,12,393.1,1288
2026-06-27T11:00:15.584000+00:00,11310,7,,15.9,3,15.9,1288
2026-06-27T11:00:20.254000+00:00,11310,7,,202.9,31,202.9,1288
2026-06-27T11:00:37.098000+00:00,11310,8,,233.3,16,233.3,1288
2026-06-27T11:00:58.156000+00:00,11310,8,,381.0,18,381.0,1288
2026-06-27T11:02:28.827000+00:00,11310,7,,360.5,23,360.5,1288
2026-06-27T11:02:39.895000+00:00,11310,4,,671.0,30,671.0,1288
2026-06-27T11:02:41.627000+00:00,11310,7,,318.8,5,318.8,1288
2026-06-27T11:02:54.437000+00:00,11310,8,,25.4,1,25.4,1288
2026-06-27T11:03:23.759000+00:00,11310,7,,486.5,41,486.5,1288
2026-06-27T11:03:27.372000+00:00,11310,7,,15.9,81,15.9,1288
2026-06-27T11:03:56.572000+00:00,11310,10,,230.1,55,230.1,1288
2026-06-27T11:04:42.447000+00:00,11310,8,,296.2,43,296.2,1288
2026-06-27T11:05:30.149000+00:00,11310,11,,19.0,16,19.0,1288
2026-06-27T11:05:57.469000+00:00,11310,7,,207.5,10,207.5,1288
2026-06-27T11:06:13.335000+00:00,11310,8,,401.5,87,401.5,1288
2026-06-27T11:06:47.924000+00:00,11310,9,,643.0,77,643.0,1288
2026-06-27T11:06:58.267000+00:00,11310,9,,684.1,14,684.1,1288
2026-06-27T11:07:19.231000+00:00,11310,10,,29.2,5,29.2,1288
2026-06-27T11:10:22.222000+00:00,11310,11,,34.9,14,34.9,1288
2026-06-27T11:13:43.591000+00:00,11310,7,,571.2,12,571.2,1288
2026-06-27T11:13:51.155000+00:00,11310,10,,555.5,3,555.5,1288
2026-06-27T11:13:55.050000+00:00,11310,14,,675.4,27,675.4,1288
2026-06-27T11:14:00.804000+00:00,11310,16,,38.4,23,38.4,1288
2026-06-27T11:14:12.032000+00:00,11310,11,,428.9,1,428.9,1288
2026-06-27T11:14:21.889000+00:00,11310,11,,627.4,44,627.4,1288
2026-06-27T11:14:27.318000+00:00,11310,10,,238.4,10,238.4,1288
2026-06-27T11:14:39.187000+00:00,11310,10,,869.8,63,869.8,1288
2026-06-27T11:14:42.295000+00:00,11310,13,,387.8,16,387.8,1288
2026-06-27T11:14:55.308000+00:00,11310,9,,511.5,81,511.5,1288
2026-06-27T11:15:21.124000+00:00,11310,16,,257.2,6,257.2,1288
2026-06-27T11:15:45.628000+00:00,11310,12,,196.8,30,196.8,1288
2026-06-27T11:15:49.932000+00:00,11310,12,,535.2,18,535.2,1288
2026-06-27T11:16:11.464000+00:00,11310,11,,410.7,43,410.7,1288
2026-06-27T11:17:35.651000+00:00,11310,15,,259.8,41,259.8,1288
2026-06-27T11:18:23.305000+00:00,11310,15,,15.9,16,15.9,1288
2026-06-27T11:18:54.568000+00:00,11310,15,,339.9,5,339.9,1288
2026-06-27T11:19:11.928000+00:00,11310,14,,33.7,1,33.7,1288
2026-06-27T11:19:39.341000+00:00,11310,12,,456.5,87,456.5,1288
2026-06-27T11:19:51.221000+00:00,11310,17,,267.1,23,267.1,1288
2026-06-27T11:20:05.787000+00:00,11310,22,,484.5,11,484.5,1288
2026-06-27T11:20:06.742000+00:00,11310,12,,26.9,81,26.9,1288
2026-06-27T11:20:34.129000+00:00,11310,19,,29.5,6,29.5,1288
2026-06-27T11:20:47.207000+00:00,11310,20,,274.1,55,274.1,1288
2026-06-27T11:20:48.844000+00:00,11310,15,,17.8,18,17.8,1288
2026-06-27T11:21:02.708000+00:00,11310,17,,154.5,27,154.5,1288
2026-06-27T11:21:08.879000+00:00,11310,14,,395.6,14,395.6,1288
2026-06-27T11:21:37.594000+00:00,11310,17,,15.9,16,15.9,1288
2026-06-27T11:21:54.282000+00:00,11310,10,,233.9,12,233.9,1288
2026-06-27T11:23:03.026000+00:00,11310,13,,221.4,63,221.4,1288
2026-06-27T11:23:27.512000+00:00,11310,15,,224.3,30,224.3,1288
2026-06-27T11:23:36.369000+00:00,11310,17,,23.8,1,23.8,1288
2026-06-27T11:23:45.831000+00:00,11310,18,,125.4,41,125.4,1288
2026-06-27T11:23:48.693000+00:00,11310,18,,355.9,77,355.9,1288
2026-06-27T11:24:05.551000+00:00,11310,10,,1171.6,31,1171.6,1288
2026-06-27T11:24:38.861000+00:00,11310,20,,17.1,23,17.1,1288
2026-06-27T11:25:44.864000+00:00,11310,23,,28.9,55,28.9,1288
2026-06-27T11:25:48.551000+00:00,11310,15,,60.9,87,60.9,1288
2026-06-27T11:26:06.891000+00:00,11310,17,,35.4,14,35.4,1288
2026-06-27T11:26:21.520000+00:00,11310,18,,32.4,44,32.4,1288
2026-06-27T11:26:29.367000+00:00,11310,18,,197.4,5,197.4,1288
2026-06-27T11:26:32.030000+00:00,11310,20,,27.6,16,27.6,1288
2026-06-27T11:26:34.829000+00:00,11310,13,,25.8,12,25.8,1288
2026-06-27T11:26:55.164000+00:00,11310,14,,366.7,43,366.7,1288
2026-06-27T11:26:59.291000+00:00,11310,13,,471.6,10,471.6,1288
2026-06-27T11:27:21.020000+00:00,11310,13,,545.3,3,545.3,1288
2026-06-27T11:27:54.581000+00:00,11310,18,,21.8,30,21.8,1288
2026-06-27T11:28:01.278000+00:00,11310,21,,15.9,41,15.9,1288
2026-06-27T11:29:01.133000+00:00,11310,17,,21.4,63,21.4,1288
2026-06-27T11:29:28.241000+00:00,11310,18,,266.4,1,266.4,1288
2026-06-27T11:29:32.404000+00:00,11310,15,,308.5,81,308.5,1288
2026-06-27T11:29:37.539000+00:00,11310,20,,244.9,27,244.9,1288
2026-06-27T11:29:41.634000+00:00,11310,23,,36.9,23,36.9,1288
2026-06-27T11:29:43.160000+00:00,11310,15,,16.4,12,16.4,1288
