meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1288,11311,2026-06-27T13:47:01+00:00,,,Other,,,,,RISK OF RAIN FOR F1 QUALIFYING IS 0%
1288,11311,2026-06-27T14:00:01.188000+00:00,,,SessionStatus,,,,1,SESSION STARTED
1288,11311,2026-06-27T14:00:00+00:00,,,Flag,GREEN,Track,,1,GREEN LIGHT - PIT EXIT OPEN
1288,11311,2026-06-27T14:18:01.392000+00:00,,,SessionStatus,,,,1,SESSION FINISHED
1288,11311,2026-06-27T14:18:00+00:00,,,Flag,CHEQUERED,Track,,1,CHEQUERED FLAG
1288,11311,2026-06-27T14:18:10+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 5 (BOR)
1288,11311,2026-06-27T14:20:23+00:00,,,Flag,YELLOW,Sector,11,1,YELLOW IN TRACK SECTOR 11
1288,11311,2026-06-27T14:21:47+00:00,,,Flag,CLEAR,Sector,11,1,CLEAR IN TRACK SECTOR 11
1288,11311,2026-06-27T14:21:50+00:00,,,Other,,,,,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO), 63 (RUS), 41 (LIN), 30 (LAW), 6 (HAD), 5 (BOR), 27 (HUL), 11 (PER), 43 (COL) AND 87 (BEA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1288,11311,2026-06-27T14:22:13+00:00,,,Other,,,,,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO), 63 (RUS), 41 (LIN), 30 (LAW), 6 (HAD), 5 (BOR), 27 (HUL), 11 (PER), 43 (COL) AND 87 (BEA) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1288,11311,2026-06-27T14:25:01.476000+00:00,,,SessionStatus,,,,2,SESSION STARTED
1288,11311,2026-06-27T14:25:00+00:00,,,Flag,GREEN,Track,,2,GREEN LIGHT - PIT EXIT OPEN
1288,11311,2026-06-27T14:37:46+00:00,,,Other,,,,,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 7 16:31:44 (PIT)
1288,11311,2026-06-27T14:40:00.252000+00:00,,,SessionStatus,,,,2,SESSION FINISHED
1288,11311,2026-06-27T14:40:00+00:00,,,Flag,CHEQUERED,Track,,2,CHEQUERED FLAG
1288,11311,2026-06-27T14:40:15+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS)
1288,11311,2026-06-27T14:40:46+00:00,,,Other,,,,,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 12 16:39:18 (PIT)
1288,11311,2026-06-27T14:42:23+00:00,,,Other,,,,,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 10 (GAS), 43 (COL), 12 (ANT) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1288,11311,2026-06-27T14:42:33+00:00,,,Other,,,,,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 10 (GAS), 43 (COL), 12 (ANT) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1288,11311,2026-06-27T14:47:00.104000+00:00,,,SessionStatus,,,,3,SESSION STARTED
1288,11311,2026-06-27T14:47:00+00:00,,,Flag,GREEN,Track,,3,GREEN LIGHT - PIT EXIT OPEN
1288,11311,2026-06-27T14:51:35+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 41 (LIN) NOTED - UNSAFE RELEASE (16:50:09)
1288,11311,2026-06-27T14:57:56+00:00,,,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 41 (LIN) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE (16:50:09)
1288,11311,2026-06-27T14:59:59.847000+00:00,,,SessionStatus,,,,3,SESSION FINISHED
1288,11311,2026-06-27T15:00:00+00:00,,,Flag,CHEQUERED,Track,,3,CHEQUERED FLAG
1288,11311,2026-06-27T15:00:08+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC)
1288,11311,2026-06-27T15:00:23+00:00,,,Flag,YELLOW,Sector,15,3,YELLOW IN TRACK SECTOR 15
1288,11311,2026-06-27T15:00:45+00:00,,,Flag,DOUBLE YELLOW,Sector,15,3,DOUBLE YELLOW IN TRACK SECTOR 15
1288,11311,2026-06-27T15:00:53+00:00,,,Flag,YELLOW,Sector,14,3,YELLOW IN TRACK SECTOR 14
1288,11311,2026-06-27T15:03:16+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 63 (RUS) NOTED - YELLOW FLAG INFRINGEMENT (17:00:35)
1288,11311,2026-06-27T15:03:32+00:00,,,Flag,CLEAR,Sector,14,3,CLEAR IN TRACK SECTOR 14
