date,session_key,meeting_key,pit_duration,lap_number,driver_number,lane_duration,stop_duration
2026-06-27T14:00:05.892000+00:00,11311,1288,,1,31,,
2026-06-27T14:00:14.306000+00:00,11311,1288,,1,77,,
2026-06-27T14:00:24.289000+00:00,11311,1288,,1,11,,
2026-06-27T14:00:51.597000+00:00,11311,1288,,1,55,,
2026-06-27T14:00:57.270000+00:00,11311,1288,,1,23,,
2026-06-27T14:01:03.397000+00:00,11311,1288,,1,27,,
2026-06-27T14:01:05.984000+00:00,11311,1288,,1,18,,
2026-06-27T14:01:15.864000+00:00,11311,1288,,1,14,,
2026-06-27T14:01:34.526000+00:00,11311,1288,,1,63,,
2026-06-27T14:03:18.778000+00:00,11311,1288,,1,3,,
2026-06-27T14:03:26.373000+00:00,11311,1288,,1,6,,
2026-06-27T14:03:33.569000+00:00,11311,1288,,1,1,,
2026-06-27T14:03:35.967000+00:00,11311,1288,,1,81,,
2026-06-27T14:03:38.829000+00:00,11311,1288,,1,16,,
2026-06-27T14:03:46.272000+00:00,11311,1288,,1,44,,
2026-06-27T14:04:15.152000+00:00,11311,1288,,1,10,,
2026-06-27T14:04:16.699000+00:00,11311,1288,,1,43,,
2026-06-27T14:04:46.355000+00:00,11311,1288,,1,41,,
2026-06-27T14:04:54.195000+00:00,11311,1288,,1,30,,
2026-06-27T14:04:56.954000+00:00,11311,1288,,1,87,,
2026-06-27T14:05:21.329000+00:00,11311,1288,,1,12,,
2026-06-27T14:06:43.618000+00:00,11311,1288,138.3,4,31,138.3,
2026-06-27T14:06:56.608000+00:00,11311,1288,59.1,4,63,59.1,
2026-06-27T14:07:07.798000+00:00,11311,1288,,1,5,,
2026-06-27T14:07:12.968000+00:00,11311,1288,134.9,4,55,134.9,
2026-06-27T14:07:18.683000+00:00,11311,1288,138.3,4,23,138.3,
2026-06-27T14:07:33.399000+00:00,11311,1288,186.3,4,11,186.3,
2026-06-27T14:07:50.908000+00:00,11311,1288,145.3,4,14,145.3,
2026-06-27T14:07:59.375000+00:00,11311,1288,223.2,4,77,223.2,
2026-06-27T14:08:16.026000+00:00,11311,1288,175.0,4,18,175.0,
2026-06-27T14:08:23.530000+00:00,11311,1288,187.5,4,27,187.5,
2026-06-27T14:13:11.648000+00:00,11311,1288,338.5,4,6,338.5,
2026-06-27T14:14:06.887000+00:00,11311,1288,374.8,4,81,374.8,
2026-06-27T14:14:10.106000+00:00,11311,1288,343.1,4,10,343.1,
2026-06-27T14:14:13.186000+00:00,11311,1288,334.9,4,43,334.9,
2026-06-27T14:14:17.213000+00:00,11311,1288,201.6,7,31,201.6,
2026-06-27T14:14:29.361000+00:00,11311,1288,322.8,4,87,322.8,
2026-06-27T14:14:38.666000+00:00,11311,1288,192.2,7,55,192.2,
2026-06-27T14:14:44.230000+00:00,11311,1288,195.2,7,23,195.2,
2026-06-27T14:14:48.996000+00:00,11311,1288,354.2,4,41,354.2,
2026-06-27T14:14:53.590000+00:00,11311,1288,348.8,4,30,348.8,
2026-06-27T14:15:00.966000+00:00,11311,1288,165.6,7,18,165.6,
2026-06-27T14:15:08.907000+00:00,11311,1288,229.1,4,5,229.1,
2026-06-27T14:15:17.596000+00:00,11311,1288,200.4,7,14,200.4,
2026-06-27T14:15:33.427000+00:00,11311,1288,187.0,7,27,187.0,
2026-06-27T14:15:36.147000+00:00,11311,1288,372.1,4,12,372.1,
2026-06-27T14:15:40.460000+00:00,11311,1288,263.3,7,63,263.3,
2026-06-27T14:15:50.837000+00:00,11311,1288,253.4,7,11,253.4,
2026-06-27T14:15:53.009000+00:00,11311,1288,234.7,7,77,234.7,
2026-06-27T14:26:23.996000+00:00,11311,1288,1123.7,4,1,1123.7,
2026-06-27T14:28:07.457000+00:00,11311,1288,1247.1,4,3,1247.1,
2026-06-27T14:28:13.300000+00:00,11311,1288,650.4,7,6,650.4,
2026-06-27T14:28:23.150000+00:00,11311,1288,1219.3,4,16,1219.3,
2026-06-27T14:28:31.074000+00:00,11311,1288,550.1,7,30,550.1,
2026-06-27T14:28:35.926000+00:00,11311,1288,1227.7,4,44,1227.7,
2026-06-27T14:28:39.383000+00:00,11311,1288,570.3,7,41,570.3,
2026-06-27T14:28:43.212000+00:00,11311,1288,594.0,10,31,594.0,
2026-06-27T14:28:46.557000+00:00,11311,1288,590.6,7,87,590.6,
2026-06-27T14:29:01.860000+00:00,11311,1288,634.9,7,10,634.9,
2026-06-27T14:29:02.532000+00:00,11311,1288,619.0,7,43,619.0,
2026-06-27T14:29:32.112000+00:00,11311,1288,581.6,10,27,581.6,
2026-06-27T14:29:36.942000+00:00,11311,1288,599.5,7,5,599.5,
2026-06-27T14:29:42.365000+00:00,11311,1288,672.2,6,12,672.2,
2026-06-27T14:29:56.385000+00:00,11311,1288,784.6,6,81,784.6,
2026-06-27T14:30:11.028000+00:00,11311,1288,607.8,10,63,607.8,
2026-06-27T14:34:42.925000+00:00,11311,1288,269.6,7,1,269.6,
2026-06-27T14:34:47.741000+00:00,11311,1288,108.1,12,63,108.1,
2026-06-27T14:36:22.271000+00:00,11311,1288,233.1,7,16,233.1,
2026-06-27T14:36:27.050000+00:00,11311,1288,217.1,7,44,217.1,
2026-06-27T14:36:31.234000+00:00,11311,1288,255.0,10,6,255.0,
2026-06-27T14:36:34.046000+00:00,11311,1288,238.3,10,30,238.3,
2026-06-27T14:36:35.291000+00:00,11311,1288,232.5,10,41,232.5,
2026-06-27T14:36:47.319000+00:00,11311,1288,224.9,13,31,224.9,
2026-06-27T14:36:52.260000+00:00,11311,1288,229.5,10,87,229.5,
2026-06-27T14:37:04.941000+00:00,11311,1288,214.4,13,27,214.4,
2026-06-27T14:37:12.403000+00:00,11311,1288,211.1,10,5,211.1,
2026-06-27T14:37:23.720000+00:00,11311,1288,242.4,10,10,242.4,
2026-06-27T14:37:31.981000+00:00,11311,1288,242.5,10,43,242.5,
2026-06-27T14:37:51.820000+00:00,11311,1288,233.4,9,12,233.4,
2026-06-27T14:50:14.845000+00:00,11311,1288,702.6,10,1,702.6,
2026-06-27T14:50:18.485000+00:00,11311,1288,585.4,13,6,585.4,
2026-06-27T14:50:22.822000+00:00,11311,1288,1100.0,7,3,1100.0,
2026-06-27T14:50:25.520000+00:00,11311,1288,982.5,9,81,982.5,
2026-06-27T14:50:28.141000+00:00,11311,1288,580.1,13,41,580.1,
2026-06-27T14:50:30.453000+00:00,11311,1288,620.4,10,16,620.4,
2026-06-27T14:50:51.423000+00:00,11311,1288,633.4,10,44,633.4,
2026-06-27T14:51:01.151000+00:00,11311,1288,619.3,13,30,619.3,
2026-06-27T14:51:08.118000+00:00,11311,1288,551.4,12,12,551.4,
2026-06-27T14:51:17.097000+00:00,11311,1288,745.9,15,63,745.9,
2026-06-27T14:57:04.922000+00:00,11311,1288,173.0,16,6,173.0,
2026-06-27T14:57:09.686000+00:00,11311,1288,201.4,12,44,201.4,
2026-06-27T14:57:16.152000+00:00,11311,1288,133.5,16,30,133.5,
2026-06-27T14:57:20.550000+00:00,11311,1288,150.7,13,16,150.7,
2026-06-27T14:57:26.819000+00:00,11311,1288,200.9,13,1,200.9,
2026-06-27T14:57:30.526000+00:00,11311,1288,181.2,12,81,181.2,
2026-06-27T14:57:38.825000+00:00,11311,1288,183.6,16,41,183.6,
2026-06-27T14:57:49.029000+00:00,11311,1288,214.4,10,3,214.4,
2026-06-27T14:57:57.350000+00:00,11311,1288,166.5,15,12,166.5,
2026-06-27T14:58:10.449000+00:00,11311,1288,172.2,18,63,172.2,
