meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1288,11311,31,1,,,43.492,26.168,242,168,True,,"[2064, 2064, 2064, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2049, 2051, 2051]",209
1288,11311,77,1,2026-06-27T14:00:14.274000+00:00,,38.715,27.044,245,197,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]",264
1288,11311,11,1,2026-06-27T14:00:24.282000+00:00,,36.423,24.526,230,202,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",256
1288,11311,55,1,2026-06-27T14:00:51.488000+00:00,,38.249,24.947,246,203,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2049, 2049]",254
1288,11311,23,1,2026-06-27T14:00:57.193000+00:00,,39.668,23.722,236,191,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2049, 2049]",230
1288,11311,27,1,2026-06-27T14:01:03.381000+00:00,,39.766,25.268,229,180,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",228
1288,11311,18,1,2026-06-27T14:01:05.915000+00:00,,38.942,26.107,237,176,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",255
1288,11311,14,1,2026-06-27T14:01:15.756000+00:00,,36.779,25.587,267,184,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",254
1288,11311,63,1,2026-06-27T14:01:34.526000+00:00,,40.818,24.766,235,183,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",190
1288,11311,31,2,2026-06-27T14:01:41.258000+00:00,17.224,30.88,20.979,311,218,False,69.083,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",307
1288,11311,77,2,2026-06-27T14:01:44.147000+00:00,17.235,31.317,21.676,314,215,False,70.228,"[2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",308
1288,11311,11,2,2026-06-27T14:01:48.856000+00:00,17.03,31.025,21.457,315,214,False,69.512,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]",310
1288,11311,55,2,2026-06-27T14:02:17.462000+00:00,17.135,30.926,21.153,312,215,False,69.214,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049]",314
1288,11311,23,2,2026-06-27T14:02:26.858000+00:00,17.028,30.943,21.184,312,218,False,69.155,"[2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",313
1288,11311,27,2,2026-06-27T14:02:36.469000+00:00,17.044,30.643,20.822,313,228,False,68.509,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2049, 2051, 2051, 2051, 2049, 2048]",310
1288,11311,18,2,2026-06-27T14:02:45.271000+00:00,17.569,31.554,21.947,300,216,False,71.07,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",298
1288,11311,14,2,2026-06-27T14:02:49.319000+00:00,17.463,31.446,21.764,302,215,False,70.673,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",300
1288,11311,31,3,2026-06-27T14:02:50.382000+00:00,21.697,42.011,72.876,207,101,False,136.584,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",204
1288,11311,77,3,2026-06-27T14:02:54.272000+00:00,19.514,35.23,31.094,239,199,False,85.838,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",236
1288,11311,11,3,2026-06-27T14:02:58.613000+00:00,20.773,37.529,34.125,270,195,False,92.427,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",186
1288,11311,63,2,2026-06-27T14:03:06.666000+00:00,16.813,30.451,20.547,313,224,False,67.811,"[2049, 2049, 2051, 2051, 2051, 2051]","[2049, 2051, 2051, 2051, 2051, 2049, 2051]","[2051, 2051, 2051, 2051, 2049, 2051, 2051, 2049]",318
1288,11311,3,1,2026-06-27T14:03:18.715000+00:00,,36.773,23.61,240,198,True,,"[2064, 2064, 2064, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",283
