position,driver_number,lap_duration,meeting_key,session_key
1,63,66.113,1288,11311
2,16,66.349,1288,11311
3,44,66.408,1288,11311
4,12,66.414,1288,11311
5,3,66.475,1288,11311
6,1,66.502,1288,11311
7,81,66.511,1288,11311
8,6,66.632,1288,11311
9,30,66.955,1288,11311
10,41,67.007,1288,11311
11,10,67.223,1288,11311
12,5,67.293,1288,11311
13,87,67.523,1288,11311
14,27,67.611,1288,11311
15,31,67.817,1288,11311
16,43,68.171,1288,11311
17,55,68.252,1288,11311
18,23,68.509,1288,11311
19,11,68.945,1288,11311
20,77,69.03,1288,11311
21,14,69.942,1288,11311
22,18,70.363,1288,11311
