meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1288,11315,1,77,1,2,MEDIUM,0
1288,11315,1,11,1,4,MEDIUM,0
1288,11315,1,44,1,12,MEDIUM,0
1288,11315,1,16,1,13,MEDIUM,0
1288,11315,1,10,1,13,MEDIUM,0
1288,11315,1,55,1,14,SOFT,0
1288,11315,1,5,1,17,SOFT,0
1288,11315,1,3,1,18,MEDIUM,0
1288,11315,1,6,1,18,MEDIUM,0
1288,11315,1,41,1,18,MEDIUM,0
1288,11315,1,31,1,18,MEDIUM,0
1288,11315,1,23,1,18,MEDIUM,0
1288,11315,1,63,1,19,MEDIUM,0
1288,11315,1,81,1,19,MEDIUM,0
1288,11315,1,30,1,19,MEDIUM,0
1288,11315,1,43,1,20,MEDIUM,0
1288,11315,1,1,1,21,MEDIUM,0
1288,11315,1,27,1,21,MEDIUM,0
1288,11315,2,55,15,23,MEDIUM,0
1288,11315,1,12,1,24,MEDIUM,0
1288,11315,1,87,1,24,MEDIUM,0
1288,11315,1,14,1,24,MEDIUM,0
1288,11315,1,18,1,24,MEDIUM,0
1288,11315,2,44,13,25,HARD,0
1288,11315,2,31,19,33,MEDIUM,0
1288,11315,2,16,14,37,HARD,0
1288,11315,2,23,19,37,MEDIUM,0
1288,11315,2,10,14,38,HARD,0
1288,11315,2,6,19,40,MEDIUM,0
1288,11315,2,81,20,42,HARD,0
1288,11315,3,44,26,42,SOFT,0
1288,11315,2,63,20,43,HARD,0
1288,11315,2,5,18,44,MEDIUM,0
1288,11315,2,30,20,45,HARD,0
1288,11315,2,27,22,45,MEDIUM,0
1288,11315,2,87,25,45,HARD,0
1288,11315,2,41,19,46,HARD,0
1288,11315,2,1,22,47,HARD,0
1288,11315,2,18,25,45,SOFT,0
1288,11315,2,43,21,46,HARD,0
1288,11315,2,3,19,49,HARD,0
1288,11315,2,12,25,51,HARD,0
1288,11315,2,14,25,49,SOFT,0
1288,11315,3,10,39,51,MEDIUM,0
1288,11315,3,16,38,59,HARD,0
1288,11315,3,63,44,71,HARD,0
1288,11315,3,3,50,71,HARD,0
1288,11315,3,12,52,71,HARD,0
1288,11315,3,14,50,68,SOFT,0
1288,11315,3,30,46,70,MEDIUM,0
1288,11315,3,41,47,70,MEDIUM,0
1288,11315,3,81,43,71,HARD,0
1288,11315,3,31,34,69,HARD,0
1288,11315,4,44,43,71,HARD,0
1288,11315,3,23,38,69,HARD,0
1288,11315,3,6,41,71,HARD,0
1288,11315,3,5,45,70,HARD,0
1288,11315,3,1,48,71,HARD,0
1288,11315,3,27,46,70,HARD,0
1288,11315,4,10,52,70,SOFT,0
1288,11315,4,16,60,71,SOFT,3
1288,11315,3,87,46,70,MEDIUM,0
1288,11315,3,43,47,70,MEDIUM,0
