date,session_key,position,driver_number,meeting_key
2026-06-28T12:06:24.440000+00:00,11315,1,63,1288
2026-06-28T12:06:24.440000+00:00,11315,2,16,1288
2026-06-28T12:06:24.440000+00:00,11315,3,44,1288
2026-06-28T12:06:24.440000+00:00,11315,4,12,1288
2026-06-28T12:06:24.440000+00:00,11315,5,3,1288
2026-06-28T12:06:24.440000+00:00,11315,6,1,1288
2026-06-28T12:06:24.440000+00:00,11315,7,81,1288
2026-06-28T12:06:24.440000+00:00,11315,8,6,1288
2026-06-28T12:06:24.440000+00:00,11315,9,30,1288
2026-06-28T12:06:24.440000+00:00,11315,10,41,1288
2026-06-28T12:06:24.440000+00:00,11315,11,10,1288
2026-06-28T12:06:24.440000+00:00,11315,12,5,1288
2026-06-28T12:06:24.440000+00:00,11315,13,87,1288
2026-06-28T12:06:24.440000+00:00,11315,14,27,1288
2026-06-28T12:06:24.440000+00:00,11315,15,31,1288
2026-06-28T12:06:24.440000+00:00,11315,16,43,1288
2026-06-28T12:06:24.440000+00:00,11315,17,55,1288
2026-06-28T12:06:24.440000+00:00,11315,18,23,1288
2026-06-28T12:06:24.440000+00:00,11315,19,11,1288
2026-06-28T12:06:24.440000+00:00,11315,20,77,1288
2026-06-28T12:06:24.440000+00:00,11315,21,14,1288
2026-06-28T12:06:24.440000+00:00,11315,22,18,1288
2026-06-28T13:03:29.107000+00:00,11315,8,81,1288
2026-06-28T13:03:29.107000+00:00,11315,7,6,1288
2026-06-28T13:03:30.371000+00:00,11315,13,5,1288
2026-06-28T13:03:30.371000+00:00,11315,14,87,1288
2026-06-28T13:03:30.371000+00:00,11315,15,27,1288
2026-06-28T13:03:30.371000+00:00,11315,16,31,1288
2026-06-28T13:03:30.371000+00:00,11315,17,43,1288
2026-06-28T13:03:30.371000+00:00,11315,18,55,1288
2026-06-28T13:03:30.371000+00:00,11315,12,23,1288
2026-06-28T13:03:30.396000+00:00,11315,12,5,1288
2026-06-28T13:03:30.396000+00:00,11315,13,23,1288
2026-06-28T13:03:30.631000+00:00,11315,15,87,1288
2026-06-28T13:03:30.631000+00:00,11315,16,27,1288
2026-06-28T13:03:30.631000+00:00,11315,13,31,1288
2026-06-28T13:03:30.631000+00:00,11315,14,23,1288
2026-06-28T13:03:30.703000+00:00,11315,16,87,1288
2026-06-28T13:03:30.703000+00:00,11315,14,27,1288
2026-06-28T13:03:30.703000+00:00,11315,15,23,1288
2026-06-28T13:03:30.910000+00:00,11315,15,87,1288
2026-06-28T13:03:30.910000+00:00,11315,16,23,1288
2026-06-28T13:03:31.003000+00:00,11315,18,43,1288
2026-06-28T13:03:31.003000+00:00,11315,16,55,1288
2026-06-28T13:03:31.003000+00:00,11315,17,23,1288
2026-06-28T13:03:33.707000+00:00,11315,7,81,1288
2026-06-28T13:03:33.707000+00:00,11315,8,6,1288
2026-06-28T13:03:35.684000+00:00,11315,19,43,1288
2026-06-28T13:03:35.684000+00:00,11315,18,11,1288
2026-06-28T13:03:35.989000+00:00,11315,20,43,1288
2026-06-28T13:03:35.989000+00:00,11315,19,77,1288
2026-06-28T13:03:37.644000+00:00,11315,12,10,1288
2026-06-28T13:03:37.644000+00:00,11315,11,5,1288
2026-06-28T13:03:39.313000+00:00,11315,21,43,1288
2026-06-28T13:03:39.313000+00:00,11315,20,14,1288
2026-06-28T13:03:41.653000+00:00,11315,9,6,1288
2026-06-28T13:03:41.653000+00:00,11315,8,30,1288
2026-06-28T13:03:41.704000+00:00,11315,22,43,1288
2026-06-28T13:03:41.704000+00:00,11315,21,18,1288
2026-06-28T13:03:41.842000+00:00,11315,8,6,1288
2026-06-28T13:03:41.842000+00:00,11315,9,30,1288
2026-06-28T13:03:50.052000+00:00,11315,9,6,1288
2026-06-28T13:03:50.052000+00:00,11315,8,30,1288
2026-06-28T13:03:52.459000+00:00,11315,18,23,1288
2026-06-28T13:03:52.459000+00:00,11315,17,11,1288
2026-06-28T13:03:53.029000+00:00,11315,20,77,1288
2026-06-28T13:03:53.029000+00:00,11315,19,14,1288
2026-06-28T13:03:53.598000+00:00,11315,21,43,1288
2026-06-28T13:03:53.598000+00:00,11315,22,18,1288
2026-06-28T13:03:54.478000+00:00,11315,7,1,1288
2026-06-28T13:03:54.478000+00:00,11315,6,81,1288
2026-06-28T13:03:57.720000+00:00,11315,19,77,1288
2026-06-28T13:03:57.720000+00:00,11315,20,14,1288
2026-06-28T13:03:58.171000+00:00,11315,13,10,1288
2026-06-28T13:03:58.171000+00:00,11315,12,31,1288
