position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,44,14,False,False,False,"[89.273, 88.747, 88.376]","[0.0, 0.0, 0.0]",1289,11317
2,12,15,False,False,False,"[89.746, 88.846, 88.387]","[0.473, 0.099, 0.011]",1289,11317
3,3,12,False,False,False,"[89.689, 89.242, 88.697]","[0.416, 0.495, 0.321]",1289,11317
4,16,14,False,False,False,"[89.38, 88.922, 88.703]","[0.107, 0.175, 0.327]",1289,11317
5,63,15,False,False,False,"[89.675, 89.246, 88.733]","[0.402, 0.499, 0.357]",1289,11317
6,1,15,False,False,False,"[90.142, 89.401, 88.74]","[0.869, 0.654, 0.364]",1289,11317
7,81,12,False,False,False,"[89.583, 89.12, 88.772]","[0.31, 0.373, 0.396]",1289,11317
8,6,14,False,False,False,"[89.47, 89.28, 88.835]","[0.197, 0.533, 0.459]",1289,11317
9,30,12,False,False,False,"[89.85, 89.067, 88.927]","[0.577, 0.32, 0.551]",1289,11317
10,41,12,False,False,False,"[90.453, 89.33, 89.367]","[1.18, 0.583, 0.991]",1289,11317
11,10,9,False,False,False,"[90.444, 89.482, None]","[1.171, 0.735, None]",1289,11317
12,5,12,False,False,False,"[90.407, 89.679, None]","[1.134, 0.932, None]",1289,11317
13,27,12,False,False,False,"[90.107, 89.707, None]","[0.834, 0.96, None]",1289,11317
14,43,9,False,False,False,"[90.894, 89.983, None]","[1.621, 1.236, None]",1289,11317
15,55,12,False,False,False,"[91.073, 90.197, None]","[1.8, 1.45, None]",1289,11317
16,23,13,False,False,False,"[90.779, 90.65, None]","[1.506, 1.903, None]",1289,11317
17,87,6,False,False,False,"[91.083, None, None]","[1.81, None, None]",1289,11317
18,31,6,False,False,False,"[91.714, None, None]","[2.441, None, None]",1289,11317
19,11,6,False,False,False,"[91.776, None, None]","[2.503, None, None]",1289,11317
20,77,6,False,False,False,"[92.02, None, None]","[2.747, None, None]",1289,11317
21,14,5,False,False,False,"[92.91, None, None]","[3.637, None, None]",1289,11317
22,18,5,False,False,False,"[92.988, None, None]","[3.715, None, None]",1289,11317
