date,session_key,meeting_key,driver_number,lap_number,pit_duration,lane_duration,stop_duration
2026-07-03T15:30:14.714000+00:00,11317,1289,11,1,,,
2026-07-03T15:30:20.299000+00:00,11317,1289,77,1,,,
2026-07-03T15:30:43.565000+00:00,11317,1289,31,1,,,
2026-07-03T15:30:47.676000+00:00,11317,1289,87,1,,,
2026-07-03T15:31:20.441000+00:00,11317,1289,12,1,,,
2026-07-03T15:31:26.105000+00:00,11317,1289,63,1,,,
2026-07-03T15:31:30.514000+00:00,11317,1289,16,1,,,
2026-07-03T15:31:35.738000+00:00,11317,1289,44,1,,,
2026-07-03T15:31:41.437000+00:00,11317,1289,5,1,,,
2026-07-03T15:31:51.388000+00:00,11317,1289,27,1,,,
2026-07-03T15:31:58.181000+00:00,11317,1289,30,1,,,
2026-07-03T15:32:02.555000+00:00,11317,1289,55,1,,,
2026-07-03T15:32:09.313000+00:00,11317,1289,23,1,,,
2026-07-03T15:32:15.533000+00:00,11317,1289,41,1,,,
2026-07-03T15:32:25.695000+00:00,11317,1289,3,1,,,
2026-07-03T15:32:30.481000+00:00,11317,1289,6,1,,,
2026-07-03T15:32:47.754000+00:00,11317,1289,81,1,,,
2026-07-03T15:33:00.221000+00:00,11317,1289,1,1,,,
2026-07-03T15:33:06.606000+00:00,11317,1289,10,1,,,
2026-07-03T15:33:14.292000+00:00,11317,1289,43,1,,,
2026-07-03T15:35:18.699000+00:00,11317,1289,14,1,,,
2026-07-03T15:35:22.626000+00:00,11317,1289,18,1,,,
2026-07-03T15:37:18.315000+00:00,11317,1289,12,4,48.6,48.6,
2026-07-03T15:38:03.502000+00:00,11317,1289,63,4,76.3,76.3,
2026-07-03T15:38:19.306000+00:00,11317,1289,5,4,67.3,67.3,
2026-07-03T15:38:28.897000+00:00,11317,1289,27,4,68.2,68.2,
2026-07-03T15:38:34.860000+00:00,11317,1289,31,4,155.5,155.5,
2026-07-03T15:38:38.322000+00:00,11317,1289,87,4,151.5,151.5,
2026-07-03T15:38:40.355000+00:00,11317,1289,77,4,194.4,194.4,
2026-07-03T15:38:43.485000+00:00,11317,1289,11,4,208.2,208.2,
2026-07-03T15:39:01.603000+00:00,11317,1289,1,4,40.9,40.9,
2026-07-03T15:49:06.393000+00:00,11317,1289,27,7,323.6,323.6,
2026-07-03T15:49:08.539000+00:00,11317,1289,55,8,260.1,260.1,
2026-07-03T15:49:13.725000+00:00,11317,1289,3,7,338.9,338.9,
2026-07-03T15:49:19.467000+00:00,11317,1289,23,8,262.3,262.3,
2026-07-03T15:49:25.120000+00:00,11317,1289,6,6,415.0,415.0,
2026-07-03T15:49:36.543000+00:00,11317,1289,1,7,305.0,305.0,
2026-07-03T15:49:41.543000+00:00,11317,1289,5,7,364.6,364.6,
2026-07-03T15:49:49.229000+00:00,11317,1289,81,4,697.5,697.5,
2026-07-03T15:50:08.120000+00:00,11317,1289,16,6,586.1,586.1,
2026-07-03T15:50:11.894000+00:00,11317,1289,44,7,457.7,457.7,
2026-07-03T15:50:29.268000+00:00,11317,1289,12,7,470.3,470.3,
2026-07-03T15:50:36.741000+00:00,11317,1289,63,7,443.3,443.3,
2026-07-03T15:54:15.614000+00:00,11317,1289,30,7,678.8,678.8,
2026-07-03T15:54:19.893000+00:00,11317,1289,41,7,632.5,632.5,
2026-07-03T15:54:24.358000+00:00,11317,1289,10,7,622.8,622.8,
2026-07-03T15:54:26.968000+00:00,11317,1289,43,7,579.8,579.8,
2026-07-03T15:55:28.130000+00:00,11317,1289,1,10,32.8,32.8,
2026-07-03T15:55:50.842000+00:00,11317,1289,55,11,107.1,107.1,
2026-07-03T15:55:58.126000+00:00,11317,1289,27,10,108.6,108.6,
2026-07-03T15:56:10.106000+00:00,11317,1289,5,10,65.6,65.6,
2026-07-03T15:56:33.648000+00:00,11317,1289,12,10,54.7,54.7,
2026-07-03T15:56:40.495000+00:00,11317,1289,23,11,122.5,122.5,
2026-07-03T16:10:49.149000+00:00,11317,1289,81,10,616.5,616.5,
2026-07-03T16:10:53.933000+00:00,11317,1289,41,10,667.3,667.3,
2026-07-03T16:10:58.546000+00:00,11317,1289,1,13,621.4,621.4,
2026-07-03T16:11:01.956000+00:00,11317,1289,30,10,695.4,695.4,
2026-07-03T16:11:07.006000+00:00,11317,1289,12,13,566.6,566.6,
2026-07-03T16:11:10.107000+00:00,11317,1289,16,12,611.4,611.4,
2026-07-03T16:11:22.166000+00:00,11317,1289,44,12,731.6,731.6,
2026-07-03T16:11:32.581000+00:00,11317,1289,3,10,1023.8,1023.8,
2026-07-03T16:11:42.276000+00:00,11317,1289,6,12,677.0,677.0,
2026-07-03T16:11:55.242000+00:00,11317,1289,63,13,642.0,642.0,
