position,driver_number,lap_duration,meeting_key,session_key
1,44,88.376,1289,11317
2,12,88.387,1289,11317
3,3,88.697,1289,11317
4,16,88.703,1289,11317
5,63,88.733,1289,11317
6,1,88.74,1289,11317
7,81,88.772,1289,11317
8,6,88.835,1289,11317
9,30,88.927,1289,11317
10,41,89.367,1289,11317
11,10,89.482,1289,11317
12,5,89.679,1289,11317
13,27,89.707,1289,11317
14,43,89.983,1289,11317
15,55,90.197,1289,11317
16,23,90.65,1289,11317
17,87,91.083,1289,11317
18,31,91.714,1289,11317
19,11,91.776,1289,11317
20,77,92.02,1289,11317
21,14,92.91,1289,11317
22,18,92.988,1289,11317
