position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,19,False,False,False,"[89.719, 88.493, 88.111]","[0.443, 0.0, 0.0]",1289,11322
2,16,18,False,False,False,"[89.534, 88.626, 88.286]","[0.258, 0.133, 0.175]",1289,11322
3,44,17,False,False,False,"[89.644, 88.864, 88.458]","[0.368, 0.371, 0.347]",1289,11322
4,63,17,False,False,False,"[89.985, 88.92, 88.481]","[0.709, 0.427, 0.37]",1289,11322
5,6,18,False,False,False,"[89.276, 89.069, 88.746]","[0.0, 0.576, 0.635]",1289,11322
6,1,17,False,False,False,"[90.186, 89.383, 88.877]","[0.91, 0.89, 0.766]",1289,11322
7,3,18,False,False,False,"[89.549, 89.113, 88.893]","[0.273, 0.62, 0.782]",1289,11322
8,81,18,False,False,False,"[89.971, 89.218, 89.032]","[0.695, 0.725, 0.921]",1289,11322
9,41,17,False,False,False,"[89.661, 89.324, 89.305]","[0.385, 0.831, 1.194]",1289,11322
10,30,20,False,False,False,"[89.3, 89.429, 89.716]","[0.024, 0.936, 1.605]",1289,11322
11,5,10,False,False,False,"[90.269, 89.461, None]","[0.993, 0.968, None]",1289,11322
12,10,12,False,False,False,"[90.345, 90.063, None]","[1.069, 1.57, None]",1289,11322
13,27,15,False,False,False,"[89.539, 90.076, None]","[0.263, 1.583, None]",1289,11322
14,87,15,False,False,False,"[90.57, 90.501, None]","[1.294, 2.008, None]",1289,11322
15,55,15,False,False,False,"[90.562, 90.623, None]","[1.286, 2.13, None]",1289,11322
16,23,14,False,False,False,"[90.638, 91.341, None]","[1.362, 2.848, None]",1289,11322
17,31,9,False,False,False,"[90.68, None, None]","[1.404, None, None]",1289,11322
18,77,8,False,False,False,"[91.227, None, None]","[1.951, None, None]",1289,11322
19,43,5,False,False,False,"[91.321, None, None]","[2.045, None, None]",1289,11322
20,11,9,False,False,False,"[91.451, None, None]","[2.175, None, None]",1289,11322
21,18,9,False,False,False,"[92.863, None, None]","[3.587, None, None]",1289,11322
22,14,9,False,False,False,"[93.025, None, None]","[3.749, None, None]",1289,11322
