position,driver_number,lap_duration,meeting_key,session_key
1,12,88.111,1289,11322
2,16,88.286,1289,11322
3,44,88.458,1289,11322
4,63,88.481,1289,11322
5,6,88.746,1289,11322
6,1,88.877,1289,11322
7,3,88.893,1289,11322
8,81,89.032,1289,11322
9,41,89.305,1289,11322
10,30,89.716,1289,11322
11,5,89.461,1289,11322
12,27,90.076,1289,11322
13,87,90.501,1289,11322
14,55,90.623,1289,11322
15,10,90.063,1289,11322
16,23,91.341,1289,11322
17,31,90.68,1289,11322
18,77,91.227,1289,11322
19,43,91.321,1289,11322
20,11,91.451,1289,11322
21,18,92.863,1289,11322
22,14,93.025,1289,11322
