position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,52,25.0,False,False,False,5231.335,0,1289,11326
2,63,52,18.0,False,False,False,5231.762,0.427,1289,11326
3,44,52,15.0,False,False,False,5232.107,0.772,1289,11326
4,1,52,12.0,False,False,False,5232.484,1.149,1289,11326
5,6,52,10.0,False,False,False,5232.933,1.598,1289,11326
6,30,52,8.0,False,False,False,5233.358,2.023,1289,11326
7,41,52,6.0,False,False,False,5233.549,2.214,1289,11326
8,5,52,4.0,False,False,False,5233.748,2.413,1289,11326
9,43,52,2.0,False,False,False,5234.564,3.229,1289,11326
10,10,52,1.0,False,False,False,5234.78,3.445,1289,11326
11,81,52,0.0,False,False,False,5235.349,4.014,1289,11326
12,87,52,0.0,False,False,False,5236.58,5.245,1289,11326
13,31,52,0.0,False,False,False,5236.847,5.512,1289,11326
14,11,52,0.0,False,False,False,5238.738,7.403,1289,11326
15,12,52,0.0,False,False,False,5239.34,8.005,1289,11326
16,77,52,0.0,False,False,False,5239.497,8.162,1289,11326
17,55,51,0.0,False,False,False,,+1 LAP,1289,11326
18,14,51,0.0,False,False,False,,+1 LAP,1289,11326
19,18,51,0.0,False,False,False,,+1 LAP,1289,11326
20,3,46,0.0,True,False,False,,,1289,11326
,23,43,0.0,True,False,False,,,1289,11326
,27,36,0.0,True,False,False,,,1289,11326
